time,enrolled,available,waitlisted,total
2023-07-24T13:33:16,0,15,0,15
2023-07-24T13:45:43,0,15,0,15
2023-07-24T13:58:12,0,15,0,15
2023-07-24T14:10:39,0,15,0,15
2023-07-24T14:23:17,0,15,0,15
2023-07-24T14:35:43,0,15,0,15
2023-07-24T14:48:10,0,15,0,15
2023-07-24T15:00:37,0,15,0,15
2023-07-24T15:13:05,0,15,0,15
2023-07-24T15:25:32,0,15,0,15
2023-07-24T15:37:59,0,15,0,15
2023-07-24T15:50:26,0,15,0,15
2023-07-24T16:02:53,0,15,0,15
2023-07-24T16:15:19,0,15,0,15
2023-07-24T16:27:46,0,15,0,15
2023-07-24T16:40:26,0,15,0,15
2023-07-24T16:52:53,0,15,0,15
2023-07-24T17:05:20,0,15,0,15
2023-07-24T17:17:47,0,15,0,15
2023-07-24T17:30:14,0,15,0,15
2023-07-24T17:42:41,0,15,0,15
2023-07-24T17:55:08,0,15,0,15
2023-07-24T18:07:35,0,15,0,15
2023-07-24T18:20:02,0,15,0,15
2023-07-24T18:32:29,0,15,0,15
2023-07-24T18:44:56,0,15,0,15
2023-07-24T18:57:23,0,15,0,15
2023-07-24T19:09:51,0,15,0,15
2023-07-24T19:22:18,0,15,0,15
2023-07-24T19:34:45,0,15,0,15
2023-07-24T19:47:23,0,15,0,15
2023-07-24T19:59:50,0,15,0,15
2023-07-24T20:12:17,0,15,0,15
2023-07-24T20:24:44,0,15,0,15
2023-07-24T20:37:11,0,15,0,15
2023-07-24T20:49:38,0,15,0,15
2023-07-24T21:02:05,0,15,0,15
2023-07-24T21:14:32,0,15,0,15
2023-07-24T21:26:58,0,15,0,15
2023-07-24T21:39:26,0,15,0,15
2023-07-24T21:51:53,0,15,0,15
2023-07-24T22:04:20,0,15,0,15
2023-07-24T22:16:46,0,15,0,15
2023-07-24T22:29:25,0,15,0,15
2023-07-24T22:41:52,0,15,0,15
2023-07-24T22:54:19,0,15,0,15
2023-07-24T23:06:46,0,15,0,15
2023-07-24T23:19:14,0,15,0,15
2023-07-24T23:31:41,0,15,0,15
2023-07-24T23:44:09,0,15,0,15
2023-07-24T23:56:36,0,15,0,15
2023-07-25T00:09:05,0,15,0,15
2023-07-25T00:21:38,0,15,0,15
2023-07-25T00:34:08,0,15,0,15
2023-07-25T00:46:39,0,15,0,15
2023-07-25T00:59:10,0,15,0,15
2023-07-25T01:11:41,0,15,0,15
2023-07-25T01:24:11,0,15,0,15
