time,enrolled,available,waitlisted,total
2023-05-25T01:17:31,0,30,0,30
2023-05-25T01:29:07,0,30,0,30
2023-05-25T01:40:42,0,30,0,30
2023-05-25T01:52:27,0,30,0,30
2023-05-25T02:04:02,0,30,0,30
2023-05-25T02:15:38,0,30,0,30
2023-05-25T02:27:14,0,30,0,30
2023-05-25T02:38:47,0,30,0,30
2023-05-25T02:50:21,0,30,0,30
2023-05-25T03:01:54,0,30,0,30
2023-05-25T03:13:31,0,30,0,30
2023-05-25T03:25:30,0,30,0,30
2023-05-25T03:37:07,0,30,0,30
2023-05-25T03:48:43,0,30,0,30
2023-05-25T04:00:18,0,30,0,30
2023-05-25T04:19:42,0,30,0,30
2023-05-25T04:31:42,0,30,0,30
2023-05-25T04:43:19,0,30,0,30
2023-05-25T04:54:55,0,30,0,30
2023-05-25T05:06:31,0,30,0,30
2023-05-25T05:18:08,0,30,0,30
2023-05-25T05:29:44,0,30,0,30
2023-05-25T05:41:20,0,30,0,30
2023-05-25T05:52:56,0,30,0,30
2023-05-25T06:04:33,0,30,0,30
2023-05-25T06:16:08,0,30,0,30
2023-05-25T06:27:43,0,30,0,30
2023-05-25T06:39:18,0,30,0,30
2023-05-25T06:50:53,0,30,0,30
2023-05-25T07:02:29,0,30,0,30
2023-05-25T07:14:04,0,30,0,30
2023-05-25T07:25:39,0,30,0,30
2023-05-25T07:37:12,0,30,0,30
2023-05-25T07:48:50,0,30,0,30
2023-05-25T08:00:25,0,30,0,30
2023-05-25T08:11:59,0,30,0,30
2023-05-25T08:23:44,0,30,0,30
2023-05-25T08:35:18,0,30,0,30
2023-05-25T08:46:50,0,30,0,30
2023-05-25T08:58:23,0,30,0,30
2023-05-25T09:09:56,0,30,0,30
2023-05-25T09:21:29,0,30,0,30
2023-05-25T09:33:01,0,30,0,30
2023-05-25T09:44:34,0,30,0,30
2023-05-25T09:56:08,0,30,0,30
2023-05-25T10:07:40,0,30,0,30
2023-05-25T10:19:25,0,30,0,30
2023-05-25T10:30:58,0,30,0,30
2023-05-25T10:42:30,0,30,0,30
2023-05-25T10:54:13,0,30,0,30
2023-05-25T11:05:45,0,30,0,30
2023-05-25T11:17:18,0,30,0,30
2023-05-25T11:28:51,0,30,0,30
2023-05-25T11:40:24,0,30,0,30
2023-05-25T11:51:57,0,30,0,30
2023-05-25T12:03:41,0,30,0,30
2023-05-25T12:15:14,0,30,0,30
2023-05-25T12:26:47,0,30,0,30
2023-05-25T12:38:19,0,30,0,30
2023-05-25T12:49:52,0,30,0,30
2023-05-25T13:01:36,0,30,0,30
2023-05-25T13:13:08,0,30,0,30
2023-05-25T13:24:41,0,30,0,30
2023-05-25T13:36:14,0,30,0,30
2023-05-25T13:47:47,0,30,0,30
2023-05-25T13:59:21,0,30,0,30
2023-05-25T14:11:05,0,30,0,30
2023-05-25T14:22:39,0,30,0,30
2023-05-25T14:34:11,0,30,0,30
2023-05-25T14:45:44,0,30,0,30
2023-05-25T14:57:18,0,30,0,30
2023-05-25T15:09:02,0,30,0,30
2023-05-25T15:20:37,0,30,0,30
2023-05-25T15:32:11,0,30,0,30
2023-05-25T15:43:46,0,30,0,30
2023-05-25T15:55:20,0,30,0,30
2023-05-25T16:07:05,0,30,0,30
2023-05-25T16:18:40,0,30,0,30
2023-05-25T16:30:16,0,30,0,30
2023-05-25T16:41:51,0,30,0,30
2023-05-25T16:53:26,0,30,0,30
2023-05-25T17:05:03,0,30,0,30
2023-05-25T17:16:50,0,30,0,30
