time,enrolled,available,waitlisted,total
2023-05-25T01:18:35,0,14,0,14
2023-05-25T01:30:11,0,14,0,14
2023-05-25T01:41:56,0,14,0,14
2023-05-25T01:53:31,0,14,0,14
2023-05-25T02:05:07,0,14,0,14
2023-05-25T02:16:43,0,14,0,14
2023-05-25T02:28:18,0,14,0,14
2023-05-25T02:39:52,0,14,0,14
2023-05-25T02:51:25,0,14,0,14
2023-05-25T03:02:58,0,14,0,14
2023-05-25T03:14:36,0,14,0,14
2023-05-25T03:26:34,0,14,0,14
2023-05-25T03:38:12,0,14,0,14
2023-05-25T03:49:47,0,14,0,14
2023-05-25T04:01:23,0,14,0,14
2023-05-25T04:20:47,0,14,0,14
2023-05-25T04:32:47,0,14,0,14
2023-05-25T04:44:23,0,14,0,14
2023-05-25T04:55:59,0,14,0,14
2023-05-25T05:07:36,0,14,0,14
2023-05-25T05:19:12,0,14,0,14
2023-05-25T05:30:49,0,14,0,14
2023-05-25T05:42:25,0,14,0,14
2023-05-25T05:54:01,0,14,0,14
2023-05-25T06:05:38,0,14,0,14
2023-05-25T06:17:13,0,14,0,14
2023-05-25T06:28:48,0,14,0,14
2023-05-25T06:40:23,0,14,0,14
2023-05-25T06:51:58,0,14,0,14
2023-05-25T07:03:34,0,14,0,14
2023-05-25T07:15:09,0,14,0,14
2023-05-25T07:26:43,0,14,0,14
2023-05-25T07:38:16,0,14,0,14
2023-05-25T07:49:55,0,14,0,14
2023-05-25T08:01:29,0,14,0,14
2023-05-25T08:13:04,0,14,0,14
2023-05-25T08:24:48,0,14,0,14
2023-05-25T08:36:22,0,14,0,14
2023-05-25T08:47:54,0,14,0,14
2023-05-25T08:59:27,0,14,0,14
2023-05-25T09:11:00,0,14,0,14
2023-05-25T09:22:33,0,14,0,14
2023-05-25T09:34:06,0,14,0,14
2023-05-25T09:45:38,0,14,0,14
2023-05-25T09:57:12,0,14,0,14
2023-05-25T10:08:56,0,14,0,14
2023-05-25T10:20:29,0,14,0,14
2023-05-25T10:32:02,0,14,0,14
2023-05-25T10:43:34,0,14,0,14
2023-05-25T10:55:17,0,14,0,14
2023-05-25T11:06:50,0,14,0,14
2023-05-25T11:18:23,0,14,0,14
2023-05-25T11:29:55,0,14,0,14
2023-05-25T11:41:28,0,14,0,14
2023-05-25T11:53:01,0,14,0,14
2023-05-25T12:04:45,0,14,0,14
2023-05-25T12:16:18,0,14,0,14
2023-05-25T12:27:51,0,14,0,14
2023-05-25T12:39:24,0,14,0,14
2023-05-25T12:50:57,0,14,0,14
2023-05-25T13:02:40,0,14,0,14
2023-05-25T13:14:12,0,14,0,14
2023-05-25T13:25:45,0,14,0,14
2023-05-25T13:37:19,0,14,0,14
2023-05-25T13:48:52,0,14,0,14
2023-05-25T14:00:36,0,14,0,14
2023-05-25T14:12:10,0,14,0,14
2023-05-25T14:23:43,0,14,0,14
2023-05-25T14:35:16,0,14,0,14
2023-05-25T14:46:49,0,14,0,14
2023-05-25T14:58:32,0,14,0,14
2023-05-25T15:10:06,0,14,0,14
2023-05-25T15:21:41,0,14,0,14
2023-05-25T15:33:15,0,14,0,14
2023-05-25T15:44:50,0,14,0,14
2023-05-25T15:56:25,0,14,0,14
2023-05-25T16:08:10,0,14,0,14
2023-05-25T16:19:45,0,14,0,14
2023-05-25T16:31:20,0,14,0,14
2023-05-25T16:42:55,0,14,0,14
2023-05-25T16:54:30,0,14,0,14
2023-05-25T17:06:07,0,14,0,14
2023-05-25T17:17:55,0,14,0,14
2023-05-25T17:29:30,0,14,0,14
2023-05-25T17:41:05,0,14,0,14
2023-05-25T17:52:41,0,14,0,14
2023-05-25T18:04:18,0,14,0,14
2023-05-25T18:15:54,0,14,0,14
2023-05-25T18:27:29,0,14,0,14
2023-05-25T18:39:15,0,14,0,14
2023-05-25T18:50:50,0,14,0,14
2023-05-25T19:02:26,0,14,0,14
2023-05-25T19:14:03,0,14,0,14
2023-05-25T19:25:38,0,14,0,14
2023-05-25T19:37:14,0,14,0,14
2023-05-25T19:48:50,0,14,0,14
2023-05-25T20:00:35,0,14,0,14
2023-05-25T20:12:11,0,14,0,14
2023-05-25T20:23:47,0,14,0,14
2023-05-25T20:35:23,0,14,0,14
2023-05-25T20:46:59,0,14,0,14
2023-05-25T20:58:34,0,14,0,14
2023-05-25T21:10:10,0,14,0,14
2023-05-25T21:21:57,0,14,0,14
2023-05-25T21:33:33,0,14,0,14
2023-05-25T21:45:09,0,14,0,14
2023-05-25T21:56:44,0,14,0,14
2023-05-25T22:08:20,0,14,0,14
2023-05-25T22:19:55,0,14,0,14
2023-05-25T22:31:31,0,14,0,14
2023-05-25T22:43:17,0,14,0,14
2023-05-25T22:54:52,0,14,0,14
2023-05-25T23:06:30,0,14,0,14
2023-05-25T23:18:06,0,14,0,14
2023-05-25T23:29:42,0,14,0,14
2023-05-25T23:41:18,0,14,0,14
2023-05-25T23:52:55,0,14,0,14
2023-05-26T00:04:48,0,14,0,14
2023-05-26T00:16:29,0,14,0,14
2023-05-26T00:28:09,0,14,0,14
2023-05-26T00:39:47,0,14,0,14
2023-05-26T00:51:26,0,14,0,14
2023-05-26T01:03:06,0,14,0,14
2023-05-26T01:14:45,0,14,0,14
2023-05-26T01:26:23,0,14,0,14
2023-05-26T01:38:00,0,14,0,14
2023-05-26T01:49:49,0,14,0,14
2023-05-26T02:01:30,0,14,0,14
2023-05-26T02:13:09,0,14,0,14
2023-05-26T02:24:46,0,14,0,14
2023-05-26T02:36:24,0,14,0,14
2023-05-26T02:48:13,0,14,0,14
2023-05-26T02:59:53,0,14,0,14
2023-05-26T03:11:33,0,14,0,14
2023-05-26T03:23:14,0,14,0,14
2023-05-26T03:34:53,0,14,0,14
2023-05-26T03:46:31,0,14,0,14
2023-05-26T03:58:10,0,14,0,14
2023-05-26T04:09:58,0,14,0,14
2023-05-26T04:31:58,0,14,0,14
2023-05-26T04:44:01,0,14,0,14
2023-05-26T04:55:42,0,14,0,14
2023-05-26T05:07:24,0,14,0,14
2023-05-26T05:19:03,0,14,0,14
2023-05-26T05:30:42,0,14,0,14
2023-05-26T05:42:21,0,14,0,14
2023-05-26T05:54:00,0,14,0,14
2023-05-26T06:05:38,0,14,0,14
2023-05-26T06:17:18,0,14,0,14
2023-05-26T06:28:57,0,14,0,14
2023-05-26T06:40:36,0,14,0,14
2023-05-26T06:52:14,0,14,0,14
2023-05-26T07:03:52,0,14,0,14
2023-05-26T07:15:31,0,14,0,14
2023-05-26T07:27:09,0,14,0,14
2023-05-26T07:38:55,0,14,0,14
2023-05-26T07:50:32,0,14,0,14
2023-05-26T08:02:08,0,14,0,14
2023-05-26T08:13:44,0,14,0,14
2023-05-26T08:25:21,0,14,0,14
2023-05-26T08:36:57,0,14,0,14
2023-05-26T08:48:33,0,14,0,14
2023-05-26T09:00:09,0,14,0,14
2023-05-26T09:11:45,0,14,0,14
2023-05-26T09:23:22,0,14,0,14
2023-05-26T09:35:09,0,14,0,14
2023-05-26T09:46:45,0,14,0,14
2023-05-26T09:58:21,1,13,0,14
2023-05-26T10:09:57,1,13,0,14
2023-05-26T10:21:34,1,13,0,14
2023-05-26T10:33:10,1,13,0,14
2023-05-26T10:44:58,1,13,0,14
2023-05-26T10:56:34,1,13,0,14
2023-05-26T11:08:10,1,13,0,14
2023-05-26T11:19:47,1,13,0,14
2023-05-26T11:31:24,1,13,0,14
2023-05-26T11:43:10,1,13,0,14
2023-05-26T11:54:46,1,13,0,14
2023-05-26T12:06:22,1,13,0,14
2023-05-26T12:17:58,1,13,0,14
2023-05-26T12:29:35,1,13,0,14
2023-05-26T12:41:22,1,13,0,14
2023-05-26T12:52:57,1,13,0,14
2023-05-26T13:04:34,1,13,0,14
2023-05-26T13:16:09,1,13,0,14
2023-05-26T13:27:55,1,13,0,14
2023-05-26T13:39:32,1,13,0,14
2023-05-26T13:51:07,1,13,0,14
2023-05-26T14:02:43,1,13,0,14
2023-05-26T14:14:19,1,13,0,14
2023-05-26T14:26:06,2,12,0,14
2023-05-26T14:37:42,2,12,0,14
2023-05-26T14:49:19,2,12,0,14
2023-05-26T15:00:54,2,12,0,14
2023-05-26T15:12:33,2,12,0,14
2023-05-26T15:24:19,2,12,0,14
2023-05-26T15:35:55,2,12,0,14
2023-05-26T15:47:30,2,12,0,14
2023-05-26T15:59:07,2,12,0,14
2023-05-26T16:10:42,2,12,0,14
2023-05-26T16:22:18,2,12,0,14
2023-05-26T16:34:04,2,12,0,14
2023-05-26T16:45:40,2,12,0,14
2023-05-26T16:57:15,2,12,0,14
2023-05-26T17:08:52,2,12,0,14
2023-05-26T17:20:28,2,12,0,14
2023-05-26T17:32:04,2,12,0,14
2023-05-26T17:43:49,2,12,0,14
2023-05-26T17:55:25,2,12,0,14
2023-05-26T18:07:01,2,12,0,14
2023-05-26T18:18:36,2,12,0,14
2023-05-26T18:30:12,2,12,0,14
2023-05-26T18:41:48,2,12,0,14
2023-05-26T18:53:34,2,12,0,14
2023-05-26T19:05:10,2,12,0,14
2023-05-26T19:16:46,2,12,0,14
2023-05-26T19:28:23,2,12,0,14
2023-05-26T19:39:58,2,12,0,14
2023-05-26T19:51:33,2,12,0,14
2023-05-26T20:03:09,2,12,0,14
2023-05-26T20:14:54,2,12,0,14
2023-05-26T20:26:31,2,12,0,14
2023-05-26T20:38:06,2,12,0,14
2023-05-26T20:49:41,2,12,0,14
2023-05-26T21:01:17,2,12,0,14
2023-05-26T21:12:54,2,12,0,14
2023-05-26T21:24:30,2,12,0,14
2023-05-26T21:36:05,2,12,0,14
2023-05-26T21:47:52,2,12,0,14
2023-05-26T21:59:28,2,12,0,14
2023-05-26T22:11:04,2,12,0,14
2023-05-26T22:22:40,2,12,0,14
2023-05-26T22:34:16,2,12,0,14
2023-05-26T22:45:52,2,12,0,14
2023-05-26T22:57:27,2,12,0,14
2023-05-26T23:09:07,2,12,0,14
2023-05-26T23:20:53,2,12,0,14
2023-05-26T23:32:29,2,12,0,14
2023-05-26T23:44:06,2,12,0,14
2023-05-26T23:55:42,2,12,0,14
2023-05-27T00:07:19,2,12,0,14
2023-05-27T00:19:00,2,12,0,14
2023-05-27T00:30:38,2,12,0,14
2023-05-27T00:42:17,2,12,0,14
2023-05-27T00:53:56,2,12,0,14
2023-05-27T01:05:35,2,12,0,14
2023-05-27T01:17:24,2,12,0,14
2023-05-27T01:29:03,2,12,0,14
2023-05-27T01:40:42,2,12,0,14
2023-05-27T01:52:21,2,12,0,14
2023-05-27T02:03:59,2,12,0,14
2023-05-27T02:15:38,2,12,0,14
2023-05-27T02:27:15,2,12,0,14
2023-05-27T02:38:52,2,12,0,14
2023-05-27T02:50:28,2,12,0,14
2023-05-27T03:02:03,2,12,0,14
2023-05-27T03:13:42,2,12,0,14
2023-05-27T03:25:20,2,12,0,14
2023-05-27T03:36:57,2,12,0,14
2023-05-27T03:48:34,2,12,0,14
2023-05-27T04:00:13,2,12,0,14
2023-05-27T04:12:06,2,12,0,14
2023-05-27T04:33:26,2,12,0,14
2023-05-27T04:46:38,2,12,0,14
2023-05-27T04:58:18,2,12,0,14
2023-05-27T05:09:57,2,12,0,14
2023-05-27T05:21:36,2,12,0,14
2023-05-27T05:33:15,2,12,0,14
2023-05-27T05:44:55,2,12,0,14
2023-05-27T05:56:33,2,12,0,14
2023-05-27T06:08:12,2,12,0,14
