time,enrolled,available,waitlisted,total
2023-10-05T09:40:15,0,9999,0,9999
2023-10-05T09:53:29,0,9999,0,9999
2023-10-05T10:06:34,0,9999,0,9999
2023-10-05T10:19:40,0,9999,0,9999
2023-10-05T10:32:46,0,9999,0,9999
2023-10-05T10:46:01,0,9999,0,9999
2023-10-05T10:59:06,0,9999,0,9999
2023-10-05T11:12:12,0,9999,0,9999
2023-10-05T11:25:16,0,9999,0,9999
2023-10-05T11:38:31,0,9999,0,9999
2023-10-05T11:51:36,0,9999,0,9999
2023-10-05T12:04:40,0,9999,0,9999
2023-10-05T12:17:45,0,9999,0,9999
2023-10-05T12:31:00,0,9999,0,9999
2023-10-05T12:44:05,0,9999,0,9999
2023-10-05T12:57:09,0,9999,0,9999
2023-10-05T13:10:15,0,9999,0,9999
2023-10-05T13:23:30,0,9999,0,9999
2023-10-05T13:36:34,0,9999,0,9999
2023-10-05T13:49:39,0,9999,0,9999
2023-10-05T14:02:56,0,9999,0,9999
2023-10-05T14:16:02,0,9999,0,9999
2023-10-05T14:29:06,0,9999,0,9999
2023-10-05T14:42:22,0,9999,0,9999
2023-10-05T14:55:27,0,9999,0,9999
2023-10-05T15:08:32,0,9999,0,9999
2023-10-05T15:21:36,0,9999,0,9999
2023-10-05T15:34:52,0,9999,0,9999
2023-10-05T15:47:56,0,9999,0,9999
2023-10-05T16:01:00,0,9999,0,9999
2023-10-05T16:14:04,0,9999,0,9999
2023-10-05T16:27:19,0,9999,0,9999
2023-10-05T16:40:22,0,9999,0,9999
2023-10-05T16:53:38,0,9999,0,9999
2023-10-05T17:06:44,0,9999,0,9999
2023-10-05T17:19:50,0,9999,0,9999
2023-10-05T17:32:53,0,9999,0,9999
2023-10-05T17:46:08,0,9999,0,9999
2023-10-05T17:59:12,0,9999,0,9999
2023-10-05T18:12:17,0,9999,0,9999
2023-10-05T18:25:21,0,9999,0,9999
2023-10-05T18:38:25,0,9999,0,9999
2023-10-05T18:51:28,0,9999,0,9999
2023-10-05T19:04:43,0,9999,0,9999
2023-10-05T19:17:46,0,9999,0,9999
2023-10-05T19:30:55,0,9999,0,9999
2023-10-05T19:43:59,0,9999,0,9999
2023-10-05T19:57:04,0,9999,0,9999
2023-10-05T20:10:19,0,9999,0,9999
2023-10-05T20:23:23,0,9999,0,9999
2023-10-05T20:36:27,0,9999,0,9999
2023-10-05T20:49:32,0,9999,0,9999
2023-10-05T21:02:36,0,9999,0,9999
2023-10-05T21:15:41,0,9999,0,9999
2023-10-05T21:28:45,0,9999,0,9999
2023-10-05T21:42:00,0,9999,0,9999
2023-10-05T21:55:04,0,9999,0,9999
2023-10-05T22:08:08,0,9999,0,9999
2023-10-05T22:21:12,0,9999,0,9999
2023-10-05T22:34:16,0,9999,0,9999
2023-10-05T22:47:22,0,9999,0,9999
2023-10-05T23:00:26,0,9999,0,9999
2023-10-05T23:13:42,0,9999,0,9999
2023-10-05T23:26:48,0,9999,0,9999
2023-10-05T23:39:52,0,9999,0,9999
2023-10-05T23:52:58,0,9999,0,9999
2023-10-06T00:06:05,0,9999,0,9999
2023-10-06T00:19:14,0,9999,0,9999
2023-10-06T00:32:34,0,9999,0,9999
2023-10-06T00:45:43,0,9999,0,9999
