time,enrolled,available,waitlisted,total
2023-10-04T15:22:27,0,15,0,15
2023-10-04T15:35:24,0,15,0,15
2023-10-04T15:48:33,0,15,0,15
2023-10-04T16:01:31,0,15,0,15
2023-10-04T16:14:31,0,15,0,15
2023-10-04T16:27:40,0,15,0,15
2023-10-04T16:40:36,0,15,0,15
2023-10-04T16:53:33,0,15,0,15
2023-10-04T17:06:30,0,15,0,15
2023-10-04T17:19:37,0,15,0,15
2023-10-04T17:32:33,0,15,0,15
2023-10-04T17:45:29,0,15,0,15
2023-10-04T17:58:26,0,15,0,15
2023-10-04T18:11:36,0,15,0,15
2023-10-04T18:24:32,0,15,0,15
2023-10-04T18:37:29,0,15,0,15
2023-10-04T18:50:25,0,15,0,15
2023-10-04T19:03:32,0,15,0,15
2023-10-04T19:16:28,0,15,0,15
2023-10-04T19:29:24,0,15,0,15
2023-10-04T19:42:20,0,15,0,15
2023-10-04T19:55:15,0,15,0,15
2023-10-04T20:08:21,0,15,0,15
2023-10-04T20:21:17,0,15,0,15
2023-10-04T20:34:14,0,15,0,15
2023-10-04T20:47:10,0,15,0,15
2023-10-04T21:00:11,0,15,0,15
2023-10-04T21:13:18,0,15,0,15
2023-10-04T21:26:14,0,15,0,15
2023-10-04T21:39:10,0,15,0,15
2023-10-04T21:52:06,0,15,0,15
2023-10-04T22:05:02,0,15,0,15
2023-10-04T22:18:09,0,15,0,15
2023-10-04T22:31:05,0,15,0,15
2023-10-04T22:44:01,0,15,0,15
2023-10-04T22:56:58,0,15,0,15
2023-10-04T23:09:55,0,15,0,15
2023-10-04T23:22:52,0,15,0,15
2023-10-04T23:36:00,0,15,0,15
2023-10-04T23:48:57,0,15,0,15
2023-10-05T00:01:54,0,15,0,15
2023-10-05T00:14:55,0,15,0,15
2023-10-05T00:27:59,0,15,0,15
2023-10-05T00:41:00,0,15,0,15
2023-10-05T00:54:01,0,15,0,15
2023-10-05T01:07:03,0,15,0,15
2023-10-05T01:20:15,0,15,0,15
2023-10-05T01:33:15,0,15,0,15
2023-10-05T01:46:15,0,15,0,15
2023-10-05T01:59:20,0,15,0,15
2023-10-05T02:12:22,0,15,0,15
2023-10-05T02:25:20,0,15,0,15
2023-10-05T02:38:18,0,15,0,15
2023-10-05T02:51:14,0,15,0,15
2023-10-05T03:04:11,0,15,0,15
2023-10-05T03:17:12,0,15,0,15
2023-10-05T03:30:12,0,15,0,15
2023-10-05T03:43:14,0,15,0,15
2023-10-05T03:56:17,0,15,0,15
2023-10-05T04:09:19,0,15,0,15
2023-10-05T04:22:02,0,15,0,15
2023-10-05T04:35:26,0,15,0,15
2023-10-05T04:49:41,0,15,0,15
2023-10-05T05:02:49,0,15,0,15
2023-10-05T05:15:54,0,15,0,15
2023-10-05T05:28:55,0,15,0,15
2023-10-05T05:41:57,0,15,0,15
2023-10-05T05:55:35,0,15,0,15
2023-10-05T06:08:45,0,15,0,15
2023-10-05T06:21:54,0,15,0,15
2023-10-05T06:35:02,0,15,0,15
2023-10-05T06:48:10,0,15,0,15
2023-10-05T07:01:16,0,15,0,15
2023-10-05T07:14:30,0,15,0,15
2023-10-05T07:27:37,0,15,0,15
2023-10-05T07:40:44,0,15,0,15
2023-10-05T07:53:51,0,15,0,15
2023-10-05T08:06:57,0,15,0,15
2023-10-05T08:20:13,0,15,0,15
2023-10-05T08:33:20,0,15,0,15
2023-10-05T08:46:27,0,15,0,15
2023-10-05T08:59:32,0,15,0,15
2023-10-05T09:12:37,0,15,0,15
2023-10-05T09:25:41,0,15,0,15
2023-10-05T09:38:46,0,15,0,15
2023-10-05T09:52:00,0,15,0,15
2023-10-05T10:05:04,0,15,0,15
2023-10-05T10:18:10,0,15,0,15
2023-10-05T10:31:16,0,15,0,15
2023-10-05T10:44:31,0,15,0,15
2023-10-05T10:57:37,0,15,0,15
2023-10-05T11:10:43,0,15,0,15
2023-10-05T11:23:47,0,15,0,15
2023-10-05T11:37:02,0,15,0,15
2023-10-05T11:50:06,0,15,0,15
2023-10-05T12:03:11,0,15,0,15
2023-10-05T12:16:16,0,15,0,15
2023-10-05T12:29:31,0,15,0,15
2023-10-05T12:42:35,0,15,0,15
2023-10-05T12:55:40,0,15,0,15
2023-10-05T13:08:45,0,15,0,15
2023-10-05T13:22:00,0,15,0,15
2023-10-05T13:35:05,0,15,0,15
2023-10-05T13:48:10,0,15,0,15
2023-10-05T14:01:27,0,15,0,15
2023-10-05T14:14:33,0,15,0,15
2023-10-05T14:27:37,0,15,0,15
2023-10-05T14:40:52,0,15,0,15
2023-10-05T14:53:58,0,15,0,15
2023-10-05T15:07:03,0,15,0,15
2023-10-05T15:20:07,0,15,0,15
2023-10-05T15:33:23,0,15,0,15
2023-10-05T15:46:27,0,15,0,15
2023-10-05T15:59:31,0,15,0,15
2023-10-05T16:12:35,0,15,0,15
2023-10-05T16:25:49,0,15,0,15
2023-10-05T16:38:53,0,15,0,15
2023-10-05T16:52:08,0,15,0,15
2023-10-05T17:05:14,0,15,0,15
2023-10-05T17:18:21,0,15,0,15
2023-10-05T17:31:24,0,15,0,15
2023-10-05T17:44:29,0,15,0,15
2023-10-05T17:57:43,0,15,0,15
2023-10-05T18:10:47,0,15,0,15
2023-10-05T18:23:51,0,15,0,15
2023-10-05T18:36:55,0,15,0,15
2023-10-05T18:49:59,0,15,0,15
2023-10-05T19:03:14,0,15,0,15
2023-10-05T19:16:17,0,15,0,15
2023-10-05T19:29:25,0,15,0,15
2023-10-05T19:42:30,0,15,0,15
2023-10-05T19:55:34,0,15,0,15
2023-10-05T20:08:50,0,15,0,15
2023-10-05T20:21:54,0,15,0,15
2023-10-05T20:34:57,0,15,0,15
2023-10-05T20:48:02,0,15,0,15
2023-10-05T21:01:07,0,15,0,15
2023-10-05T21:14:12,0,15,0,15
2023-10-05T21:27:16,0,15,0,15
2023-10-05T21:40:31,0,15,0,15
2023-10-05T21:53:35,0,15,0,15
2023-10-05T22:06:39,0,15,0,15
2023-10-05T22:19:42,0,15,0,15
2023-10-05T22:32:47,0,15,0,15
2023-10-05T22:45:52,0,15,0,15
2023-10-05T22:58:57,0,15,0,15
2023-10-05T23:12:13,0,15,0,15
2023-10-05T23:25:19,0,15,0,15
2023-10-05T23:38:23,0,15,0,15
2023-10-05T23:51:28,0,15,0,15
2023-10-06T00:04:35,0,15,0,15
2023-10-06T00:17:45,0,15,0,15
2023-10-06T00:31:04,0,15,0,15
2023-10-06T00:44:13,0,15,0,15
2023-10-06T00:57:24,0,15,0,15
2023-10-06T01:10:33,0,15,0,15
2023-10-06T01:23:43,0,15,0,15
2023-10-06T01:37:02,0,15,0,15
2023-10-06T01:50:12,0,15,0,15
2023-10-06T02:03:25,0,15,0,15
2023-10-06T02:16:35,0,15,0,15
2023-10-06T02:29:43,0,15,0,15
2023-10-06T02:42:50,0,15,0,15
2023-10-06T02:55:58,0,15,0,15
2023-10-06T03:09:20,0,15,0,15
2023-10-06T03:22:30,0,15,0,15
2023-10-06T03:35:40,0,15,0,15
2023-10-06T03:48:49,0,15,0,15
2023-10-06T04:01:59,0,15,0,15
2023-10-06T04:15:08,0,15,0,15
2023-10-06T04:31:31,0,15,0,15
2023-10-06T04:45:34,0,15,0,15
2023-10-06T04:58:44,0,15,0,15
2023-10-06T05:11:56,0,15,0,15
2023-10-06T05:25:07,0,15,0,15
2023-10-06T05:38:17,0,15,0,15
2023-10-06T05:51:28,0,15,0,15
2023-10-06T06:04:36,0,15,0,15
2023-10-06T06:17:43,0,15,0,15
2023-10-06T06:30:52,0,15,0,15
2023-10-06T06:44:03,0,15,0,15
2023-10-06T06:57:09,0,15,0,15
2023-10-06T07:10:18,0,15,0,15
2023-10-06T07:23:31,0,15,0,15
2023-10-06T07:36:37,0,15,0,15
2023-10-06T07:49:54,0,15,0,15
2023-10-06T08:03:00,0,15,0,15
2023-10-06T08:16:04,0,15,0,15
2023-10-06T08:29:14,0,15,0,15
2023-10-06T08:42:18,0,15,0,15
2023-10-06T08:55:23,0,15,0,15
2023-10-06T09:08:30,0,15,0,15
2023-10-06T09:21:35,0,15,0,15
2023-10-06T09:34:51,0,15,0,15
2023-10-06T09:47:56,0,15,0,15
2023-10-06T10:01:01,0,15,0,15
2023-10-06T10:14:05,0,15,0,15
2023-10-06T10:27:35,0,15,0,15
2023-10-06T10:40:40,0,15,0,15
2023-10-06T10:53:45,0,15,0,15
2023-10-06T11:06:52,0,15,0,15
2023-10-06T11:20:00,0,15,0,15
2023-10-06T11:33:15,0,15,0,15
2023-10-06T11:46:21,0,15,0,15
2023-10-06T11:59:27,0,15,0,15
2023-10-06T12:12:31,0,15,0,15
2023-10-06T12:25:35,0,15,0,15
2023-10-06T12:38:59,0,15,0,15
2023-10-06T12:52:03,0,15,0,15
2023-10-06T13:05:09,0,15,0,15
2023-10-06T13:18:24,0,15,0,15
2023-10-06T13:31:28,0,15,0,15
2023-10-06T13:44:32,0,15,0,15
2023-10-06T13:57:39,0,15,0,15
2023-10-06T14:10:44,0,15,0,15
2023-10-06T14:24:16,0,15,0,15
2023-10-06T14:37:21,0,15,0,15
2023-10-06T14:50:25,0,15,0,15
2023-10-06T15:03:29,0,15,0,15
2023-10-06T15:16:33,0,15,0,15
2023-10-06T15:29:46,0,15,0,15
2023-10-06T15:42:51,0,15,0,15
2023-10-06T15:55:55,0,15,0,15
2023-10-06T16:09:00,0,15,0,15
2023-10-06T16:22:05,0,15,0,15
2023-10-06T16:35:31,0,15,0,15
2023-10-06T16:48:37,0,15,0,15
2023-10-06T17:01:40,0,15,0,15
2023-10-06T17:14:47,0,15,0,15
2023-10-06T17:27:52,0,15,0,15
2023-10-06T17:40:57,0,15,0,15
2023-10-06T17:54:01,0,15,0,15
2023-10-06T18:07:25,0,15,0,15
2023-10-06T18:20:30,0,15,0,15
2023-10-06T18:33:35,0,15,0,15
2023-10-06T18:46:40,0,15,0,15
2023-10-06T18:59:45,0,15,0,15
2023-10-06T19:12:50,0,15,0,15
2023-10-06T19:25:56,0,15,0,15
2023-10-06T19:39:01,0,15,0,15
2023-10-06T19:52:16,0,15,0,15
2023-10-06T20:05:21,0,15,0,15
2023-10-06T20:18:25,0,15,0,15
2023-10-06T20:31:30,0,15,0,15
2023-10-06T20:44:36,0,15,0,15
2023-10-06T20:57:41,0,15,0,15
2023-10-06T21:10:46,0,15,0,15
2023-10-06T21:23:50,0,15,0,15
2023-10-06T21:36:56,0,15,0,15
2023-10-06T21:50:21,0,15,0,15
2023-10-06T22:03:25,0,15,0,15
2023-10-06T22:16:29,0,15,0,15
2023-10-06T22:29:34,0,15,0,15
2023-10-06T22:42:40,0,15,0,15
2023-10-06T22:55:45,0,15,0,15
2023-10-06T23:08:52,0,15,0,15
2023-10-06T23:21:59,0,15,0,15
2023-10-06T23:35:07,0,15,0,15
2023-10-06T23:48:13,0,15,0,15
2023-10-07T00:01:32,0,15,0,15
2023-10-07T00:14:47,0,15,0,15
2023-10-07T00:27:57,0,15,0,15
2023-10-07T00:41:06,0,15,0,15
2023-10-07T00:54:28,0,15,0,15
2023-10-07T01:07:38,0,15,0,15
2023-10-07T01:20:48,0,15,0,15
2023-10-07T01:33:59,0,15,0,15
2023-10-07T01:47:09,0,15,0,15
2023-10-07T02:00:21,0,15,0,15
2023-10-07T02:13:31,0,15,0,15
2023-10-07T02:26:42,0,15,0,15
2023-10-07T02:39:52,0,15,0,15
2023-10-07T02:53:13,0,15,0,15
2023-10-07T03:07:13,0,15,0,15
