time,enrolled,available,waitlisted,total
2023-05-25T01:14:53,0,48,0,48
2023-05-25T01:26:29,0,48,0,48
2023-05-25T01:38:05,0,48,0,48
2023-05-25T01:49:49,0,48,0,48
2023-05-25T02:01:25,0,48,0,48
2023-05-25T02:13:01,0,48,0,48
2023-05-25T02:24:37,0,48,0,48
2023-05-25T02:36:10,0,48,0,48
2023-05-25T02:47:44,0,48,0,48
2023-05-25T02:59:17,0,48,0,48
2023-05-25T03:10:53,0,48,0,48
2023-05-25T03:22:32,0,48,0,48
2023-05-25T03:34:29,0,48,0,48
2023-05-25T03:46:05,0,48,0,48
2023-05-25T03:57:41,0,48,0,48
2023-05-25T04:17:03,0,48,0,48
2023-05-25T04:29:05,0,48,0,48
2023-05-25T04:40:41,0,48,0,48
2023-05-25T04:52:17,0,48,0,48
2023-05-25T05:03:53,0,48,0,48
2023-05-25T05:15:30,0,48,0,48
2023-05-25T05:27:06,0,48,0,48
2023-05-25T05:38:43,0,48,0,48
2023-05-25T05:50:19,0,48,0,48
2023-05-25T06:01:55,0,48,0,48
2023-05-25T06:13:31,0,48,0,48
2023-05-25T06:25:06,0,48,0,48
2023-05-25T06:36:41,0,48,0,48
2023-05-25T06:48:16,0,48,0,48
2023-05-25T06:59:51,0,48,0,48
2023-05-25T07:11:27,0,48,0,48
2023-05-25T07:23:01,0,48,0,48
2023-05-25T07:34:35,0,48,0,48
2023-05-25T07:46:12,0,48,0,48
2023-05-25T07:57:48,0,48,0,48
2023-05-25T08:09:22,0,48,0,48
2023-05-25T08:21:06,0,48,0,48
2023-05-25T08:32:41,0,48,0,48
2023-05-25T08:44:13,0,48,0,48
2023-05-25T08:55:45,0,48,0,48
2023-05-25T09:07:19,0,48,0,48
2023-05-25T09:18:52,0,48,0,48
2023-05-25T09:30:25,0,48,0,48
2023-05-25T09:41:57,0,48,0,48
2023-05-25T09:53:30,0,48,0,48
2023-05-25T10:05:04,0,48,0,48
2023-05-25T10:16:48,0,48,0,48
2023-05-25T10:28:21,0,48,0,48
2023-05-25T10:39:54,0,48,0,48
2023-05-25T10:51:26,0,48,0,48
2023-05-25T11:03:09,0,48,0,48
2023-05-25T11:14:41,0,48,0,48
2023-05-25T11:26:14,0,48,0,48
2023-05-25T11:37:47,0,48,0,48
2023-05-25T11:49:20,0,48,0,48
2023-05-25T12:01:04,0,48,0,48
2023-05-25T12:12:37,0,48,0,48
2023-05-25T12:24:10,0,48,0,48
2023-05-25T12:35:43,0,48,0,48
2023-05-25T12:47:16,0,48,0,48
2023-05-25T12:58:59,0,48,0,48
2023-05-25T13:10:31,0,48,0,48
2023-05-25T13:22:04,0,48,0,48
2023-05-25T13:33:38,0,48,0,48
2023-05-25T13:45:11,0,48,0,48
2023-05-25T13:56:44,0,48,0,48
2023-05-25T14:08:28,0,48,0,48
2023-05-25T14:20:02,0,48,0,48
2023-05-25T14:31:35,0,48,0,48
2023-05-25T14:43:08,0,48,0,48
2023-05-25T14:54:41,0,48,0,48
2023-05-25T15:06:25,0,48,0,48
2023-05-25T15:18:00,0,48,0,48
2023-05-25T15:29:34,0,48,0,48
2023-05-25T15:41:09,0,48,0,48
2023-05-25T15:52:43,0,48,0,48
2023-05-25T16:04:18,0,48,0,48
2023-05-25T16:16:03,0,48,0,48
2023-05-25T16:27:38,0,48,0,48
2023-05-25T16:39:13,0,48,0,48
2023-05-25T16:50:49,0,48,0,48
2023-05-25T17:02:25,0,48,0,48
2023-05-25T17:14:13,0,48,0,48
2023-05-25T17:25:48,0,48,0,48
2023-05-25T17:37:23,0,48,0,48
2023-05-25T17:48:59,0,48,0,48
2023-05-25T18:00:35,0,48,0,48
2023-05-25T18:12:12,0,48,0,48
2023-05-25T18:23:47,0,48,0,48
2023-05-25T18:35:33,0,48,0,48
2023-05-25T18:47:08,0,48,0,48
2023-05-25T18:58:44,0,48,0,48
2023-05-25T19:10:20,0,48,0,48
2023-05-25T19:21:56,0,48,0,48
2023-05-25T19:33:32,0,48,0,48
2023-05-25T19:45:09,0,48,0,48
2023-05-25T19:56:54,0,48,0,48
2023-05-25T20:08:29,0,48,0,48
2023-05-25T20:20:05,0,48,0,48
2023-05-25T20:31:41,0,48,0,48
2023-05-25T20:43:17,0,48,0,48
2023-05-25T20:54:53,0,48,0,48
2023-05-25T21:06:28,0,48,0,48
2023-05-25T21:18:04,0,48,0,48
2023-05-25T21:29:51,0,48,0,48
2023-05-25T21:41:27,0,48,0,48
2023-05-25T21:53:03,0,48,0,48
2023-05-25T22:04:38,0,48,0,48
2023-05-25T22:16:13,0,48,0,48
2023-05-25T22:27:48,0,48,0,48
2023-05-25T22:39:24,0,48,0,48
2023-05-25T22:51:10,0,48,0,48
2023-05-25T23:02:47,0,48,0,48
2023-05-25T23:14:24,0,48,0,48
2023-05-25T23:26:00,0,48,0,48
2023-05-25T23:37:36,0,48,0,48
2023-05-25T23:49:12,0,48,0,48
2023-05-26T00:00:49,0,48,0,48
2023-05-26T00:12:46,0,48,0,48
2023-05-26T00:24:26,0,48,0,48
2023-05-26T00:36:05,0,48,0,48
2023-05-26T00:47:43,0,48,0,48
2023-05-26T00:59:22,0,48,0,48
2023-05-26T01:11:02,0,48,0,48
2023-05-26T01:22:40,0,48,0,48
2023-05-26T01:34:18,0,48,0,48
2023-05-26T01:46:06,0,48,0,48
2023-05-26T01:57:45,0,48,0,48
2023-05-26T02:09:26,0,48,0,48
2023-05-26T02:21:03,0,48,0,48
2023-05-26T02:32:41,0,48,0,48
2023-05-26T02:44:29,0,48,0,48
2023-05-26T02:56:10,0,48,0,48
2023-05-26T03:07:50,0,48,0,48
2023-05-26T03:19:31,0,48,0,48
2023-05-26T03:31:10,0,48,0,48
2023-05-26T03:42:48,0,48,0,48
2023-05-26T03:54:27,0,48,0,48
2023-05-26T04:06:15,0,48,0,48
2023-05-26T04:28:14,0,48,0,48
2023-05-26T04:40:18,0,48,0,48
2023-05-26T04:51:59,0,48,0,48
2023-05-26T05:03:40,0,48,0,48
2023-05-26T05:15:21,0,48,0,48
2023-05-26T05:26:59,0,48,0,48
2023-05-26T05:38:38,0,48,0,48
2023-05-26T05:50:17,0,48,0,48
2023-05-26T06:01:56,0,48,0,48
2023-05-26T06:13:35,0,48,0,48
2023-05-26T06:25:14,0,48,0,48
2023-05-26T06:36:52,0,48,0,48
2023-05-26T06:48:31,0,48,0,48
2023-05-26T07:00:09,0,48,0,48
2023-05-26T07:11:48,0,48,0,48
2023-05-26T07:23:26,0,48,0,48
2023-05-26T07:35:12,0,48,0,48
2023-05-26T07:46:49,0,48,0,48
2023-05-26T07:58:26,0,48,0,48
2023-05-26T08:10:02,0,48,0,48
2023-05-26T08:21:38,0,48,0,48
2023-05-26T08:33:15,0,48,0,48
2023-05-26T08:44:51,0,48,0,48
2023-05-26T08:56:27,0,48,0,48
