time,enrolled,available,waitlisted,total
2023-09-15T11:07:09,0,9999,0,9999
2023-09-15T11:20:09,0,9999,0,9999
2023-09-15T11:33:09,0,9999,0,9999
2023-09-15T11:46:09,0,9999,0,9999
2023-09-15T11:59:19,0,9999,0,9999
2023-09-15T12:12:19,0,9999,0,9999
2023-09-15T12:25:18,0,9999,0,9999
2023-09-15T12:38:17,0,9999,0,9999
2023-09-15T12:51:16,0,9999,0,9999
2023-09-15T13:04:16,0,9999,0,9999
2023-09-15T13:17:15,0,9999,0,9999
2023-09-15T13:30:25,0,9999,0,9999
2023-09-15T13:43:24,0,9999,0,9999
2023-09-15T13:56:23,0,9999,0,9999
2023-09-15T14:09:23,0,9999,0,9999
2023-09-15T14:22:22,0,9999,0,9999
2023-09-15T14:35:21,0,9999,0,9999
2023-09-15T14:48:21,0,9999,0,9999
2023-09-15T15:01:30,0,9999,0,9999
2023-09-15T15:14:30,0,9999,0,9999
2023-09-15T15:27:29,0,9999,0,9999
2023-09-15T15:40:29,0,9999,0,9999
2023-09-15T15:53:29,0,9999,0,9999
2023-09-15T16:06:28,0,9999,0,9999
2023-09-15T16:19:27,0,9999,0,9999
2023-09-15T16:32:37,0,9999,0,9999
2023-09-15T16:45:36,0,9999,0,9999
2023-09-15T16:58:35,0,9999,0,9999
2023-09-15T17:11:35,0,9999,0,9999
2023-09-15T17:24:35,0,9999,0,9999
2023-09-15T17:37:34,0,9999,0,9999
2023-09-15T17:50:33,0,9999,0,9999
2023-09-15T18:03:32,0,9999,0,9999
2023-09-15T18:16:40,0,9999,0,9999
2023-09-15T18:29:39,0,9999,0,9999
2023-09-15T18:42:38,0,9999,0,9999
2023-09-15T18:55:36,0,9999,0,9999
2023-09-15T19:08:35,0,9999,0,9999
2023-09-15T19:21:34,0,9999,0,9999
2023-09-15T19:34:34,0,9999,0,9999
2023-09-15T19:47:33,0,9999,0,9999
2023-09-15T20:00:42,0,9999,0,9999
2023-09-15T20:13:41,0,9999,0,9999
2023-09-15T20:26:40,0,9999,0,9999
2023-09-15T20:39:39,0,9999,0,9999
2023-09-15T20:52:38,0,9999,0,9999
2023-09-15T21:05:37,0,9999,0,9999
2023-09-15T21:18:37,0,9999,0,9999
2023-09-15T21:31:35,0,9999,0,9999
2023-09-15T21:44:34,0,9999,0,9999
2023-09-15T21:57:33,0,9999,0,9999
2023-09-15T22:10:43,0,9999,0,9999
2023-09-15T22:23:41,1,9998,0,9999
2023-09-15T22:36:40,1,9998,0,9999
2023-09-15T22:49:38,1,9998,0,9999
2023-09-15T23:02:37,1,9998,0,9999
2023-09-15T23:15:36,1,9998,0,9999
2023-09-15T23:28:36,1,9998,0,9999
2023-09-15T23:41:36,1,9998,0,9999
2023-09-15T23:54:36,1,9998,0,9999
2023-09-16T00:07:48,1,9998,0,9999
2023-09-16T00:20:53,1,9998,0,9999
2023-09-16T00:33:57,1,9998,0,9999
2023-09-16T00:47:01,1,9998,0,9999
2023-09-16T01:00:06,1,9998,0,9999
2023-09-16T01:13:10,1,9998,0,9999
2023-09-16T01:26:13,1,9998,0,9999
2023-09-16T01:39:17,1,9998,0,9999
2023-09-16T01:52:22,1,9998,0,9999
2023-09-16T02:05:28,1,9998,0,9999
2023-09-16T02:18:28,1,9998,0,9999
2023-09-16T02:31:29,1,9998,0,9999
2023-09-16T02:44:31,1,9998,0,9999
2023-09-16T02:57:30,1,9998,0,9999
2023-09-16T03:10:31,1,9998,0,9999
2023-09-16T03:23:44,1,9998,0,9999
2023-09-16T03:36:45,1,9998,0,9999
2023-09-16T03:49:49,1,9998,0,9999
2023-09-16T04:02:53,1,9998,0,9999
2023-09-16T04:16:02,1,9998,0,9999
2023-09-16T04:30:29,1,9998,0,9999
2023-09-16T04:43:52,1,9998,0,9999
2023-09-16T04:56:57,1,9998,0,9999
2023-09-16T05:10:01,1,9998,0,9999
2023-09-16T05:23:04,1,9998,0,9999
2023-09-16T05:36:06,1,9998,0,9999
2023-09-16T05:49:09,1,9998,0,9999
2023-09-16T06:02:12,1,9998,0,9999
2023-09-16T06:15:15,1,9998,0,9999
2023-09-16T06:28:17,1,9998,0,9999
2023-09-16T06:41:20,1,9998,0,9999
2023-09-16T06:54:24,1,9998,0,9999
2023-09-16T07:07:27,1,9998,0,9999
2023-09-16T07:20:28,1,9998,0,9999
2023-09-16T07:33:33,1,9998,0,9999
2023-09-16T07:46:33,1,9998,0,9999
2023-09-16T07:59:45,1,9998,0,9999
2023-09-16T08:12:47,1,9998,0,9999
2023-09-16T08:25:49,1,9998,0,9999
2023-09-16T08:38:53,1,9998,0,9999
2023-09-16T08:52:05,1,9998,0,9999
2023-09-16T09:05:07,1,9998,0,9999
2023-09-16T09:18:09,1,9998,0,9999
2023-09-16T09:31:11,1,9998,0,9999
2023-09-16T09:44:14,1,9998,0,9999
2023-09-16T09:57:25,1,9998,0,9999
2023-09-16T10:10:28,1,9998,0,9999
2023-09-16T10:23:30,1,9998,0,9999
2023-09-16T10:36:42,1,9998,0,9999
2023-09-16T10:49:44,1,9998,0,9999
2023-09-16T11:02:46,1,9998,0,9999
2023-09-16T11:15:47,1,9998,0,9999
2023-09-16T11:28:48,1,9998,0,9999
2023-09-16T11:41:47,1,9998,0,9999
2023-09-16T11:54:45,1,9998,0,9999
2023-09-16T12:07:45,1,9998,0,9999
2023-09-16T12:20:44,1,9998,0,9999
2023-09-16T12:33:52,1,9998,0,9999
2023-09-16T12:46:50,1,9998,0,9999
2023-09-16T12:59:50,1,9998,0,9999
2023-09-16T13:12:49,1,9998,0,9999
2023-09-16T13:25:49,1,9998,0,9999
2023-09-16T13:38:48,1,9998,0,9999
2023-09-16T13:51:47,1,9998,0,9999
2023-09-16T14:04:46,1,9998,0,9999
2023-09-16T14:17:45,1,9998,0,9999
2023-09-16T14:30:45,1,9998,0,9999
2023-09-16T14:43:54,1,9998,0,9999
2023-09-16T14:56:53,1,9998,0,9999
2023-09-16T15:09:53,1,9998,0,9999
2023-09-16T15:22:52,1,9998,0,9999
2023-09-16T15:35:51,1,9998,0,9999
2023-09-16T15:48:51,1,9998,0,9999
2023-09-16T16:01:50,1,9998,0,9999
2023-09-16T16:14:49,1,9998,0,9999
2023-09-16T16:27:47,1,9998,0,9999
2023-09-16T16:40:46,1,9998,0,9999
2023-09-16T16:53:45,1,9998,0,9999
2023-09-16T17:06:54,1,9998,0,9999
2023-09-16T17:19:54,1,9998,0,9999
2023-09-16T17:32:52,1,9998,0,9999
2023-09-16T17:45:52,1,9998,0,9999
2023-09-16T17:58:51,1,9998,0,9999
2023-09-16T18:11:50,1,9998,0,9999
2023-09-16T18:24:49,1,9998,0,9999
2023-09-16T18:37:48,1,9998,0,9999
2023-09-16T18:50:47,1,9998,0,9999
2023-09-16T19:03:46,1,9998,0,9999
2023-09-16T19:16:46,1,9998,0,9999
2023-09-16T19:29:45,1,9998,0,9999
2023-09-16T19:42:55,1,9998,0,9999
2023-09-16T19:55:54,1,9998,0,9999
2023-09-16T20:08:53,1,9998,0,9999
2023-09-16T20:21:52,1,9998,0,9999
2023-09-16T20:34:51,1,9998,0,9999
2023-09-16T20:47:50,1,9998,0,9999
2023-09-16T21:00:49,1,9998,0,9999
2023-09-16T21:13:48,1,9998,0,9999
2023-09-16T21:26:48,1,9998,0,9999
2023-09-16T21:39:47,1,9998,0,9999
2023-09-16T21:52:46,1,9998,0,9999
2023-09-16T22:05:44,1,9998,0,9999
2023-09-16T22:18:44,1,9998,0,9999
2023-09-16T22:31:54,1,9998,0,9999
2023-09-16T22:44:52,1,9998,0,9999
2023-09-16T22:57:50,1,9998,0,9999
2023-09-16T23:10:51,1,9998,0,9999
2023-09-16T23:23:50,1,9998,0,9999
2023-09-16T23:36:49,1,9998,0,9999
2023-09-16T23:49:47,1,9998,0,9999
2023-09-17T00:02:47,1,9998,0,9999
2023-09-17T00:15:48,1,9998,0,9999
2023-09-17T00:28:48,1,9998,0,9999
2023-09-17T00:54:45,1,9998,0,9999
2023-09-17T01:07:45,1,9998,0,9999
2023-09-17T01:20:43,1,9998,0,9999
2023-09-17T01:33:41,1,9998,0,9999
2023-09-17T01:46:43,1,9998,0,9999
2023-09-17T01:59:47,1,9998,0,9999
2023-09-17T02:12:53,1,9998,0,9999
2023-09-17T02:26:12,1,9998,0,9999
2023-09-17T02:39:18,1,9998,0,9999
2023-09-17T02:52:41,1,9998,0,9999
2023-09-17T03:05:43,1,9998,0,9999
2023-09-17T03:18:46,1,9998,0,9999
2023-09-17T03:31:49,1,9998,0,9999
2023-09-17T03:44:52,1,9998,0,9999
2023-09-17T03:57:56,1,9998,0,9999
2023-09-17T04:20:29,1,9998,0,9999
2023-09-17T04:33:34,1,9998,0,9999
2023-09-17T04:48:15,1,9998,0,9999
2023-09-17T05:01:21,1,9998,0,9999
2023-09-17T05:14:26,1,9998,0,9999
2023-09-17T05:27:29,1,9998,0,9999
2023-09-17T05:40:31,1,9998,0,9999
2023-09-17T05:53:32,1,9998,0,9999
2023-09-17T06:06:33,1,9998,0,9999
2023-09-17T06:19:38,1,9998,0,9999
2023-09-17T06:32:40,1,9998,0,9999
2023-09-17T06:45:41,1,9998,0,9999
2023-09-17T06:58:40,1,9998,0,9999
2023-09-17T07:11:38,1,9998,0,9999
2023-09-17T07:24:38,1,9998,0,9999
2023-09-17T07:37:37,1,9998,0,9999
2023-09-17T07:50:36,1,9998,0,9999
2023-09-17T08:03:36,1,9998,0,9999
2023-09-17T08:16:38,1,9998,0,9999
2023-09-17T08:29:41,1,9998,0,9999
2023-09-17T08:42:51,1,9998,0,9999
2023-09-17T08:56:00,1,9998,0,9999
2023-09-17T09:09:03,1,9998,0,9999
2023-09-17T09:22:18,1,9998,0,9999
2023-09-17T09:35:23,1,9998,0,9999
2023-09-17T09:48:30,1,9998,0,9999
2023-09-17T10:01:39,1,9998,0,9999
2023-09-17T10:14:44,1,9998,0,9999
2023-09-17T10:27:47,1,9998,0,9999
2023-09-17T10:41:00,1,9998,0,9999
2023-09-17T10:53:59,1,9998,0,9999
2023-09-17T11:06:58,1,9998,0,9999
2023-09-17T11:19:57,1,9998,0,9999
2023-09-17T11:32:56,1,9998,0,9999
2023-09-17T11:45:55,1,9998,0,9999
2023-09-17T11:58:53,1,9998,0,9999
2023-09-17T12:11:52,1,9998,0,9999
2023-09-17T12:24:50,1,9998,0,9999
2023-09-17T12:37:49,1,9998,0,9999
2023-09-17T12:50:56,1,9998,0,9999
2023-09-17T13:03:55,1,9998,0,9999
2023-09-17T13:16:53,1,9998,0,9999
2023-09-17T13:29:51,1,9998,0,9999
2023-09-17T13:42:51,1,9998,0,9999
2023-09-17T13:55:49,1,9998,0,9999
2023-09-17T14:08:48,1,9998,0,9999
2023-09-17T14:21:47,1,9998,0,9999
2023-09-17T14:34:45,1,9998,0,9999
2023-09-17T14:47:54,1,9998,0,9999
2023-09-17T15:00:52,1,9998,0,9999
2023-09-17T15:13:50,1,9998,0,9999
2023-09-17T15:26:49,1,9998,0,9999
2023-09-17T15:39:48,1,9998,0,9999
2023-09-17T15:52:46,1,9998,0,9999
2023-09-17T16:05:45,1,9998,0,9999
2023-09-17T16:18:44,1,9998,0,9999
2023-09-17T16:31:43,1,9998,0,9999
2023-09-17T16:44:42,1,9998,0,9999
2023-09-17T16:57:41,1,9998,0,9999
2023-09-17T17:10:50,1,9998,0,9999
2023-09-17T17:23:49,1,9998,0,9999
2023-09-17T17:36:51,1,9998,0,9999
2023-09-17T17:49:49,1,9998,0,9999
2023-09-17T18:02:47,1,9998,0,9999
2023-09-17T18:15:46,1,9998,0,9999
2023-09-17T18:28:44,1,9998,0,9999
2023-09-17T18:41:45,1,9998,0,9999
2023-09-17T18:54:43,1,9998,0,9999
2023-09-17T19:07:44,1,9998,0,9999
2023-09-17T19:20:44,1,9998,0,9999
2023-09-17T19:33:55,1,9998,0,9999
2023-09-17T19:46:55,1,9998,0,9999
2023-09-17T19:59:54,1,9998,0,9999
2023-09-17T20:12:53,1,9998,0,9999
2023-09-17T20:25:52,1,9998,0,9999
2023-09-17T20:38:52,1,9998,0,9999
2023-09-17T20:51:51,1,9998,0,9999
2023-09-17T21:04:49,1,9998,0,9999
2023-09-17T21:17:49,1,9998,0,9999
2023-09-17T21:31:01,1,9998,0,9999
2023-09-17T21:44:03,1,9998,0,9999
2023-09-17T21:57:03,1,9998,0,9999
2023-09-17T22:10:02,1,9998,0,9999
2023-09-17T22:23:02,1,9998,0,9999
2023-09-17T22:36:01,1,9998,0,9999
2023-09-17T22:49:00,1,9998,0,9999
2023-09-17T23:02:00,1,9998,0,9999
2023-09-17T23:15:00,1,9998,0,9999
2023-09-17T23:27:59,1,9998,0,9999
2023-09-17T23:41:10,1,9998,0,9999
2023-09-17T23:54:11,1,9998,0,9999
2023-09-18T00:07:12,1,9998,0,9999
2023-09-18T00:20:18,1,9998,0,9999
2023-09-18T00:33:32,1,9998,0,9999
2023-09-18T00:46:40,1,9998,0,9999
2023-09-18T00:59:47,1,9998,0,9999
2023-09-18T01:12:47,1,9998,0,9999
2023-09-18T01:26:04,1,9998,0,9999
2023-09-18T01:39:09,1,9998,0,9999
2023-09-18T01:52:13,1,9998,0,9999
2023-09-18T02:05:21,1,9998,0,9999
2023-09-18T02:18:22,1,9998,0,9999
2023-09-18T02:31:31,1,9998,0,9999
2023-09-18T02:44:33,1,9998,0,9999
2023-09-18T02:57:36,1,9998,0,9999
2023-09-18T03:10:40,1,9998,0,9999
2023-09-18T03:23:44,1,9998,0,9999
2023-09-18T03:36:48,1,9998,0,9999
2023-09-18T03:49:50,1,9998,0,9999
2023-09-18T04:02:53,1,9998,0,9999
2023-09-18T04:17:46,1,9998,0,9999
2023-09-18T04:28:58,1,9998,0,9999
2023-09-18T04:42:29,1,9998,0,9999
2023-09-18T04:55:35,1,9998,0,9999
2023-09-18T05:08:44,1,9998,0,9999
2023-09-18T05:21:49,1,9998,0,9999
2023-09-18T05:34:52,1,9998,0,9999
2023-09-18T05:47:56,1,9998,0,9999
2023-09-18T06:01:00,1,9998,0,9999
2023-09-18T06:14:04,1,9998,0,9999
2023-09-18T06:27:10,1,9998,0,9999
2023-09-18T06:40:12,1,9998,0,9999
2023-09-18T06:53:16,1,9998,0,9999
2023-09-18T07:06:17,1,9998,0,9999
2023-09-18T07:19:20,1,9998,0,9999
2023-09-18T07:32:21,1,9998,0,9999
2023-09-18T07:45:21,1,9998,0,9999
2023-09-18T07:58:23,1,9998,0,9999
2023-09-18T08:11:25,1,9998,0,9999
2023-09-18T08:24:29,1,9998,0,9999
2023-09-18T08:37:31,1,9998,0,9999
2023-09-18T08:50:52,1,9998,0,9999
2023-09-18T09:03:52,1,9998,0,9999
2023-09-18T09:16:51,1,9998,0,9999
2023-09-18T09:29:50,1,9998,0,9999
2023-09-18T09:42:49,1,9998,0,9999
2023-09-18T09:55:50,1,9998,0,9999
2023-09-18T10:08:51,1,9998,0,9999
2023-09-18T10:21:50,1,9998,0,9999
2023-09-18T10:35:08,1,9998,0,9999
2023-09-18T10:48:07,1,9998,0,9999
2023-09-18T11:01:07,1,9998,0,9999
2023-09-18T11:14:06,1,9998,0,9999
2023-09-18T11:27:05,1,9998,0,9999
2023-09-18T11:40:06,1,9998,0,9999
2023-09-18T11:53:06,1,9998,0,9999
2023-09-18T12:06:14,1,9998,0,9999
2023-09-18T12:19:14,1,9998,0,9999
2023-09-18T12:32:15,1,9998,0,9999
2023-09-18T12:45:15,1,9998,0,9999
2023-09-18T12:58:15,1,9998,0,9999
2023-09-18T13:11:25,1,9998,0,9999
2023-09-18T13:24:26,1,9998,0,9999
2023-09-18T13:37:26,1,9998,0,9999
2023-09-18T13:50:25,1,9998,0,9999
2023-09-18T14:03:26,1,9998,0,9999
2023-09-18T14:16:25,1,9998,0,9999
2023-09-18T14:29:43,1,9998,0,9999
2023-09-18T14:42:43,1,9998,0,9999
2023-09-18T14:55:43,1,9998,0,9999
2023-09-18T15:08:43,1,9998,0,9999
2023-09-18T15:21:44,1,9998,0,9999
2023-09-18T15:34:55,1,9998,0,9999
2023-09-18T15:47:55,1,9998,0,9999
2023-09-18T16:00:55,1,9998,0,9999
2023-09-18T16:13:55,1,9998,0,9999
2023-09-18T16:27:14,1,9998,0,9999
2023-09-18T16:40:13,1,9998,0,9999
2023-09-18T16:53:13,1,9998,0,9999
2023-09-18T17:06:12,1,9998,0,9999
2023-09-18T17:19:13,1,9998,0,9999
2023-09-18T17:32:12,1,9998,0,9999
2023-09-18T17:45:12,1,9998,0,9999
2023-09-18T17:58:12,1,9998,0,9999
2023-09-18T18:11:23,1,9998,0,9999
2023-09-18T18:24:23,1,9998,0,9999
2023-09-18T18:37:23,1,9998,0,9999
2023-09-18T18:50:24,1,9998,0,9999
2023-09-18T19:03:24,1,9998,0,9999
2023-09-18T19:16:23,1,9998,0,9999
2023-09-18T19:29:23,1,9998,0,9999
2023-09-18T19:42:33,1,9998,0,9999
2023-09-18T19:55:33,1,9998,0,9999
2023-09-18T20:08:33,1,9998,0,9999
2023-09-18T20:21:32,1,9998,0,9999
2023-09-18T20:34:34,1,9998,0,9999
2023-09-18T20:47:34,1,9998,0,9999
2023-09-18T21:00:34,1,9998,0,9999
2023-09-18T21:13:33,1,9998,0,9999
2023-09-18T21:26:33,1,9998,0,9999
2023-09-18T21:39:43,1,9998,0,9999
2023-09-18T21:52:44,1,9998,0,9999
2023-09-18T22:05:43,1,9998,0,9999
2023-09-18T22:18:43,1,9998,0,9999
2023-09-18T22:31:44,1,9998,0,9999
2023-09-18T22:44:44,1,9998,0,9999
2023-09-18T22:57:43,1,9998,0,9999
2023-09-18T23:11:00,1,9998,0,9999
2023-09-18T23:24:21,1,9998,0,9999
2023-09-18T23:37:20,1,9998,0,9999
2023-09-18T23:50:21,1,9998,0,9999
2023-09-19T00:03:23,1,9998,0,9999
2023-09-19T00:16:28,1,9998,0,9999
2023-09-19T00:29:36,1,9998,0,9999
2023-09-19T00:42:40,1,9998,0,9999
2023-09-19T00:55:45,1,9998,0,9999
2023-09-19T01:08:50,1,9998,0,9999
2023-09-19T01:21:55,1,9998,0,9999
2023-09-19T01:35:16,1,9998,0,9999
2023-09-19T01:48:19,1,9998,0,9999
2023-09-19T02:01:23,1,9998,0,9999
2023-09-19T02:14:38,1,9998,0,9999
2023-09-19T02:27:40,1,9998,0,9999
2023-09-19T02:40:43,1,9998,0,9999
2023-09-19T02:53:45,1,9998,0,9999
2023-09-19T03:06:47,1,9998,0,9999
2023-09-19T03:19:49,1,9998,0,9999
2023-09-19T03:32:52,1,9998,0,9999
2023-09-19T03:45:55,1,9998,0,9999
2023-09-19T03:58:59,1,9998,0,9999
2023-09-19T04:12:04,1,9998,0,9999
2023-09-19T04:30:36,1,9998,0,9999
2023-09-19T04:45:04,1,9998,0,9999
2023-09-19T04:58:29,1,9998,0,9999
2023-09-19T05:11:38,1,9998,0,9999
2023-09-19T05:24:43,1,9998,0,9999
2023-09-19T05:37:48,1,9998,0,9999
2023-09-19T05:50:52,1,9998,0,9999
2023-09-19T06:03:56,1,9998,0,9999
2023-09-19T06:17:00,1,9998,0,9999
2023-09-19T06:30:03,1,9998,0,9999
2023-09-19T06:43:06,1,9998,0,9999
2023-09-19T06:56:10,1,9998,0,9999
2023-09-19T07:09:14,1,9998,0,9999
2023-09-19T07:22:18,1,9998,0,9999
2023-09-19T07:35:22,1,9998,0,9999
2023-09-19T07:48:23,1,9998,0,9999
2023-09-19T08:01:25,1,9998,0,9999
2023-09-19T08:14:28,1,9998,0,9999
2023-09-19T08:27:30,1,9998,0,9999
2023-09-19T08:40:33,1,9998,0,9999
2023-09-19T08:53:36,1,9998,0,9999
2023-09-19T09:06:38,1,9998,0,9999
2023-09-19T09:19:56,1,9998,0,9999
2023-09-19T09:32:58,1,9998,0,9999
2023-09-19T09:46:00,1,9998,0,9999
2023-09-19T09:59:00,1,9998,0,9999
2023-09-19T10:12:01,1,9998,0,9999
2023-09-19T10:25:02,1,9998,0,9999
2023-09-19T10:38:04,1,9998,0,9999
2023-09-19T10:51:04,1,9998,0,9999
2023-09-19T11:04:04,1,9998,0,9999
2023-09-19T11:17:19,1,9998,0,9999
2023-09-19T11:30:19,1,9998,0,9999
2023-09-19T11:43:19,1,9998,0,9999
2023-09-19T11:56:19,1,9998,0,9999
2023-09-19T12:09:20,1,9998,0,9999
2023-09-19T12:22:42,1,9998,0,9999
2023-09-19T12:35:42,1,9998,0,9999
2023-09-19T12:48:42,1,9998,0,9999
2023-09-19T13:01:41,1,9998,0,9999
2023-09-19T13:14:41,1,9998,0,9999
2023-09-19T13:27:41,1,9998,0,9999
2023-09-19T13:40:40,1,9998,0,9999
2023-09-19T13:53:50,1,9998,0,9999
2023-09-19T14:06:50,1,9998,0,9999
2023-09-19T14:19:50,1,9998,0,9999
2023-09-19T14:32:50,1,9998,0,9999
2023-09-19T14:45:50,1,9998,0,9999
2023-09-19T14:59:13,1,9998,0,9999
2023-09-19T15:12:14,1,9998,0,9999
2023-09-19T15:25:13,1,9998,0,9999
2023-09-19T15:38:13,1,9998,0,9999
2023-09-19T15:51:13,1,9998,0,9999
2023-09-19T16:04:13,1,9998,0,9999
2023-09-19T16:17:23,1,9998,0,9999
2023-09-19T16:30:23,1,9998,0,9999
2023-09-19T16:43:22,1,9998,0,9999
2023-09-19T16:56:22,1,9998,0,9999
2023-09-19T17:09:21,1,9998,0,9999
2023-09-19T17:22:22,1,9998,0,9999
2023-09-19T17:35:22,1,9998,0,9999
2023-09-19T17:48:42,1,9998,0,9999
2023-09-19T18:01:42,1,9998,0,9999
2023-09-19T18:14:41,1,9998,0,9999
2023-09-19T18:27:40,1,9998,0,9999
2023-09-19T18:40:41,1,9998,0,9999
2023-09-19T18:53:40,1,9998,0,9999
2023-09-19T19:06:40,1,9998,0,9999
2023-09-19T19:19:50,1,9998,0,9999
2023-09-19T19:32:51,1,9998,0,9999
2023-09-19T19:45:51,1,9998,0,9999
2023-09-19T19:58:52,1,9998,0,9999
2023-09-19T20:11:52,1,9998,0,9999
2023-09-19T20:24:53,1,9998,0,9999
2023-09-19T20:38:14,1,9998,0,9999
2023-09-19T20:51:13,1,9998,0,9999
2023-09-19T21:04:13,1,9998,0,9999
2023-09-19T21:17:13,1,9998,0,9999
2023-09-19T21:30:13,1,9998,0,9999
2023-09-19T21:43:13,1,9998,0,9999
2023-09-19T21:56:12,1,9998,0,9999
2023-09-19T22:09:24,1,9998,0,9999
2023-09-19T22:22:23,1,9998,0,9999
2023-09-19T22:35:22,1,9998,0,9999
2023-09-19T22:48:22,1,9998,0,9999
2023-09-19T23:01:21,1,9998,0,9999
2023-09-19T23:14:22,1,9998,0,9999
2023-09-19T23:27:43,1,9998,0,9999
2023-09-19T23:40:43,1,9998,0,9999
2023-09-19T23:53:43,1,9998,0,9999
2023-09-20T00:06:44,1,9998,0,9999
2023-09-20T00:19:48,1,9998,0,9999
2023-09-20T00:32:52,1,9998,0,9999
2023-09-20T00:45:59,1,9998,0,9999
2023-09-20T00:59:03,1,9998,0,9999
2023-09-20T01:12:08,1,9998,0,9999
2023-09-20T01:25:13,1,9998,0,9999
2023-09-20T01:38:18,1,9998,0,9999
2023-09-20T01:51:24,1,9998,0,9999
2023-09-20T02:04:42,1,9998,0,9999
2023-09-20T02:17:45,1,9998,0,9999
2023-09-20T02:30:49,1,9998,0,9999
2023-09-20T02:43:52,1,9998,0,9999
2023-09-20T02:56:53,1,9998,0,9999
2023-09-20T03:09:57,1,9998,0,9999
2023-09-20T03:23:24,1,9998,0,9999
2023-09-20T03:36:45,1,9998,0,9999
2023-09-20T03:49:50,1,9998,0,9999
2023-09-20T04:03:03,1,9998,0,9999
2023-09-20T04:27:22,1,9998,0,9999
2023-09-20T04:40:49,1,9998,0,9999
2023-09-20T04:53:54,1,9998,0,9999
2023-09-20T05:07:09,1,9998,0,9999
2023-09-20T05:20:14,1,9998,0,9999
2023-09-20T05:33:18,1,9998,0,9999
2023-09-20T05:46:32,1,9998,0,9999
2023-09-20T05:59:38,1,9998,0,9999
2023-09-20T06:12:42,1,9998,0,9999
2023-09-20T06:25:46,1,9998,0,9999
2023-09-20T06:38:50,1,9998,0,9999
2023-09-20T06:51:53,1,9998,0,9999
2023-09-20T07:04:57,1,9998,0,9999
2023-09-20T07:17:59,1,9998,0,9999
2023-09-20T07:31:02,1,9998,0,9999
2023-09-20T07:44:05,1,9998,0,9999
2023-09-20T07:57:06,1,9998,0,9999
2023-09-20T08:10:09,1,9998,0,9999
2023-09-20T08:23:11,1,9998,0,9999
2023-09-20T08:36:20,1,9998,0,9999
2023-09-20T08:49:20,1,9998,0,9999
2023-09-20T09:02:19,1,9998,0,9999
2023-09-20T09:15:24,1,9998,0,9999
2023-09-20T09:28:24,1,9998,0,9999
2023-09-20T09:41:23,1,9998,0,9999
2023-09-20T09:54:23,1,9998,0,9999
2023-09-20T10:07:33,1,9998,0,9999
2023-09-20T10:20:33,1,9998,0,9999
2023-09-20T10:33:33,1,9998,0,9999
2023-09-20T10:46:33,1,9998,0,9999
2023-09-20T10:59:33,1,9998,0,9999
2023-09-20T11:12:33,1,9998,0,9999
2023-09-20T11:25:32,1,9998,0,9999
2023-09-20T11:38:43,1,9998,0,9999
2023-09-20T11:51:43,1,9998,0,9999
2023-09-20T12:04:43,1,9998,0,9999
2023-09-20T12:17:43,1,9998,0,9999
2023-09-20T12:30:43,1,9998,0,9999
2023-09-20T12:43:43,1,9998,0,9999
2023-09-20T12:56:54,1,9998,0,9999
2023-09-20T13:09:53,1,9998,0,9999
2023-09-20T13:22:53,1,9998,0,9999
2023-09-20T13:35:52,1,9998,0,9999
2023-09-20T13:48:53,1,9998,0,9999
2023-09-20T14:01:54,1,9998,0,9999
2023-09-20T14:15:05,1,9998,0,9999
2023-09-20T14:28:06,1,9998,0,9999
2023-09-20T14:41:07,1,9998,0,9999
2023-09-20T14:54:07,1,9998,0,9999
2023-09-20T15:07:08,1,9998,0,9999
2023-09-20T15:20:10,1,9998,0,9999
