time,enrolled,available,waitlisted,total
2023-07-20T11:41:11,0,0,0,0
2023-07-20T11:53:37,0,0,0,0
2023-07-20T12:06:04,0,0,0,0
2023-07-20T12:18:50,0,0,0,0
2023-07-20T12:31:16,0,0,0,0
2023-07-20T12:43:42,0,0,0,0
2023-07-20T12:56:09,0,0,0,0
2023-07-20T13:08:35,0,0,0,0
2023-07-20T13:21:02,0,0,0,0
2023-07-20T13:33:28,0,0,0,0
2023-07-20T13:45:54,0,0,0,0
2023-07-20T13:58:20,0,0,0,0
2023-07-20T14:10:46,0,0,0,0
2023-07-20T14:23:12,0,0,0,0
2023-07-20T14:35:39,0,0,0,0
2023-07-20T14:48:23,0,0,0,0
2023-07-20T15:00:49,0,0,0,0
2023-07-20T15:13:15,0,0,0,0
2023-07-20T15:25:41,0,0,0,0
2023-07-20T15:38:07,0,0,0,0
2023-07-20T15:50:33,0,0,0,0
2023-07-20T16:02:58,0,0,0,0
2023-07-20T16:15:24,0,0,0,0
2023-07-20T16:27:50,0,0,0,0
2023-07-20T16:40:16,0,0,0,0
2023-07-20T16:52:42,0,0,0,0
2023-07-20T17:05:09,0,0,0,0
2023-07-20T17:17:36,0,0,0,0
2023-07-20T17:30:04,0,0,0,0
2023-07-20T17:42:42,0,0,0,0
2023-07-20T17:55:08,0,0,0,0
2023-07-20T18:07:34,0,0,0,0
2023-07-20T18:20:00,0,0,0,0
2023-07-20T18:32:27,0,0,0,0
2023-07-20T18:44:53,0,0,0,0
2023-07-20T18:57:19,0,0,0,0
2023-07-20T19:09:46,0,0,0,0
2023-07-20T19:22:12,0,0,0,0
2023-07-20T19:34:39,0,0,0,0
2023-07-20T19:47:05,0,0,0,0
2023-07-20T19:59:31,0,0,0,0
2023-07-20T20:11:57,0,0,0,0
2023-07-20T20:24:23,0,0,0,0
2023-07-20T20:36:50,0,0,0,0
2023-07-20T20:49:34,0,0,0,0
2023-07-20T21:02:00,0,0,0,0
2023-07-20T21:14:27,0,0,0,0
2023-07-20T21:26:53,0,0,0,0
2023-07-20T21:39:19,0,0,0,0
2023-07-20T21:51:46,0,0,0,0
2023-07-20T22:04:12,0,0,0,0
2023-07-20T22:16:38,0,0,0,0
2023-07-20T22:29:04,0,0,0,0
2023-07-20T22:41:30,0,0,0,0
2023-07-20T22:53:56,0,0,0,0
2023-07-20T23:06:23,0,0,0,0
2023-07-20T23:18:50,0,0,0,0
2023-07-20T23:31:16,0,0,1,0
2023-07-20T23:43:43,0,0,1,0
2023-07-20T23:56:10,0,0,1,0
2023-07-21T00:08:38,0,0,1,0
2023-07-21T00:21:21,0,0,1,0
2023-07-21T00:33:50,0,0,1,0
2023-07-21T00:46:20,0,0,1,0
2023-07-21T00:58:52,0,0,1,0
2023-07-21T01:11:21,0,0,1,0
2023-07-21T01:23:50,0,0,1,0
2023-07-21T01:36:21,0,0,1,0
2023-07-21T01:48:52,0,0,1,0
2023-07-21T02:01:22,0,0,1,0
2023-07-21T02:13:51,0,0,1,0
