time,enrolled,available,waitlisted,total
2023-10-03T13:52:38,0,15,0,15
2023-10-03T14:05:54,0,15,0,15
2023-10-03T14:18:58,0,15,0,15
2023-10-03T14:32:04,0,15,0,15
2023-10-03T14:45:29,0,15,0,15
2023-10-03T14:58:45,0,15,0,15
2023-10-03T15:12:01,0,15,0,15
2023-10-03T15:25:25,0,15,0,15
2023-10-03T15:38:29,0,15,0,15
2023-10-03T15:51:31,0,15,0,15
2023-10-03T16:04:46,0,15,0,15
2023-10-03T16:17:50,0,15,0,15
2023-10-03T16:31:13,0,15,0,15
2023-10-03T16:44:15,0,15,0,15
2023-10-03T16:57:18,0,15,0,15
2023-10-03T17:10:22,0,15,0,15
2023-10-03T17:23:37,0,15,0,15
2023-10-03T17:36:39,0,15,0,15
2023-10-03T17:49:43,0,15,0,15
2023-10-03T18:02:57,0,15,0,15
2023-10-03T18:16:01,0,15,0,15
2023-10-03T18:29:05,0,15,0,15
2023-10-03T18:42:31,0,15,0,15
2023-10-03T18:55:34,0,15,0,15
2023-10-03T19:08:40,0,15,0,15
2023-10-03T19:21:43,0,15,0,15
2023-10-03T19:34:46,0,15,0,15
2023-10-03T19:48:00,0,15,0,15
2023-10-03T20:01:03,0,15,0,15
2023-10-03T20:14:06,0,15,0,15
2023-10-03T20:27:08,0,15,0,15
2023-10-03T20:40:23,0,15,0,15
2023-10-03T20:53:26,0,15,0,15
2023-10-03T21:06:29,0,15,0,15
2023-10-03T21:19:42,0,15,0,15
2023-10-03T21:32:46,0,15,0,15
2023-10-03T21:45:48,0,15,0,15
2023-10-03T21:58:51,0,15,0,15
2023-10-03T22:11:55,0,15,0,15
2023-10-03T22:25:00,0,15,0,15
2023-10-03T22:38:16,0,15,0,15
2023-10-03T22:51:19,0,15,0,15
2023-10-03T23:04:22,0,15,0,15
2023-10-03T23:17:25,0,15,0,15
2023-10-03T23:30:30,0,15,0,15
2023-10-03T23:43:33,0,15,0,15
2023-10-03T23:56:47,0,15,0,15
2023-10-04T00:09:51,0,15,0,15
2023-10-04T00:23:00,0,15,0,15
2023-10-04T00:36:06,0,15,0,15
2023-10-04T00:49:14,0,15,0,15
2023-10-04T01:02:23,0,15,0,15
2023-10-04T01:15:30,0,15,0,15
2023-10-04T01:28:37,0,15,0,15
2023-10-04T01:41:54,0,15,0,15
2023-10-04T01:55:01,0,15,0,15
2023-10-04T02:08:08,0,15,0,15
2023-10-04T02:21:13,0,15,0,15
2023-10-04T02:34:17,0,15,0,15
2023-10-04T02:47:24,0,15,0,15
2023-10-04T03:00:32,0,15,0,15
2023-10-04T03:13:40,0,15,0,15
2023-10-04T03:26:48,0,15,0,15
2023-10-04T03:39:54,0,15,0,15
2023-10-04T03:53:00,0,15,0,15
2023-10-04T04:06:06,0,15,0,15
2023-10-04T04:31:26,0,15,0,15
2023-10-04T04:44:37,0,15,0,15
2023-10-04T04:57:48,0,15,0,15
2023-10-04T05:10:57,0,15,0,15
2023-10-04T05:24:05,0,15,0,15
2023-10-04T05:37:13,0,15,0,15
2023-10-04T05:50:21,0,15,0,15
2023-10-04T06:03:27,0,15,0,15
2023-10-04T06:16:32,0,15,0,15
2023-10-04T06:29:38,0,15,0,15
2023-10-04T06:42:46,0,15,0,15
2023-10-04T06:55:55,0,15,0,15
2023-10-04T07:09:04,0,15,0,15
2023-10-04T07:22:08,0,15,0,15
2023-10-04T07:35:12,0,15,0,15
2023-10-04T07:48:18,0,15,0,15
2023-10-04T08:01:33,0,15,0,15
2023-10-04T08:14:39,0,15,0,15
2023-10-04T08:27:44,0,15,0,15
2023-10-04T08:40:51,0,15,0,15
2023-10-04T08:53:55,0,15,0,15
2023-10-04T09:07:00,0,15,0,15
2023-10-04T09:20:04,0,15,0,15
2023-10-04T09:36:06,0,15,0,15
2023-10-04T09:49:02,0,15,0,15
2023-10-04T10:01:58,0,15,0,15
2023-10-04T10:14:54,0,15,0,15
2023-10-04T10:28:02,0,15,0,15
2023-10-04T10:40:59,0,15,0,15
2023-10-04T10:53:54,0,15,0,15
2023-10-04T11:07:02,0,15,1,15
2023-10-04T11:19:58,0,15,1,15
2023-10-04T11:32:54,0,15,1,15
2023-10-04T11:45:50,0,15,1,15
2023-10-04T11:58:56,0,15,1,15
2023-10-04T12:11:53,0,15,1,15
2023-10-04T12:24:49,0,15,1,15
2023-10-04T12:37:55,0,15,1,15
2023-10-04T12:50:51,0,15,1,15
2023-10-04T13:03:46,0,15,1,15
2023-10-04T13:16:42,0,15,1,15
2023-10-04T13:29:49,0,15,1,15
2023-10-04T13:42:45,0,15,1,15
2023-10-04T13:55:41,0,15,1,15
2023-10-04T14:08:47,0,15,1,15
2023-10-04T14:21:43,0,15,1,15
2023-10-04T14:34:38,0,15,1,15
2023-10-04T14:47:35,0,15,1,15
2023-10-04T15:00:42,0,15,1,15
2023-10-04T15:13:40,0,15,1,15
2023-10-04T15:26:37,0,20,1,20
2023-10-04T15:39:46,0,20,1,20
2023-10-04T15:52:43,0,20,1,20
2023-10-04T16:05:41,0,20,2,20
2023-10-04T16:18:41,0,20,2,20
2023-10-04T16:31:49,0,20,2,20
2023-10-04T16:44:46,0,20,2,20
2023-10-04T16:57:42,0,20,2,20
2023-10-04T17:10:50,0,20,2,20
2023-10-04T17:23:47,0,20,2,20
2023-10-04T17:36:43,0,20,2,20
2023-10-04T17:49:39,0,20,2,20
2023-10-04T18:02:48,0,20,2,20
2023-10-04T18:15:46,0,20,2,20
2023-10-04T18:28:42,0,20,2,20
2023-10-04T18:41:39,0,20,2,20
2023-10-04T18:54:34,0,20,2,20
2023-10-04T19:07:41,0,20,2,20
2023-10-04T19:20:37,0,20,2,20
2023-10-04T19:33:33,0,20,2,20
2023-10-04T19:46:29,0,20,2,20
2023-10-04T19:59:24,0,20,2,20
2023-10-04T20:12:31,0,20,2,20
2023-10-04T20:25:27,0,20,2,20
2023-10-04T20:38:23,0,20,2,20
2023-10-04T20:51:24,0,20,2,20
2023-10-04T21:04:20,0,20,2,20
2023-10-04T21:17:27,0,20,2,20
2023-10-04T21:30:24,0,20,2,20
2023-10-04T21:43:20,0,20,2,20
2023-10-04T21:56:16,0,20,2,20
2023-10-04T22:09:12,0,20,2,20
2023-10-04T22:22:18,0,20,2,20
2023-10-04T22:35:15,0,20,2,20
2023-10-04T22:48:11,0,20,2,20
2023-10-04T23:01:08,0,20,2,20
2023-10-04T23:14:05,0,20,2,20
2023-10-04T23:27:12,0,20,2,20
2023-10-04T23:40:10,0,20,2,20
2023-10-04T23:53:07,0,20,2,20
2023-10-05T00:06:04,0,20,2,20
2023-10-05T00:19:10,0,20,2,20
2023-10-05T00:32:09,0,20,2,20
2023-10-05T00:45:11,0,20,2,20
2023-10-05T00:58:12,0,20,2,20
2023-10-05T01:11:13,0,20,2,20
2023-10-05T01:24:25,0,20,2,20
2023-10-05T01:37:25,0,20,2,20
2023-10-05T01:50:26,0,20,2,20
2023-10-05T02:03:33,0,20,2,20
2023-10-05T02:16:32,0,20,2,20
2023-10-05T02:29:30,0,20,2,20
2023-10-05T02:42:28,0,20,2,20
2023-10-05T02:55:24,0,20,2,20
2023-10-05T03:08:21,0,20,2,20
2023-10-05T03:21:22,0,20,2,20
2023-10-05T03:34:23,0,20,2,20
2023-10-05T03:47:25,0,20,2,20
2023-10-05T04:00:28,0,20,2,20
2023-10-05T04:26:14,0,20,2,20
2023-10-05T04:40:34,0,20,2,20
2023-10-05T04:53:53,0,20,2,20
2023-10-05T05:07:01,0,20,2,20
2023-10-05T05:20:06,0,20,2,20
2023-10-05T05:33:05,0,20,2,20
2023-10-05T05:46:11,0,20,2,20
2023-10-05T05:59:48,0,20,2,20
2023-10-05T06:12:58,0,20,2,20
2023-10-05T06:26:07,0,20,2,20
2023-10-05T06:39:15,0,20,2,20
2023-10-05T06:52:22,0,20,2,20
2023-10-05T07:05:30,0,20,2,20
2023-10-05T07:18:43,0,20,2,20
2023-10-05T07:31:50,0,20,2,20
2023-10-05T07:44:57,0,20,2,20
2023-10-05T07:58:04,0,20,2,20
2023-10-05T08:11:10,0,20,2,20
2023-10-05T08:24:26,0,20,2,20
2023-10-05T08:37:33,0,20,2,20
2023-10-05T08:50:40,0,20,2,20
2023-10-05T09:03:44,0,20,2,20
2023-10-05T09:16:49,0,20,2,20
2023-10-05T09:29:54,0,20,2,20
2023-10-05T09:43:08,0,20,2,20
2023-10-05T09:56:12,0,20,2,20
2023-10-05T10:09:17,0,20,2,20
2023-10-05T10:22:23,0,20,2,20
2023-10-05T10:35:29,0,20,2,20
2023-10-05T10:48:44,0,20,2,20
2023-10-05T11:01:49,0,20,2,20
2023-10-05T11:14:55,0,20,2,20
2023-10-05T11:27:59,0,20,2,20
