time,enrolled,available,waitlisted,total
2023-05-25T01:16:20,0,10,0,10
2023-05-25T01:27:57,0,10,0,10
2023-05-25T01:39:32,0,10,0,10
2023-05-25T01:51:16,0,10,0,10
2023-05-25T02:02:52,0,10,0,10
2023-05-25T02:14:28,0,10,0,10
2023-05-25T02:26:04,0,10,0,10
2023-05-25T02:37:37,0,10,0,10
2023-05-25T02:49:11,0,10,0,10
2023-05-25T03:00:44,0,10,0,10
2023-05-25T03:12:21,0,10,0,10
2023-05-25T03:24:19,0,10,0,10
2023-05-25T03:35:57,0,10,0,10
2023-05-25T03:47:33,0,10,0,10
2023-05-25T03:59:08,0,10,0,10
2023-05-25T04:18:31,0,10,0,10
2023-05-25T04:30:32,0,10,0,10
2023-05-25T04:42:09,0,10,0,10
2023-05-25T04:53:44,0,10,0,10
2023-05-25T05:05:21,0,10,0,10
2023-05-25T05:16:58,0,10,0,10
2023-05-25T05:28:34,0,10,0,10
2023-05-25T05:40:10,0,10,0,10
2023-05-25T05:51:46,0,10,0,10
2023-05-25T06:03:23,0,10,0,10
2023-05-25T06:14:58,0,10,0,10
2023-05-25T06:26:33,0,10,0,10
2023-05-25T06:38:08,0,10,0,10
2023-05-25T06:49:43,0,10,0,10
2023-05-25T07:01:19,0,10,0,10
2023-05-25T07:12:54,0,10,0,10
2023-05-25T07:24:29,0,10,0,10
2023-05-25T07:36:02,0,10,0,10
2023-05-25T07:47:40,0,10,0,10
2023-05-25T07:59:15,0,10,0,10
2023-05-25T08:10:49,0,10,0,10
2023-05-25T08:22:34,0,10,0,10
2023-05-25T08:34:08,0,10,0,10
2023-05-25T08:45:40,0,10,0,10
2023-05-25T08:57:13,0,10,0,10
2023-05-25T09:08:46,0,10,0,10
2023-05-25T09:20:19,0,10,0,10
2023-05-25T09:31:52,0,10,0,10
2023-05-25T09:43:24,0,10,0,10
2023-05-25T09:54:57,0,10,0,10
2023-05-25T10:06:30,0,10,0,10
2023-05-25T10:18:15,0,10,0,10
2023-05-25T10:29:48,0,10,0,10
2023-05-25T10:41:20,0,10,0,10
2023-05-25T10:53:03,0,10,0,10
2023-05-25T11:04:36,0,10,0,10
2023-05-25T11:16:08,0,10,0,10
2023-05-25T11:27:41,0,10,0,10
2023-05-25T11:39:14,0,10,0,10
2023-05-25T11:50:47,0,10,0,10
2023-05-25T12:02:31,0,10,0,10
2023-05-25T12:14:04,0,10,0,10
2023-05-25T12:25:37,0,10,0,10
2023-05-25T12:37:10,0,10,0,10
2023-05-25T12:48:42,0,10,0,10
2023-05-25T13:00:26,0,10,0,10
2023-05-25T13:11:58,0,10,0,10
2023-05-25T13:23:31,0,10,0,10
2023-05-25T13:35:04,0,10,0,10
2023-05-25T13:46:37,0,10,0,10
2023-05-25T13:58:11,0,10,0,10
2023-05-25T14:09:55,0,10,0,10
2023-05-25T14:21:29,0,10,0,10
2023-05-25T14:33:02,0,10,0,10
2023-05-25T14:44:34,0,10,0,10
2023-05-25T14:56:08,0,10,0,10
2023-05-25T15:07:52,0,10,0,10
2023-05-25T15:19:27,0,10,0,10
2023-05-25T15:31:01,0,10,0,10
2023-05-25T15:42:36,0,10,0,10
2023-05-25T15:54:10,0,10,0,10
2023-05-25T16:05:56,0,10,0,10
2023-05-25T16:17:31,0,10,0,10
2023-05-25T16:29:06,0,10,0,10
2023-05-25T16:40:41,0,10,0,10
2023-05-25T16:52:16,0,10,0,10
2023-05-25T17:03:53,0,10,0,10
2023-05-25T17:15:40,0,10,0,10
2023-05-25T17:27:16,0,10,0,10
2023-05-25T17:38:51,0,10,0,10
2023-05-25T17:50:27,0,10,0,10
2023-05-25T18:02:03,0,10,0,10
2023-05-25T18:13:40,0,10,0,10
2023-05-25T18:25:15,0,10,0,10
2023-05-25T18:37:00,0,10,0,10
2023-05-25T18:48:36,0,10,0,10
2023-05-25T19:00:12,0,10,0,10
2023-05-25T19:11:48,0,10,0,10
2023-05-25T19:23:24,0,10,0,10
2023-05-25T19:35:00,0,10,0,10
2023-05-25T19:46:36,0,10,0,10
2023-05-25T19:58:21,0,10,0,10
2023-05-25T20:09:57,0,10,0,10
2023-05-25T20:21:33,0,10,0,10
2023-05-25T20:33:09,0,10,0,10
2023-05-25T20:44:44,0,10,0,10
2023-05-25T20:56:20,0,10,0,10
2023-05-25T21:07:55,0,10,0,10
2023-05-25T21:19:43,0,10,0,10
2023-05-25T21:31:19,0,10,0,10
2023-05-25T21:42:55,0,10,0,10
2023-05-25T21:54:30,0,10,0,10
2023-05-25T22:06:05,0,10,0,10
2023-05-25T22:17:41,0,10,0,10
2023-05-25T22:29:16,0,10,0,10
2023-05-25T22:40:52,0,10,0,10
2023-05-25T22:52:38,0,10,0,10
2023-05-25T23:04:16,0,10,0,10
2023-05-25T23:15:52,0,10,0,10
2023-05-25T23:27:28,0,10,0,10
2023-05-25T23:39:04,0,10,0,10
2023-05-25T23:50:39,0,10,0,10
2023-05-26T00:02:23,0,10,0,10
2023-05-26T00:14:14,0,10,0,10
2023-05-26T00:25:54,0,10,0,10
2023-05-26T00:37:33,0,10,0,10
2023-05-26T00:49:11,0,10,0,10
2023-05-26T01:00:51,0,10,0,10
2023-05-26T01:12:30,0,10,0,10
2023-05-26T01:24:08,0,10,0,10
2023-05-26T01:35:46,0,10,0,10
2023-05-26T01:47:34,0,10,0,10
2023-05-26T01:59:14,0,10,0,10
2023-05-26T02:10:54,0,10,0,10
2023-05-26T02:22:31,0,10,0,10
2023-05-26T02:34:09,0,10,0,10
2023-05-26T02:45:58,0,10,0,10
2023-05-26T02:57:38,0,10,0,10
2023-05-26T03:09:18,0,10,0,10
2023-05-26T03:21:00,0,10,0,10
2023-05-26T03:32:38,0,10,0,10
2023-05-26T03:44:16,0,10,0,10
2023-05-26T03:55:55,0,10,0,10
2023-05-26T04:07:43,0,10,0,10
2023-05-26T04:29:43,0,10,0,10
2023-05-26T04:41:46,0,10,0,10
2023-05-26T04:53:27,0,10,0,10
2023-05-26T05:05:09,0,10,0,10
2023-05-26T05:16:49,0,10,0,10
2023-05-26T05:28:27,0,10,0,10
2023-05-26T05:40:07,0,10,0,10
2023-05-26T05:51:45,0,10,0,10
2023-05-26T06:03:24,0,10,0,10
2023-05-26T06:15:03,0,10,0,10
2023-05-26T06:26:42,0,10,0,10
2023-05-26T06:38:21,0,10,0,10
2023-05-26T06:49:59,0,10,0,10
2023-05-26T07:01:37,0,10,0,10
2023-05-26T07:13:16,0,10,0,10
2023-05-26T07:24:55,0,10,0,10
2023-05-26T07:36:40,0,10,0,10
2023-05-26T07:48:17,0,10,0,10
2023-05-26T07:59:54,0,10,0,10
2023-05-26T08:11:30,0,10,0,10
2023-05-26T08:23:06,0,10,0,10
2023-05-26T08:34:42,0,10,0,10
