time,enrolled,available,waitlisted,total
2023-05-25T01:18:59,0,28,0,28
2023-05-25T01:30:35,0,28,0,28
2023-05-25T01:42:19,0,28,0,28
2023-05-25T01:53:54,0,28,0,28
2023-05-25T02:05:30,0,28,0,28
2023-05-25T02:17:06,0,28,0,28
2023-05-25T02:28:41,0,28,0,28
2023-05-25T02:40:15,0,28,0,28
2023-05-25T02:51:48,0,28,0,28
2023-05-25T03:03:21,0,28,0,28
2023-05-25T03:14:59,0,28,0,28
2023-05-25T03:26:57,0,28,0,28
2023-05-25T03:38:35,0,28,0,28
2023-05-25T03:50:11,0,28,0,28
2023-05-25T04:01:46,0,28,0,28
2023-05-25T04:21:10,0,28,0,28
2023-05-25T04:33:10,0,28,0,28
2023-05-25T04:44:47,0,28,0,28
2023-05-25T04:56:22,0,28,0,28
2023-05-25T05:07:59,0,28,0,28
2023-05-25T05:19:36,0,28,0,28
2023-05-25T05:31:12,0,28,0,28
2023-05-25T05:42:48,0,28,0,28
2023-05-25T05:54:24,0,28,0,28
2023-05-25T06:06:01,0,28,0,28
2023-05-25T06:17:36,0,28,0,28
2023-05-25T06:29:11,0,28,0,28
2023-05-25T06:40:46,0,28,0,28
2023-05-25T06:52:21,0,28,0,28
2023-05-25T07:03:57,0,28,0,28
2023-05-25T07:15:32,0,28,0,28
2023-05-25T07:27:06,0,28,0,28
2023-05-25T07:38:39,0,28,0,28
2023-05-25T07:50:18,0,28,0,28
2023-05-25T08:01:52,0,28,0,28
2023-05-25T08:13:27,0,28,0,28
2023-05-25T08:25:11,0,28,0,28
2023-05-25T08:36:45,0,28,0,28
2023-05-25T08:48:17,0,28,0,28
2023-05-25T08:59:50,0,28,0,28
2023-05-25T09:11:23,0,28,0,28
2023-05-25T09:22:56,0,28,0,28
2023-05-25T09:34:29,0,28,0,28
2023-05-25T09:46:01,0,28,0,28
2023-05-25T09:57:35,0,28,0,28
2023-05-25T10:09:19,0,28,0,28
2023-05-25T10:20:52,0,28,0,28
2023-05-25T10:32:25,0,28,0,28
2023-05-25T10:43:57,0,28,0,28
2023-05-25T10:55:40,0,28,0,28
2023-05-25T11:07:13,0,28,0,28
2023-05-25T11:18:46,0,28,0,28
2023-05-25T11:30:18,0,28,0,28
2023-05-25T11:41:51,0,28,0,28
2023-05-25T11:53:24,0,28,0,28
2023-05-25T12:05:08,0,28,0,28
2023-05-25T12:16:41,0,28,0,28
2023-05-25T12:28:14,0,28,0,28
2023-05-25T12:39:47,0,28,0,28
2023-05-25T12:51:20,0,28,0,28
2023-05-25T13:03:03,0,28,0,28
2023-05-25T13:14:36,0,28,0,28
2023-05-25T13:26:08,0,28,0,28
2023-05-25T13:37:42,0,28,0,28
2023-05-25T13:49:15,0,28,0,28
2023-05-25T14:00:59,0,28,0,28
2023-05-25T14:12:33,0,28,0,28
2023-05-25T14:24:06,0,28,0,28
2023-05-25T14:35:39,0,28,0,28
2023-05-25T14:47:12,0,28,0,28
2023-05-25T14:58:55,0,28,0,28
2023-05-25T15:10:30,0,28,0,28
2023-05-25T15:22:04,0,28,0,28
2023-05-25T15:33:38,0,28,0,28
2023-05-25T15:45:13,0,28,0,28
2023-05-25T15:56:48,0,28,0,28
2023-05-25T16:08:33,0,28,0,28
2023-05-25T16:20:08,0,28,0,28
2023-05-25T16:31:43,0,28,0,28
2023-05-25T16:43:18,0,28,0,28
2023-05-25T16:54:53,0,28,0,28
2023-05-25T17:06:30,0,28,0,28
2023-05-25T17:18:17,0,28,0,28
2023-05-25T17:29:53,0,28,0,28
2023-05-25T17:41:28,0,28,0,28
2023-05-25T17:53:04,0,28,0,28
2023-05-25T18:04:41,0,28,0,28
2023-05-25T18:16:17,0,28,0,28
2023-05-25T18:27:52,0,28,0,28
2023-05-25T18:39:38,0,28,0,28
2023-05-25T18:51:14,0,28,0,28
2023-05-25T19:02:49,0,28,0,28
2023-05-25T19:14:26,0,28,0,28
2023-05-25T19:26:01,0,28,0,28
2023-05-25T19:37:37,0,28,0,28
2023-05-25T19:49:13,0,28,0,28
2023-05-25T20:00:58,0,28,0,28
2023-05-25T20:12:34,0,28,0,28
2023-05-25T20:24:10,0,28,0,28
2023-05-25T20:35:46,0,28,0,28
2023-05-25T20:47:21,0,28,0,28
2023-05-25T20:58:57,0,28,0,28
2023-05-25T21:10:33,0,28,0,28
2023-05-25T21:22:20,0,28,0,28
2023-05-25T21:33:56,0,28,0,28
2023-05-25T21:45:32,0,28,0,28
2023-05-25T21:57:07,0,28,0,28
2023-05-25T22:08:43,0,28,0,28
2023-05-25T22:20:18,0,28,0,28
2023-05-25T22:31:53,0,28,0,28
2023-05-25T22:43:40,0,28,0,28
2023-05-25T22:55:15,0,28,0,28
2023-05-25T23:06:54,0,28,0,28
