time,enrolled,available,waitlisted,total
2023-09-06T09:54:53,0,3,0,3
2023-09-06T10:07:50,0,3,0,3
2023-09-06T10:20:58,0,3,0,3
2023-09-06T10:33:55,0,3,0,3
2023-09-06T10:46:49,0,3,0,3
2023-09-06T10:59:57,0,3,0,3
2023-09-06T11:12:52,0,3,0,3
2023-09-06T11:25:46,0,3,0,3
2023-09-06T11:38:40,0,3,0,3
2023-09-06T11:51:45,0,3,0,3
2023-09-06T12:04:39,0,3,0,3
2023-09-06T12:17:35,0,3,0,3
2023-09-06T12:30:30,0,3,0,3
2023-09-06T12:43:25,0,3,0,3
2023-09-06T12:56:30,0,3,0,3
2023-09-06T13:09:24,0,3,0,3
2023-09-06T13:22:18,0,3,0,3
2023-09-06T13:35:13,0,3,0,3
2023-09-06T13:48:10,0,3,0,3
2023-09-06T14:01:14,0,3,0,3
2023-09-06T14:14:09,0,3,0,3
2023-09-06T14:27:05,0,3,0,3
2023-09-06T14:40:00,0,3,0,3
2023-09-06T14:52:56,0,3,0,3
2023-09-06T15:06:05,0,3,0,3
2023-09-06T15:18:59,0,3,0,3
2023-09-06T15:31:55,0,3,0,3
2023-09-06T15:44:49,0,3,0,3
2023-09-06T15:57:43,0,3,0,3
2023-09-06T16:10:36,0,3,0,3
2023-09-06T16:23:30,0,3,0,3
2023-09-06T16:36:35,0,3,0,3
2023-09-06T16:49:28,0,3,0,3
2023-09-06T17:02:23,0,3,0,3
2023-09-06T17:15:19,0,3,0,3
2023-09-06T17:28:12,0,3,0,3
2023-09-06T17:41:05,0,3,0,3
2023-09-06T17:53:59,0,3,0,3
2023-09-06T18:07:03,0,3,0,3
2023-09-06T18:19:56,0,3,0,3
2023-09-06T18:32:50,0,3,0,3
2023-09-06T18:45:43,0,3,0,3
2023-09-06T18:58:36,0,3,0,3
2023-09-06T19:11:29,0,3,0,3
2023-09-06T19:24:23,0,3,0,3
2023-09-06T19:37:16,0,3,0,3
2023-09-06T19:50:20,0,3,0,3
2023-09-06T20:03:13,0,3,0,3
2023-09-06T20:16:06,0,3,0,3
2023-09-06T20:29:00,0,3,0,3
2023-09-06T20:41:54,0,3,0,3
2023-09-06T20:54:48,0,3,0,3
2023-09-06T21:07:41,0,3,0,3
2023-09-06T21:20:35,0,3,0,3
2023-09-06T21:33:40,0,3,0,3
2023-09-06T21:46:33,0,3,0,3
2023-09-06T21:59:26,0,3,0,3
2023-09-06T22:12:20,0,3,0,3
2023-09-06T22:25:15,0,3,0,3
2023-09-06T22:38:10,0,3,0,3
2023-09-06T22:51:04,0,3,0,3
2023-09-06T23:04:09,0,3,0,3
2023-09-06T23:17:04,0,3,0,3
2023-09-06T23:29:58,0,3,0,3
2023-09-06T23:42:52,0,3,0,3
2023-09-06T23:55:45,0,3,0,3
2023-09-07T00:08:42,0,3,0,3
2023-09-07T00:21:46,0,3,0,3
2023-09-07T00:34:53,0,3,0,3
2023-09-07T00:47:50,0,3,0,3
2023-09-07T01:00:47,0,3,0,3
2023-09-07T01:13:44,0,3,0,3
2023-09-07T01:26:40,0,3,0,3
2023-09-07T01:39:37,0,3,0,3
2023-09-07T01:52:34,0,3,0,3
2023-09-07T02:05:30,0,3,0,3
2023-09-07T02:18:25,0,3,0,3
2023-09-07T02:31:32,0,3,0,3
2023-09-07T02:44:28,0,3,0,3
2023-09-07T02:57:23,0,3,0,3
2023-09-07T03:10:24,0,3,0,3
2023-09-07T03:23:21,0,3,0,3
2023-09-07T03:36:16,0,3,0,3
2023-09-07T03:49:12,0,3,0,3
2023-09-07T04:02:08,0,3,0,3
2023-09-07T04:26:19,0,3,0,3
2023-09-07T04:40:49,0,3,0,3
2023-09-07T04:53:53,0,3,0,3
2023-09-07T05:06:52,0,3,0,3
2023-09-07T05:19:52,0,3,0,3
2023-09-07T05:32:49,0,3,0,3
2023-09-07T05:45:47,0,3,0,3
2023-09-07T05:58:45,0,3,0,3
2023-09-07T06:11:42,0,3,0,3
2023-09-07T06:24:40,0,3,0,3
2023-09-07T06:37:36,0,3,0,3
2023-09-07T06:50:34,0,3,0,3
2023-09-07T07:03:31,0,3,0,3
2023-09-07T07:16:29,0,3,0,3
2023-09-07T07:29:25,0,3,0,3
2023-09-07T07:42:20,0,3,0,3
2023-09-07T07:55:17,0,3,0,3
2023-09-07T08:08:21,0,3,0,3
2023-09-07T08:21:17,0,3,0,3
2023-09-07T08:34:14,0,3,0,3
2023-09-07T08:47:10,0,3,0,3
2023-09-07T09:00:06,0,3,0,3
2023-09-07T09:13:02,0,3,0,3
2023-09-07T09:25:59,0,3,0,3
2023-09-07T09:38:54,0,3,0,3
2023-09-07T09:52:02,0,3,0,3
2023-09-07T10:04:56,0,3,0,3
2023-09-07T10:17:51,0,3,0,3
2023-09-07T10:30:46,0,3,0,3
2023-09-07T10:43:41,0,3,0,3
2023-09-07T10:56:36,0,3,0,3
2023-09-07T11:09:42,0,3,0,3
2023-09-07T11:22:37,0,3,0,3
2023-09-07T11:35:32,0,3,0,3
2023-09-07T11:48:26,0,3,0,3
2023-09-07T12:01:20,0,3,0,3
2023-09-07T12:14:25,0,3,0,3
2023-09-07T12:27:20,0,3,0,3
2023-09-07T12:40:15,0,3,0,3
2023-09-07T12:53:09,0,3,0,3
2023-09-07T13:06:05,0,3,0,3
2023-09-07T13:18:59,0,3,0,3
2023-09-07T13:32:03,0,3,0,3
2023-09-07T13:44:58,0,3,0,3
2023-09-07T13:57:53,0,3,0,3
2023-09-07T14:10:47,0,3,0,3
2023-09-07T14:23:41,0,3,0,3
2023-09-07T14:36:34,0,3,0,3
2023-09-07T14:49:39,0,3,0,3
2023-09-07T15:02:32,0,3,0,3
2023-09-07T15:15:26,0,3,0,3
2023-09-07T15:28:20,0,3,0,3
2023-09-07T15:41:15,0,3,0,3
2023-09-07T15:54:09,0,3,0,3
2023-09-07T16:07:13,0,3,0,3
2023-09-07T16:20:06,0,3,0,3
2023-09-07T16:33:00,0,3,0,3
2023-09-07T16:45:53,0,3,0,3
2023-09-07T16:58:46,0,3,0,3
2023-09-07T17:11:40,0,3,0,3
2023-09-07T17:24:44,0,3,0,3
2023-09-07T17:37:37,0,3,0,3
2023-09-07T17:50:31,0,3,0,3
2023-09-07T18:03:25,0,3,0,3
2023-09-07T18:16:18,0,3,0,3
2023-09-07T18:29:12,0,3,0,3
2023-09-07T18:42:05,0,3,0,3
2023-09-07T18:54:58,0,3,0,3
2023-09-07T19:08:03,0,3,0,3
2023-09-07T19:20:57,0,3,0,3
2023-09-07T19:33:50,0,3,0,3
2023-09-07T19:46:42,0,3,0,3
2023-09-07T19:59:37,0,3,0,3
2023-09-07T20:12:31,0,3,0,3
2023-09-07T20:25:23,0,3,0,3
2023-09-07T20:38:27,0,3,0,3
2023-09-07T20:51:19,0,3,0,3
2023-09-07T21:04:12,0,3,0,3
2023-09-07T21:17:05,0,3,0,3
2023-09-07T21:29:58,0,3,0,3
2023-09-07T21:42:52,0,3,0,3
2023-09-07T21:55:46,0,3,0,3
2023-09-07T22:08:39,0,3,0,3
2023-09-07T22:21:45,0,3,0,3
2023-09-07T22:34:40,0,3,0,3
2023-09-07T22:47:34,0,3,0,3
2023-09-07T23:00:27,0,3,0,3
2023-09-07T23:13:22,0,3,0,3
2023-09-07T23:26:17,0,3,0,3
2023-09-07T23:39:11,0,3,0,3
2023-09-07T23:52:06,0,3,0,3
2023-09-08T00:05:02,0,3,0,3
2023-09-08T00:18:23,0,3,0,3
2023-09-08T00:31:20,0,3,0,3
2023-09-08T00:44:19,0,3,0,3
2023-09-08T00:57:17,0,3,0,3
2023-09-08T01:10:14,0,3,0,3
2023-09-08T01:23:13,0,3,0,3
