time,enrolled,available,waitlisted,total
2023-08-22T09:38:54,0,0,0,0
2023-08-22T09:51:38,0,0,0,0
2023-08-22T10:04:21,0,0,0,0
2023-08-22T10:17:04,0,0,0,0
2023-08-22T10:29:49,0,0,0,0
2023-08-22T10:42:32,0,0,0,0
2023-08-22T10:55:15,0,0,0,0
2023-08-22T11:07:59,0,0,0,0
2023-08-22T11:20:53,0,0,0,0
2023-08-22T11:33:37,0,0,0,0
2023-08-22T11:46:20,0,0,0,0
2023-08-22T11:59:04,0,0,0,0
2023-08-22T12:11:47,0,0,0,0
2023-08-22T12:24:31,0,0,0,0
2023-08-22T12:37:15,0,0,0,0
2023-08-22T12:50:11,0,0,0,0
2023-08-22T13:02:54,0,0,0,0
2023-08-22T13:15:37,0,0,0,0
2023-08-22T13:28:20,0,0,0,0
2023-08-22T13:41:06,0,0,0,0
2023-08-22T13:53:49,0,0,0,0
2023-08-22T14:06:33,0,0,0,0
2023-08-22T14:19:28,0,0,0,0
2023-08-22T14:32:11,0,0,0,0
2023-08-22T14:44:55,0,0,0,0
2023-08-22T14:57:39,0,0,0,0
2023-08-22T15:10:24,0,0,0,0
2023-08-22T15:23:07,0,0,0,0
2023-08-22T15:35:51,0,0,0,0
2023-08-22T15:48:43,0,0,0,0
2023-08-22T16:01:27,0,0,0,0
2023-08-22T16:14:10,0,0,0,0
2023-08-22T16:26:54,0,0,0,0
2023-08-22T16:39:36,0,0,0,0
2023-08-22T16:52:20,0,0,0,0
2023-08-22T17:05:06,0,0,0,0
2023-08-22T17:17:50,0,0,0,0
2023-08-22T17:30:46,0,0,0,0
2023-08-22T17:43:29,0,0,0,0
2023-08-22T17:56:13,0,0,0,0
2023-08-22T18:08:55,0,0,0,0
2023-08-22T18:21:39,0,0,0,0
2023-08-22T18:34:22,0,0,0,0
2023-08-22T18:47:06,0,0,0,0
2023-08-22T18:59:50,0,0,0,0
2023-08-22T19:12:36,0,0,0,0
2023-08-22T19:25:19,0,0,0,0
2023-08-22T19:38:13,0,0,0,0
2023-08-22T19:50:56,0,0,0,0
2023-08-22T20:03:39,0,0,0,0
2023-08-22T20:16:22,0,0,0,0
2023-08-22T20:29:06,0,0,0,0
2023-08-22T20:41:49,0,0,0,0
2023-08-22T20:54:32,0,0,0,0
2023-08-22T21:07:27,0,0,0,0
2023-08-22T21:20:10,0,0,0,0
2023-08-22T21:32:53,0,0,0,0
2023-08-22T21:45:37,0,0,0,0
2023-08-22T21:58:20,0,0,0,0
2023-08-22T22:11:03,0,0,0,0
2023-08-22T22:23:47,0,0,0,0
2023-08-22T22:36:30,0,0,0,0
2023-08-22T22:49:24,0,0,0,0
2023-08-22T23:02:08,0,0,0,0
2023-08-22T23:14:54,0,0,0,0
2023-08-22T23:27:38,0,0,0,0
2023-08-22T23:40:22,0,0,0,0
2023-08-22T23:53:05,0,0,0,0
2023-08-23T00:05:50,0,0,0,0
2023-08-23T00:18:35,0,0,0,0
2023-08-23T00:31:21,0,0,0,0
2023-08-23T00:44:10,0,0,0,0
2023-08-23T00:56:56,0,0,0,0
2023-08-23T01:09:44,0,0,0,0
2023-08-23T01:22:38,0,0,0,0
2023-08-23T01:35:26,0,0,0,0
2023-08-23T01:48:13,0,0,0,0
2023-08-23T02:01:01,0,0,0,0
2023-08-23T02:13:56,0,0,0,0
2023-08-23T02:26:41,0,0,0,0
2023-08-23T02:39:36,0,0,0,0
2023-08-23T02:52:23,0,0,0,0
2023-08-23T03:05:16,0,0,0,0
2023-08-23T03:18:14,0,0,0,0
2023-08-23T03:31:00,0,0,0,0
2023-08-23T03:43:58,0,0,0,0
2023-08-23T03:56:45,0,0,0,0
