time,enrolled,available,waitlisted,total
2023-05-25T01:18:56,0,14,0,14
2023-05-25T01:30:31,0,14,0,14
2023-05-25T01:42:16,0,14,0,14
2023-05-25T01:53:51,0,14,0,14
2023-05-25T02:05:27,0,14,0,14
2023-05-25T02:17:03,0,14,0,14
2023-05-25T02:28:38,0,14,0,14
2023-05-25T02:40:12,0,14,0,14
2023-05-25T02:51:45,0,14,0,14
2023-05-25T03:03:18,0,14,0,14
2023-05-25T03:14:56,0,14,0,14
2023-05-25T03:26:54,0,14,0,14
2023-05-25T03:38:32,0,14,0,14
2023-05-25T03:50:08,0,14,0,14
2023-05-25T04:01:43,0,14,0,14
2023-05-25T04:21:07,0,14,0,14
2023-05-25T04:33:07,0,14,0,14
2023-05-25T04:44:44,0,14,0,14
2023-05-25T04:56:19,0,14,0,14
2023-05-25T05:07:56,0,14,0,14
2023-05-25T05:19:33,0,14,0,14
2023-05-25T05:31:09,0,14,0,14
2023-05-25T05:42:45,0,14,0,14
2023-05-25T05:54:21,0,14,0,14
2023-05-25T06:05:58,0,14,0,14
2023-05-25T06:17:33,0,14,0,14
2023-05-25T06:29:08,0,14,0,14
2023-05-25T06:40:43,0,14,0,14
2023-05-25T06:52:18,0,14,0,14
2023-05-25T07:03:54,0,14,0,14
2023-05-25T07:15:29,0,14,0,14
2023-05-25T07:27:03,0,14,0,14
2023-05-25T07:38:36,0,14,0,14
2023-05-25T07:50:15,0,14,0,14
2023-05-25T08:01:49,0,14,0,14
2023-05-25T08:13:24,0,14,0,14
2023-05-25T08:25:08,0,14,0,14
2023-05-25T08:36:42,0,14,0,14
2023-05-25T08:48:14,0,14,0,14
2023-05-25T08:59:47,0,14,0,14
2023-05-25T09:11:20,0,14,0,14
2023-05-25T09:22:53,0,14,0,14
2023-05-25T09:34:26,0,14,0,14
2023-05-25T09:45:58,0,14,0,14
2023-05-25T09:57:32,0,14,0,14
2023-05-25T10:09:16,0,14,0,14
2023-05-25T10:20:49,0,14,0,14
2023-05-25T10:32:22,0,14,0,14
2023-05-25T10:43:55,0,14,0,14
2023-05-25T10:55:37,0,14,0,14
2023-05-25T11:07:10,0,14,0,14
2023-05-25T11:18:43,0,14,0,14
2023-05-25T11:30:15,0,14,0,14
2023-05-25T11:41:48,0,14,0,14
2023-05-25T11:53:21,0,14,0,14
2023-05-25T12:05:05,0,14,0,14
2023-05-25T12:16:38,0,14,0,14
2023-05-25T12:28:11,0,14,0,14
2023-05-25T12:39:44,0,14,0,14
2023-05-25T12:51:17,0,14,0,14
2023-05-25T13:03:00,0,14,0,14
2023-05-25T13:14:33,0,14,0,14
2023-05-25T13:26:05,0,14,0,14
2023-05-25T13:37:39,0,14,0,14
2023-05-25T13:49:12,0,14,0,14
2023-05-25T14:00:56,0,14,0,14
2023-05-25T14:12:30,0,14,0,14
2023-05-25T14:24:03,0,14,0,14
2023-05-25T14:35:36,0,14,0,14
2023-05-25T14:47:09,0,14,0,14
2023-05-25T14:58:52,0,14,0,14
2023-05-25T15:10:27,0,14,0,14
2023-05-25T15:22:01,0,14,0,14
2023-05-25T15:33:35,0,14,0,14
2023-05-25T15:45:10,0,14,0,14
2023-05-25T15:56:45,0,14,0,14
2023-05-25T16:08:30,0,14,0,14
2023-05-25T16:20:05,0,14,0,14
2023-05-25T16:31:40,0,14,0,14
2023-05-25T16:43:15,0,14,0,14
2023-05-25T16:54:50,0,14,0,14
