time,enrolled,available,waitlisted,total
2023-05-25T01:15:47,0,35,0,35
2023-05-25T01:27:23,0,35,0,35
2023-05-25T01:38:59,0,35,0,35
2023-05-25T01:50:43,0,35,0,35
2023-05-25T02:02:19,0,35,0,35
2023-05-25T02:13:55,0,35,0,35
2023-05-25T02:25:31,0,35,0,35
2023-05-25T02:37:05,0,35,0,35
2023-05-25T02:48:38,0,35,0,35
2023-05-25T03:00:11,0,35,0,35
2023-05-25T03:11:48,0,35,0,35
2023-05-25T03:23:46,0,35,0,35
2023-05-25T03:35:24,0,35,0,35
2023-05-25T03:47:00,0,35,0,35
2023-05-25T03:58:36,0,35,0,35
2023-05-25T04:17:58,0,35,0,35
2023-05-25T04:29:59,0,35,0,35
2023-05-25T04:41:36,0,35,0,35
2023-05-25T04:53:11,0,35,0,35
2023-05-25T05:04:48,0,35,0,35
2023-05-25T05:16:25,0,35,0,35
2023-05-25T05:28:01,0,35,0,35
2023-05-25T05:39:37,0,35,0,35
2023-05-25T05:51:13,0,35,0,35
2023-05-25T06:02:50,0,35,0,35
2023-05-25T06:14:25,0,35,0,35
2023-05-25T06:26:00,0,35,0,35
2023-05-25T06:37:35,0,35,0,35
2023-05-25T06:49:10,0,35,0,35
2023-05-25T07:00:46,0,35,0,35
2023-05-25T07:12:21,0,35,0,35
2023-05-25T07:23:56,0,35,0,35
2023-05-25T07:35:29,0,35,0,35
2023-05-25T07:47:06,0,35,0,35
2023-05-25T07:58:42,0,35,0,35
2023-05-25T08:10:16,0,35,0,35
2023-05-25T08:22:01,0,35,0,35
2023-05-25T08:33:35,0,35,0,35
2023-05-25T08:45:07,0,35,0,35
2023-05-25T08:56:39,0,35,0,35
2023-05-25T09:08:13,0,35,0,35
2023-05-25T09:19:46,0,35,0,35
2023-05-25T09:31:19,0,35,0,35
2023-05-25T09:42:51,0,35,0,35
2023-05-25T09:54:24,0,35,0,35
2023-05-25T10:05:58,0,35,0,35
2023-05-25T10:17:42,0,35,0,35
2023-05-25T10:29:15,0,35,0,35
2023-05-25T10:40:48,0,35,0,35
2023-05-25T10:52:30,0,35,0,35
2023-05-25T11:04:03,0,35,0,35
2023-05-25T11:15:35,0,35,0,35
2023-05-25T11:27:08,0,35,0,35
2023-05-25T11:38:41,0,35,0,35
2023-05-25T11:50:14,0,35,0,35
2023-05-25T12:01:58,0,35,0,35
2023-05-25T12:13:31,0,35,0,35
2023-05-25T12:25:04,0,35,0,35
2023-05-25T12:36:37,0,35,0,35
2023-05-25T12:48:10,0,35,0,35
2023-05-25T12:59:53,0,35,0,35
2023-05-25T13:11:25,0,35,0,35
2023-05-25T13:22:58,0,35,0,35
2023-05-25T13:34:32,0,35,0,35
2023-05-25T13:46:05,0,35,0,35
2023-05-25T13:57:38,0,35,0,35
2023-05-25T14:09:23,0,35,0,35
2023-05-25T14:20:56,0,35,0,35
2023-05-25T14:32:29,0,35,0,35
2023-05-25T14:44:02,0,35,0,35
2023-05-25T14:55:36,0,35,0,35
2023-05-25T15:07:19,0,35,0,35
2023-05-25T15:18:54,0,35,0,35
2023-05-25T15:30:28,0,35,0,35
2023-05-25T15:42:03,0,35,0,35
2023-05-25T15:53:37,0,35,0,35
2023-05-25T16:05:23,0,35,0,35
2023-05-25T16:16:58,0,35,0,35
2023-05-25T16:28:33,0,35,0,35
2023-05-25T16:40:08,0,35,0,35
2023-05-25T16:51:43,0,35,0,35
2023-05-25T17:03:19,0,35,0,35
2023-05-25T17:15:07,0,35,0,35
2023-05-25T17:26:43,0,35,0,35
2023-05-25T17:38:18,0,35,0,35
2023-05-25T17:49:54,0,35,0,35
2023-05-25T18:01:30,0,35,0,35
2023-05-25T18:13:06,0,35,0,35
2023-05-25T18:24:42,0,35,0,35
2023-05-25T18:36:27,0,35,0,35
2023-05-25T18:48:03,0,35,0,35
2023-05-25T18:59:39,0,35,0,35
2023-05-25T19:11:15,0,35,0,35
2023-05-25T19:22:51,0,35,0,35
2023-05-25T19:34:26,0,35,0,35
2023-05-25T19:46:03,0,35,0,35
2023-05-25T19:57:48,0,35,0,35
2023-05-25T20:09:24,0,35,0,35
2023-05-25T20:21:00,0,35,0,35
2023-05-25T20:32:36,0,35,0,35
2023-05-25T20:44:11,0,35,0,35
2023-05-25T20:55:47,0,35,0,35
2023-05-25T21:07:22,0,35,0,35
2023-05-25T21:19:10,0,35,0,35
2023-05-25T21:30:46,0,35,0,35
2023-05-25T21:42:21,0,35,0,35
2023-05-25T21:53:57,0,35,0,35
2023-05-25T22:05:32,0,35,0,35
2023-05-25T22:17:08,0,35,0,35
2023-05-25T22:28:43,0,35,0,35
2023-05-25T22:40:19,0,35,0,35
2023-05-25T22:52:05,0,35,0,35
2023-05-25T23:03:43,0,35,0,35
2023-05-25T23:15:19,0,35,0,35
2023-05-25T23:26:54,0,35,0,35
2023-05-25T23:38:30,0,35,0,35
2023-05-25T23:50:06,0,35,0,35
2023-05-26T00:01:48,0,35,0,35
2023-05-26T00:13:41,0,35,0,35
2023-05-26T00:25:21,0,35,0,35
2023-05-26T00:37:00,0,35,0,35
2023-05-26T00:48:38,0,35,0,35
2023-05-26T01:00:17,0,35,0,35
2023-05-26T01:11:56,0,35,0,35
2023-05-26T01:23:35,0,35,0,35
2023-05-26T01:35:13,0,35,0,35
2023-05-26T01:47:01,0,35,0,35
2023-05-26T01:58:41,0,35,0,35
2023-05-26T02:10:21,0,35,0,35
2023-05-26T02:21:58,0,35,0,35
2023-05-26T02:33:36,0,35,0,35
2023-05-26T02:45:24,0,35,0,35
2023-05-26T02:57:05,0,35,0,35
2023-05-26T03:08:45,0,35,0,35
2023-05-26T03:20:26,0,35,0,35
