time,enrolled,available,waitlisted,total
2023-05-25T01:15:46,0,90,0,90
2023-05-25T01:27:22,0,90,0,90
2023-05-25T01:38:58,0,90,0,90
2023-05-25T01:50:42,0,90,0,90
2023-05-25T02:02:18,0,90,0,90
2023-05-25T02:13:54,0,90,0,90
2023-05-25T02:25:30,0,90,0,90
2023-05-25T02:37:03,0,90,0,90
2023-05-25T02:48:37,0,90,0,90
2023-05-25T03:00:10,0,90,0,90
2023-05-25T03:11:46,0,90,0,90
2023-05-25T03:23:45,0,90,0,90
2023-05-25T03:35:23,0,90,0,90
2023-05-25T03:46:59,0,90,0,90
2023-05-25T03:58:34,0,90,0,90
2023-05-25T04:17:57,0,90,0,90
2023-05-25T04:29:58,0,90,0,90
2023-05-25T04:41:34,0,90,0,90
2023-05-25T04:53:10,0,90,0,90
2023-05-25T05:04:46,0,90,0,90
2023-05-25T05:16:23,0,90,0,90
2023-05-25T05:28:00,0,90,0,90
2023-05-25T05:39:36,0,90,0,90
2023-05-25T05:51:12,0,90,0,90
2023-05-25T06:02:49,0,90,0,90
2023-05-25T06:14:24,0,90,0,90
2023-05-25T06:25:59,0,90,0,90
2023-05-25T06:37:34,0,90,0,90
2023-05-25T06:49:09,0,90,0,90
2023-05-25T07:00:44,0,90,0,90
2023-05-25T07:12:20,0,90,0,90
2023-05-25T07:23:54,0,90,0,90
2023-05-25T07:35:28,0,90,0,90
2023-05-25T07:47:05,0,90,0,90
2023-05-25T07:58:41,0,90,0,90
2023-05-25T08:10:15,0,90,0,90
2023-05-25T08:21:59,0,90,0,90
2023-05-25T08:33:34,0,90,0,90
2023-05-25T08:45:06,0,90,0,90
2023-05-25T08:56:38,0,90,0,90
2023-05-25T09:08:12,0,90,0,90
2023-05-25T09:19:45,0,90,0,90
2023-05-25T09:31:18,0,90,0,90
2023-05-25T09:42:50,0,90,0,90
2023-05-25T09:54:23,0,90,0,90
2023-05-25T10:05:56,0,90,0,90
2023-05-25T10:17:41,0,90,0,90
2023-05-25T10:29:14,0,90,0,90
2023-05-25T10:40:46,0,90,0,90
2023-05-25T10:52:29,0,90,0,90
2023-05-25T11:04:02,0,90,0,90
2023-05-25T11:15:34,0,90,0,90
2023-05-25T11:27:07,0,90,0,90
2023-05-25T11:38:40,0,90,0,90
2023-05-25T11:50:13,0,90,0,90
2023-05-25T12:01:57,0,90,0,90
2023-05-25T12:13:30,0,90,0,90
2023-05-25T12:25:02,0,90,0,90
2023-05-25T12:36:35,0,90,0,90
2023-05-25T12:48:08,0,90,0,90
2023-05-25T12:59:52,0,90,0,90
2023-05-25T13:11:24,0,90,0,90
2023-05-25T13:22:57,0,90,0,90
2023-05-25T13:34:30,0,90,0,90
2023-05-25T13:46:03,0,90,0,90
2023-05-25T13:57:37,0,90,0,90
2023-05-25T14:09:21,0,90,0,90
2023-05-25T14:20:55,0,90,0,90
2023-05-25T14:32:28,0,90,0,90
2023-05-25T14:44:00,0,90,0,90
