time,enrolled,available,waitlisted,total
2023-09-05T16:20:57,0,0,0,0
2023-09-05T16:33:59,0,20,0,20
2023-09-05T16:46:52,0,20,0,20
2023-09-05T16:59:45,0,20,0,20
2023-09-05T17:12:40,0,20,0,20
2023-09-05T17:25:34,0,20,0,20
2023-09-05T17:38:26,0,20,0,20
2023-09-05T17:51:31,0,20,0,20
2023-09-05T18:04:24,0,20,0,20
2023-09-05T18:17:16,0,20,0,20
2023-09-05T18:30:09,0,20,0,20
2023-09-05T18:43:01,0,20,0,20
2023-09-05T18:56:05,0,20,0,20
2023-09-05T19:08:58,0,20,0,20
2023-09-05T19:21:50,0,20,0,20
2023-09-05T19:34:43,0,20,0,20
2023-09-05T19:47:45,0,20,0,20
2023-09-05T20:00:38,0,20,0,20
2023-09-05T20:13:30,0,20,0,20
2023-09-05T20:26:23,0,20,0,20
2023-09-05T20:39:25,0,20,0,20
2023-09-05T20:52:17,0,20,0,20
2023-09-05T21:05:10,0,20,0,20
2023-09-05T21:18:03,0,20,0,20
2023-09-05T21:30:55,0,20,0,20
2023-09-05T21:43:57,0,20,0,20
2023-09-05T21:56:50,0,20,0,20
2023-09-05T22:09:44,0,20,0,20
2023-09-05T22:22:36,0,20,0,20
2023-09-05T22:35:29,0,20,0,20
2023-09-05T22:48:32,0,20,0,20
2023-09-05T23:01:25,0,20,0,20
2023-09-05T23:14:20,0,20,0,20
2023-09-05T23:27:14,0,20,0,20
2023-09-05T23:40:08,0,20,0,20
2023-09-05T23:53:02,0,20,0,20
2023-09-06T00:05:58,0,20,0,20
2023-09-06T00:18:57,0,20,0,20
2023-09-06T00:32:06,0,20,0,20
2023-09-06T00:45:04,0,20,0,20
2023-09-06T00:58:03,0,20,0,20
2023-09-06T01:11:02,0,20,0,20
2023-09-06T01:23:59,0,20,0,20
2023-09-06T01:36:56,0,20,0,20
2023-09-06T01:49:58,0,20,0,20
2023-09-06T02:02:57,0,20,0,20
2023-09-06T02:15:54,0,20,0,20
2023-09-06T02:28:49,0,20,0,20
2023-09-06T02:41:44,0,20,0,20
2023-09-06T02:54:39,0,20,0,20
2023-09-06T03:08:45,0,20,0,20
2023-09-06T03:22:10,0,20,0,20
2023-09-06T03:35:07,0,20,0,20
2023-09-06T03:48:04,0,20,0,20
2023-09-06T04:01:01,0,20,0,20
2023-09-06T04:16:03,0,20,0,20
2023-09-06T04:37:02,0,20,0,20
2023-09-06T04:50:01,0,20,0,20
2023-09-06T05:02:59,0,20,0,20
2023-09-06T05:15:56,0,20,0,20
2023-09-06T05:28:52,0,20,0,20
2023-09-06T05:41:49,0,20,0,20
2023-09-06T05:54:45,0,20,0,20
2023-09-06T06:07:40,0,20,0,20
2023-09-06T06:20:36,0,20,0,20
2023-09-06T06:33:35,0,20,0,20
2023-09-06T06:46:42,0,20,0,20
2023-09-06T06:59:40,0,20,0,20
2023-09-06T07:12:49,0,20,0,20
2023-09-06T07:25:50,0,20,0,20
2023-09-06T07:38:47,0,20,0,20
2023-09-06T07:51:42,0,20,0,20
2023-09-06T08:04:38,0,20,0,20
2023-09-06T08:17:36,0,20,0,20
2023-09-06T08:30:32,0,20,0,20
2023-09-06T08:43:29,0,20,0,20
2023-09-06T08:56:23,0,20,0,20
2023-09-06T09:09:29,0,20,0,20
2023-09-06T09:22:24,0,20,0,20
2023-09-06T09:35:20,0,20,0,20
2023-09-06T09:48:18,0,20,0,20
2023-09-06T10:01:15,0,20,0,20
2023-09-06T10:14:23,0,20,0,20
2023-09-06T10:27:20,0,20,0,20
2023-09-06T10:40:15,0,20,0,20
2023-09-06T10:53:12,0,20,0,20
2023-09-06T11:06:18,0,20,0,20
2023-09-06T11:19:12,0,20,0,20
2023-09-06T11:32:06,0,20,0,20
2023-09-06T11:45:01,0,20,0,20
2023-09-06T11:58:05,0,20,0,20
2023-09-06T12:11:01,0,20,0,20
2023-09-06T12:23:56,0,20,0,20
2023-09-06T12:36:51,0,20,0,20
2023-09-06T12:49:46,0,20,0,20
2023-09-06T13:02:50,0,20,0,20
2023-09-06T13:15:44,0,20,0,20
2023-09-06T13:28:39,0,20,0,20
2023-09-06T13:41:34,0,20,0,20
2023-09-06T13:54:31,0,20,0,20
2023-09-06T14:07:35,1,19,0,20
2023-09-06T14:20:31,1,19,0,20
2023-09-06T14:33:26,1,19,0,20
2023-09-06T14:46:21,1,19,0,20
2023-09-06T14:59:16,1,19,0,20
2023-09-06T15:12:25,1,19,0,20
2023-09-06T15:25:20,1,19,0,20
2023-09-06T15:38:15,1,19,0,20
2023-09-06T15:51:09,1,19,0,20
2023-09-06T16:04:03,1,19,0,20
2023-09-06T16:16:56,1,19,0,20
2023-09-06T16:30:02,1,19,0,20
2023-09-06T16:42:55,1,19,0,20
2023-09-06T16:55:48,1,19,0,20
2023-09-06T17:08:44,1,19,0,20
2023-09-06T17:21:39,1,19,0,20
2023-09-06T17:34:32,1,19,0,20
2023-09-06T17:47:25,1,19,0,20
2023-09-06T18:00:30,1,19,0,20
2023-09-06T18:13:23,1,19,0,20
2023-09-06T18:26:16,1,19,0,20
2023-09-06T18:39:09,1,19,0,20
2023-09-06T18:52:03,1,19,0,20
2023-09-06T19:04:56,1,19,0,20
2023-09-06T19:17:49,1,19,0,20
2023-09-06T19:30:43,1,19,0,20
2023-09-06T19:43:47,1,19,0,20
2023-09-06T19:56:40,1,19,0,20
2023-09-06T20:09:33,1,19,0,20
2023-09-06T20:22:27,1,19,0,20
2023-09-06T20:35:21,1,19,0,20
2023-09-06T20:48:15,1,19,0,20
2023-09-06T21:01:08,1,19,0,20
2023-09-06T21:14:02,1,19,0,20
2023-09-06T21:27:06,1,19,0,20
2023-09-06T21:40:00,1,19,0,20
2023-09-06T21:52:53,1,19,0,20
2023-09-06T22:05:47,1,19,0,20
2023-09-06T22:18:40,1,19,0,20
2023-09-06T22:31:36,1,19,0,20
2023-09-06T22:44:30,1,19,0,20
2023-09-06T22:57:24,1,19,0,20
2023-09-06T23:10:30,1,19,0,20
2023-09-06T23:23:24,1,19,0,20
2023-09-06T23:36:18,1,19,0,20
2023-09-06T23:49:12,1,19,0,20
2023-09-07T00:02:06,1,19,0,20
2023-09-07T00:15:09,1,19,0,20
