time,enrolled,available,waitlisted,total
2023-05-25T01:23:46,0,12,0,12
2023-05-25T01:35:22,0,12,0,12
2023-05-25T01:47:07,0,12,0,12
2023-05-25T01:58:42,0,12,0,12
2023-05-25T02:10:18,0,12,0,12
2023-05-25T02:21:54,0,12,0,12
2023-05-25T02:33:29,0,12,0,12
2023-05-25T02:45:02,0,12,0,12
2023-05-25T02:56:35,0,12,0,12
2023-05-25T03:08:10,0,12,0,12
2023-05-25T03:19:48,0,12,0,12
2023-05-25T03:31:46,0,12,0,12
2023-05-25T03:43:23,0,12,0,12
2023-05-25T03:54:59,0,12,0,12
2023-05-25T04:06:34,0,12,0,12
2023-05-25T04:26:22,0,12,0,12
2023-05-25T04:37:58,0,12,0,12
2023-05-25T04:49:34,0,12,0,12
2023-05-25T05:01:10,0,12,0,12
2023-05-25T05:12:48,0,12,0,12
2023-05-25T05:24:23,0,12,0,12
2023-05-25T05:36:00,0,12,0,12
2023-05-25T05:47:36,0,12,0,12
2023-05-25T05:59:13,0,12,0,12
2023-05-25T06:10:48,0,12,0,12
2023-05-25T06:22:24,0,12,0,12
2023-05-25T06:33:58,0,12,0,12
2023-05-25T06:45:33,0,12,0,12
2023-05-25T06:57:09,0,12,0,12
2023-05-25T07:08:45,0,12,0,12
2023-05-25T07:20:19,0,12,0,12
2023-05-25T07:31:53,0,12,0,12
2023-05-25T07:43:29,0,12,0,12
2023-05-25T07:55:05,0,12,0,12
2023-05-25T08:06:40,0,12,0,12
2023-05-25T08:18:15,0,12,0,12
2023-05-25T08:29:59,0,12,0,12
2023-05-25T08:41:32,0,12,0,12
2023-05-25T08:53:04,0,12,0,12
2023-05-25T09:04:37,0,12,0,12
2023-05-25T09:16:10,0,12,0,12
2023-05-25T09:27:43,0,12,0,12
2023-05-25T09:39:15,0,12,0,12
2023-05-25T09:50:48,0,12,0,12
2023-05-25T10:02:22,0,12,0,12
2023-05-25T10:14:06,0,12,0,12
2023-05-25T10:25:39,0,12,0,12
2023-05-25T10:37:12,0,12,0,12
2023-05-25T10:48:45,0,12,0,12
2023-05-25T11:00:27,0,12,0,12
2023-05-25T11:11:59,0,12,0,12
2023-05-25T11:23:32,0,12,0,12
2023-05-25T11:35:05,0,12,0,12
2023-05-25T11:46:38,0,12,0,12
2023-05-25T11:58:22,0,12,0,12
2023-05-25T12:09:55,0,12,0,12
2023-05-25T12:21:28,0,12,0,12
2023-05-25T12:33:01,0,12,0,12
2023-05-25T12:44:34,0,12,0,12
2023-05-25T12:56:07,0,12,0,12
2023-05-25T13:07:50,0,12,0,12
2023-05-25T13:19:22,0,12,0,12
2023-05-25T13:30:56,0,12,0,12
2023-05-25T13:42:29,0,12,0,12
2023-05-25T13:54:02,0,12,0,12
2023-05-25T14:05:46,0,12,0,12
2023-05-25T14:17:20,0,12,0,12
2023-05-25T14:28:53,0,12,0,12
2023-05-25T14:40:26,0,12,0,12
2023-05-25T14:51:59,0,12,0,12
2023-05-25T15:03:43,0,12,0,12
2023-05-25T15:15:17,0,12,0,12
2023-05-25T15:26:52,0,12,0,12
2023-05-25T15:38:27,0,12,0,12
2023-05-25T15:50:01,0,12,0,12
2023-05-25T16:01:36,0,12,0,12
2023-05-25T16:13:21,0,12,0,12
2023-05-25T16:24:56,0,12,0,12
2023-05-25T16:36:31,0,12,0,12
2023-05-25T16:48:07,0,12,0,12
2023-05-25T16:59:43,0,12,0,12
2023-05-25T17:11:19,0,12,0,12
2023-05-25T17:23:06,0,12,0,12
2023-05-25T17:34:42,0,12,0,12
2023-05-25T17:46:18,0,12,0,12
2023-05-25T17:57:53,0,12,0,12
2023-05-25T18:09:30,0,12,0,12
2023-05-25T18:21:05,0,12,0,12
2023-05-25T18:32:41,0,12,0,12
2023-05-25T18:44:26,0,12,0,12
2023-05-25T18:56:02,0,12,0,12
2023-05-25T19:07:39,0,12,0,12
2023-05-25T19:19:15,0,12,0,12
2023-05-25T19:30:50,0,12,0,12
2023-05-25T19:42:26,0,12,0,12
2023-05-25T19:54:12,0,12,0,12
2023-05-25T20:05:47,0,12,0,12
2023-05-25T20:17:23,0,12,0,12
2023-05-25T20:29:00,0,12,0,12
2023-05-25T20:40:35,0,12,0,12
2023-05-25T20:52:11,0,12,0,12
2023-05-25T21:03:46,0,12,0,12
2023-05-25T21:15:22,0,12,0,12
2023-05-25T21:27:09,0,12,0,12
2023-05-25T21:38:45,0,12,0,12
2023-05-25T21:50:21,0,12,0,12
2023-05-25T22:01:56,0,12,0,12
2023-05-25T22:13:31,0,12,0,12
2023-05-25T22:25:07,0,12,0,12
2023-05-25T22:36:42,0,12,0,12
2023-05-25T22:48:28,0,12,0,12
2023-05-25T23:00:04,0,12,0,12
2023-05-25T23:11:42,0,12,0,12
2023-05-25T23:23:18,0,12,0,12
2023-05-25T23:34:54,0,12,0,12
2023-05-25T23:46:30,0,12,0,12
2023-05-25T23:58:06,0,12,0,12
2023-05-26T00:10:03,0,12,0,12
2023-05-26T00:21:43,0,12,0,12
2023-05-26T00:33:22,0,12,0,12
2023-05-26T00:45:00,0,12,0,12
2023-05-26T00:56:39,0,12,0,12
2023-05-26T01:08:19,0,12,0,12
2023-05-26T01:19:57,0,12,0,12
2023-05-26T01:31:36,0,12,0,12
2023-05-26T01:43:23,0,12,0,12
2023-05-26T01:55:02,0,12,0,12
2023-05-26T02:06:44,0,12,0,12
2023-05-26T02:18:21,0,12,0,12
2023-05-26T02:29:58,0,12,0,12
2023-05-26T02:41:38,0,12,0,12
2023-05-26T02:53:27,0,12,0,12
2023-05-26T03:05:07,0,12,0,12
2023-05-26T03:16:49,0,12,0,12
2023-05-26T03:28:27,0,12,0,12
2023-05-26T03:40:06,0,12,0,12
2023-05-26T03:51:44,0,12,0,12
2023-05-26T04:03:22,0,12,0,12
2023-05-26T04:15:11,0,12,0,12
2023-05-26T04:37:35,0,12,0,12
2023-05-26T04:49:16,0,12,0,12
2023-05-26T05:00:56,0,12,0,12
2023-05-26T05:12:38,0,12,0,12
2023-05-26T05:24:17,0,12,0,12
2023-05-26T05:35:55,0,12,0,12
2023-05-26T05:47:35,0,12,0,12
2023-05-26T05:59:13,0,12,0,12
2023-05-26T06:10:52,0,12,0,12
2023-05-26T06:22:31,0,12,0,12
2023-05-26T06:34:10,0,12,0,12
2023-05-26T06:45:49,0,12,0,12
2023-05-26T06:57:27,0,12,0,12
2023-05-26T07:09:05,0,12,0,12
2023-05-26T07:20:44,0,12,0,12
2023-05-26T07:32:30,0,12,0,12
2023-05-26T07:44:07,0,12,0,12
2023-05-26T07:55:44,0,12,0,12
2023-05-26T08:07:20,0,12,0,12
2023-05-26T08:18:56,0,12,0,12
2023-05-26T08:30:33,0,12,0,12
2023-05-26T08:42:09,0,12,0,12
2023-05-26T08:53:45,0,12,0,12
2023-05-26T09:05:21,0,12,0,12
2023-05-26T09:16:58,0,12,0,12
2023-05-26T09:28:34,0,12,0,12
2023-05-26T09:40:21,0,12,0,12
2023-05-26T09:51:57,0,12,0,12
2023-05-26T10:03:33,0,12,0,12
2023-05-26T10:15:10,0,12,0,12
2023-05-26T10:26:46,0,12,0,12
2023-05-26T10:38:34,0,12,0,12
2023-05-26T10:50:10,0,12,0,12
2023-05-26T11:01:46,0,12,0,12
2023-05-26T11:13:23,0,12,0,12
2023-05-26T11:24:59,0,12,0,12
2023-05-26T11:36:36,0,12,0,12
2023-05-26T11:48:22,0,12,0,12
2023-05-26T11:59:58,0,12,0,12
2023-05-26T12:11:34,0,12,0,12
2023-05-26T12:23:10,0,12,0,12
2023-05-26T12:34:46,0,12,0,12
2023-05-26T12:46:34,0,12,0,12
2023-05-26T12:58:09,0,12,0,12
2023-05-26T13:09:46,0,12,0,12
2023-05-26T13:21:21,0,12,0,12
2023-05-26T13:33:08,0,12,0,12
2023-05-26T13:44:44,0,12,0,12
2023-05-26T13:56:19,0,12,0,12
2023-05-26T14:07:55,0,12,0,12
2023-05-26T14:19:31,0,12,0,12
2023-05-26T14:31:18,0,12,0,12
2023-05-26T14:42:54,0,12,0,12
2023-05-26T14:54:31,0,12,0,12
2023-05-26T15:06:07,0,12,0,12
2023-05-26T15:17:45,0,12,0,12
2023-05-26T15:29:31,0,12,0,12
2023-05-26T15:41:07,0,12,0,12
2023-05-26T15:52:43,0,12,0,12
2023-05-26T16:04:19,0,12,0,12
2023-05-26T16:15:54,0,12,0,12
2023-05-26T16:27:30,0,12,0,12
2023-05-26T16:39:16,0,12,0,12
2023-05-26T16:50:51,0,12,0,12
2023-05-26T17:02:27,0,12,0,12
2023-05-26T17:14:04,0,12,0,12
2023-05-26T17:25:40,0,12,0,12
2023-05-26T17:37:15,0,12,0,12
2023-05-26T17:49:01,0,12,0,12
2023-05-26T18:00:37,0,12,0,12
2023-05-26T18:12:13,0,12,0,12
2023-05-26T18:23:48,0,12,0,12
2023-05-26T18:35:24,0,12,0,12
2023-05-26T18:46:59,0,12,0,12
2023-05-26T18:58:45,0,12,0,12
2023-05-26T19:10:21,0,12,0,12
2023-05-26T19:21:58,0,12,0,12
2023-05-26T19:33:34,0,12,0,12
2023-05-26T19:45:10,0,12,0,12
2023-05-26T19:56:45,0,12,0,12
2023-05-26T20:08:21,0,12,0,12
2023-05-26T20:20:07,0,12,0,12
2023-05-26T20:31:42,0,12,0,12
2023-05-26T20:43:18,0,12,0,12
2023-05-26T20:54:53,0,12,0,12
2023-05-26T21:06:29,0,12,0,12
2023-05-26T21:18:05,0,12,0,12
2023-05-26T21:29:42,0,12,0,12
2023-05-26T21:41:28,0,12,0,12
2023-05-26T21:53:04,0,12,0,12
2023-05-26T22:04:40,0,12,0,12
2023-05-26T22:16:16,0,12,0,12
2023-05-26T22:27:52,0,12,0,12
2023-05-26T22:39:28,0,12,0,12
2023-05-26T22:51:04,0,12,0,12
2023-05-26T23:02:43,0,12,0,12
2023-05-26T23:14:29,0,12,0,12
2023-05-26T23:26:05,0,12,0,12
2023-05-26T23:37:41,0,12,0,12
2023-05-26T23:49:18,0,12,0,12
2023-05-27T00:00:54,0,12,0,12
2023-05-27T00:12:33,0,12,0,12
2023-05-27T00:24:13,0,12,0,12
