time,enrolled,available,waitlisted,total
2023-05-25T01:17:36,0,90,0,90
2023-05-25T01:29:12,0,90,0,90
2023-05-25T01:40:57,0,90,0,90
2023-05-25T01:52:32,0,90,0,90
2023-05-25T02:04:07,0,90,0,90
2023-05-25T02:15:43,0,90,0,90
2023-05-25T02:27:19,0,90,0,90
2023-05-25T02:38:52,0,90,0,90
2023-05-25T02:50:26,0,90,0,90
2023-05-25T03:01:59,0,90,0,90
2023-05-25T03:13:36,0,90,0,90
2023-05-25T03:25:35,0,90,0,90
2023-05-25T03:37:12,0,90,0,90
2023-05-25T03:48:48,0,90,0,90
2023-05-25T04:00:24,0,90,0,90
2023-05-25T04:19:47,0,90,0,90
2023-05-25T04:31:47,0,90,0,90
2023-05-25T04:43:24,0,90,0,90
2023-05-25T04:55:00,0,90,0,90
2023-05-25T05:06:37,0,90,0,90
2023-05-25T05:18:13,0,90,0,90
2023-05-25T05:29:49,0,90,0,90
2023-05-25T05:41:25,0,90,0,90
2023-05-25T05:53:01,0,90,0,90
2023-05-25T06:04:38,0,90,0,90
2023-05-25T06:16:13,0,90,0,90
2023-05-25T06:27:48,0,90,0,90
2023-05-25T06:39:23,0,90,0,90
2023-05-25T06:50:59,0,90,0,90
2023-05-25T07:02:34,0,90,0,90
2023-05-25T07:14:09,0,90,0,90
2023-05-25T07:25:44,0,90,0,90
2023-05-25T07:37:17,0,90,0,90
2023-05-25T07:48:55,0,90,0,90
2023-05-25T08:00:30,0,90,0,90
2023-05-25T08:12:04,0,90,0,90
2023-05-25T08:23:49,0,90,0,90
2023-05-25T08:35:23,0,90,0,90
2023-05-25T08:46:55,0,90,0,90
2023-05-25T08:58:28,0,90,0,90
2023-05-25T09:10:01,0,90,0,90
2023-05-25T09:21:34,0,90,0,90
2023-05-25T09:33:07,0,90,0,90
2023-05-25T09:44:39,0,90,0,90
2023-05-25T09:56:13,0,90,0,90
2023-05-25T10:07:46,0,90,0,90
2023-05-25T10:19:30,0,90,0,90
2023-05-25T10:31:03,0,90,0,90
2023-05-25T10:42:35,0,90,0,90
2023-05-25T10:54:18,0,90,0,90
2023-05-25T11:05:51,0,90,0,90
2023-05-25T11:17:24,0,90,0,90
2023-05-25T11:28:56,0,90,0,90
2023-05-25T11:40:29,0,90,0,90
2023-05-25T11:52:02,0,90,0,90
2023-05-25T12:03:46,0,90,0,90
2023-05-25T12:15:19,0,90,0,90
2023-05-25T12:26:52,0,90,0,90
2023-05-25T12:38:25,0,90,0,90
2023-05-25T12:49:57,0,90,0,90
2023-05-25T13:01:41,0,90,0,90
2023-05-25T13:13:13,0,90,0,90
2023-05-25T13:24:46,0,90,0,90
2023-05-25T13:36:19,0,90,0,90
2023-05-25T13:47:52,0,90,0,90
2023-05-25T13:59:26,0,90,0,90
2023-05-25T14:11:10,0,90,0,90
2023-05-25T14:22:44,0,90,0,90
2023-05-25T14:34:17,0,90,0,90
2023-05-25T14:45:49,0,90,0,90
2023-05-25T14:57:23,0,90,0,90
2023-05-25T15:09:07,0,90,0,90
2023-05-25T15:20:42,0,90,0,90
2023-05-25T15:32:16,0,90,0,90
2023-05-25T15:43:51,0,90,0,90
2023-05-25T15:55:26,0,90,0,90
2023-05-25T16:07:11,0,90,0,90
2023-05-25T16:18:46,0,90,0,90
2023-05-25T16:30:21,0,90,0,90
2023-05-25T16:41:56,0,90,0,90
2023-05-25T16:53:31,0,90,0,90
2023-05-25T17:05:08,0,90,0,90
2023-05-25T17:16:55,0,90,0,90
2023-05-25T17:28:31,0,90,0,90
2023-05-25T17:40:06,0,90,0,90
2023-05-25T17:51:42,0,90,0,90
2023-05-25T18:03:19,0,90,0,90
2023-05-25T18:14:55,0,90,0,90
2023-05-25T18:26:30,0,90,0,90
2023-05-25T18:38:15,0,90,0,90
2023-05-25T18:49:51,0,90,0,90
2023-05-25T19:01:27,0,90,0,90
2023-05-25T19:13:03,0,90,0,90
2023-05-25T19:24:39,0,90,0,90
2023-05-25T19:36:14,0,90,0,90
2023-05-25T19:47:51,0,90,0,90
2023-05-25T19:59:36,0,90,0,90
2023-05-25T20:11:12,0,90,0,90
2023-05-25T20:22:48,0,90,0,90
2023-05-25T20:34:24,0,90,0,90
2023-05-25T20:45:59,0,90,0,90
2023-05-25T20:57:35,0,90,0,90
2023-05-25T21:09:11,0,90,0,90
2023-05-25T21:20:58,0,90,0,90
2023-05-25T21:32:34,0,90,0,90
2023-05-25T21:44:10,0,90,0,90
2023-05-25T21:55:45,0,90,0,90
2023-05-25T22:07:20,0,90,0,90
2023-05-25T22:18:56,0,90,0,90
2023-05-25T22:30:31,0,90,0,90
2023-05-25T22:42:18,0,90,0,90
2023-05-25T22:53:53,0,90,0,90
2023-05-25T23:05:31,0,90,0,90
2023-05-25T23:17:07,0,90,0,90
2023-05-25T23:28:43,0,90,0,90
2023-05-25T23:40:18,0,90,0,90
2023-05-25T23:51:55,0,90,0,90
2023-05-26T00:03:39,0,90,0,90
2023-05-26T00:15:30,0,90,0,90
2023-05-26T00:27:09,0,90,0,90
2023-05-26T00:38:48,0,90,0,90
2023-05-26T00:50:27,0,90,0,90
