time,enrolled,available,waitlisted,total
2023-05-25T01:18:38,0,56,0,56
2023-05-25T01:30:14,0,56,0,56
2023-05-25T01:41:59,0,56,0,56
2023-05-25T01:53:34,0,56,0,56
2023-05-25T02:05:10,0,56,0,56
2023-05-25T02:16:46,0,56,0,56
2023-05-25T02:28:21,0,56,0,56
2023-05-25T02:39:55,0,56,0,56
2023-05-25T02:51:28,0,56,0,56
2023-05-25T03:03:01,0,56,0,56
2023-05-25T03:14:39,0,56,0,56
2023-05-25T03:26:37,0,56,0,56
2023-05-25T03:38:15,0,56,0,56
2023-05-25T03:49:50,0,56,0,56
2023-05-25T04:01:26,0,56,0,56
2023-05-25T04:20:50,0,56,0,56
2023-05-25T04:32:50,0,56,0,56
2023-05-25T04:44:26,0,56,0,56
2023-05-25T04:56:02,0,56,0,56
2023-05-25T05:07:39,0,56,0,56
2023-05-25T05:19:15,0,56,0,56
2023-05-25T05:30:52,0,56,0,56
2023-05-25T05:42:28,0,56,0,56
2023-05-25T05:54:04,0,56,0,56
2023-05-25T06:05:41,0,56,0,56
2023-05-25T06:17:16,0,56,0,56
2023-05-25T06:28:51,0,56,0,56
2023-05-25T06:40:26,0,56,0,56
2023-05-25T06:52:01,0,56,0,56
2023-05-25T07:03:37,0,56,0,56
2023-05-25T07:15:12,0,56,0,56
2023-05-25T07:26:46,0,56,0,56
2023-05-25T07:38:19,0,56,0,56
2023-05-25T07:49:58,0,56,0,56
2023-05-25T08:01:32,0,56,0,56
2023-05-25T08:13:07,0,56,0,56
2023-05-25T08:24:51,0,56,0,56
2023-05-25T08:36:25,0,56,0,56
2023-05-25T08:47:57,0,56,0,56
2023-05-25T08:59:30,0,56,0,56
2023-05-25T09:11:03,0,56,0,56
2023-05-25T09:22:36,0,56,0,56
2023-05-25T09:34:09,0,56,0,56
2023-05-25T09:45:41,0,56,0,56
2023-05-25T09:57:15,0,56,0,56
2023-05-25T10:08:59,0,56,0,56
2023-05-25T10:20:32,0,56,0,56
2023-05-25T10:32:05,0,56,0,56
2023-05-25T10:43:38,0,56,0,56
2023-05-25T10:55:20,0,56,0,56
2023-05-25T11:06:53,0,56,0,56
2023-05-25T11:18:26,0,56,0,56
2023-05-25T11:29:58,0,56,0,56
2023-05-25T11:41:31,0,56,0,56
2023-05-25T11:53:04,0,56,0,56
2023-05-25T12:04:48,0,56,0,56
2023-05-25T12:16:21,0,56,0,56
2023-05-25T12:27:54,0,56,0,56
2023-05-25T12:39:27,0,56,0,56
2023-05-25T12:51:00,0,56,0,56
2023-05-25T13:02:43,0,56,0,56
2023-05-25T13:14:15,0,56,0,56
2023-05-25T13:25:48,0,56,0,56
2023-05-25T13:37:22,0,56,0,56
2023-05-25T13:48:55,0,56,0,56
2023-05-25T14:00:39,0,56,0,56
2023-05-25T14:12:13,0,56,0,56
2023-05-25T14:23:46,0,56,0,56
2023-05-25T14:35:19,0,56,0,56
2023-05-25T14:46:52,0,56,0,56
2023-05-25T14:58:35,0,56,0,56
2023-05-25T15:10:09,0,56,0,56
2023-05-25T15:21:44,0,56,0,56
2023-05-25T15:33:18,0,56,0,56
2023-05-25T15:44:53,0,56,0,56
2023-05-25T15:56:28,0,56,0,56
2023-05-25T16:08:13,0,56,0,56
2023-05-25T16:19:48,0,56,0,56
2023-05-25T16:31:23,0,56,0,56
2023-05-25T16:42:58,0,56,0,56
2023-05-25T16:54:33,0,56,0,56
2023-05-25T17:06:10,0,56,0,56
2023-05-25T17:17:57,0,56,0,56
2023-05-25T17:29:33,0,56,0,56
2023-05-25T17:41:08,0,56,0,56
2023-05-25T17:52:44,0,56,0,56
2023-05-25T18:04:21,0,56,0,56
2023-05-25T18:15:57,0,56,0,56
2023-05-25T18:27:32,0,56,0,56
2023-05-25T18:39:18,0,56,0,56
2023-05-25T18:50:53,0,56,0,56
2023-05-25T19:02:29,0,56,0,56
2023-05-25T19:14:06,0,56,0,56
2023-05-25T19:25:41,0,56,0,56
2023-05-25T19:37:17,0,56,0,56
2023-05-25T19:48:53,0,56,0,56
2023-05-25T20:00:38,0,56,0,56
2023-05-25T20:12:14,0,56,0,56
2023-05-25T20:23:50,0,56,0,56
2023-05-25T20:35:26,0,56,0,56
2023-05-25T20:47:02,0,56,0,56
2023-05-25T20:58:37,0,56,0,56
2023-05-25T21:10:13,0,56,0,56
2023-05-25T21:22:00,0,56,0,56
2023-05-25T21:33:36,0,56,0,56
2023-05-25T21:45:12,0,56,0,56
2023-05-25T21:56:47,0,56,0,56
2023-05-25T22:08:23,0,56,0,56
2023-05-25T22:19:58,0,56,0,56
2023-05-25T22:31:33,0,56,0,56
2023-05-25T22:43:20,0,56,0,56
2023-05-25T22:54:55,0,56,0,56
2023-05-25T23:06:33,0,56,0,56
2023-05-25T23:18:09,0,56,0,56
2023-05-25T23:29:45,0,56,0,56
2023-05-25T23:41:21,0,56,0,56
2023-05-25T23:52:58,0,56,0,56
2023-05-26T00:04:51,0,56,0,56
2023-05-26T00:16:32,0,56,0,56
2023-05-26T00:28:12,0,56,0,56
2023-05-26T00:39:51,0,56,0,56
2023-05-26T00:51:29,0,56,0,56
2023-05-26T01:03:09,0,56,0,56
2023-05-26T01:14:48,0,56,0,56
2023-05-26T01:26:26,0,56,0,56
2023-05-26T01:38:03,0,56,0,56
2023-05-26T01:49:51,0,56,0,56
2023-05-26T02:01:33,0,56,0,56
2023-05-26T02:13:12,0,56,0,56
2023-05-26T02:24:49,0,56,0,56
2023-05-26T02:36:27,0,56,0,56
2023-05-26T02:48:16,0,56,0,56
2023-05-26T02:59:56,0,56,0,56
2023-05-26T03:11:36,0,56,0,56
2023-05-26T03:23:17,0,56,0,56
2023-05-26T03:34:56,0,56,0,56
2023-05-26T03:46:34,0,56,0,56
2023-05-26T03:58:13,0,56,0,56
2023-05-26T04:10:01,0,56,0,56
2023-05-26T04:32:01,0,56,0,56
2023-05-26T04:44:04,0,56,0,56
2023-05-26T04:55:45,0,56,0,56
2023-05-26T05:07:27,0,56,0,56
2023-05-26T05:19:06,0,56,0,56
2023-05-26T05:30:45,0,56,0,56
2023-05-26T05:42:24,0,56,0,56
2023-05-26T05:54:03,0,56,0,56
2023-05-26T06:05:41,0,56,0,56
2023-05-26T06:17:21,0,56,0,56
2023-05-26T06:29:00,0,56,0,56
2023-05-26T06:40:38,0,56,0,56
2023-05-26T06:52:17,0,56,0,56
2023-05-26T07:03:55,0,56,0,56
2023-05-26T07:15:34,0,56,0,56
2023-05-26T07:27:12,0,56,0,56
2023-05-26T07:38:58,0,56,0,56
2023-05-26T07:50:35,0,56,0,56
2023-05-26T08:02:11,0,56,0,56
2023-05-26T08:13:47,0,56,0,56
2023-05-26T08:25:24,0,56,0,56
2023-05-26T08:37:00,0,56,0,56
2023-05-26T08:48:36,0,56,0,56
2023-05-26T09:00:12,0,56,0,56
2023-05-26T09:11:48,0,56,0,56
2023-05-26T09:23:25,0,56,0,56
2023-05-26T09:35:12,0,56,0,56
2023-05-26T09:46:48,0,56,0,56
2023-05-26T09:58:24,0,56,0,56
2023-05-26T10:10:00,0,56,0,56
2023-05-26T10:21:37,0,56,0,56
2023-05-26T10:33:13,0,56,0,56
2023-05-26T10:45:01,0,56,0,56
2023-05-26T10:56:37,0,56,0,56
2023-05-26T11:08:13,0,56,0,56
2023-05-26T11:19:50,0,56,0,56
2023-05-26T11:31:27,0,56,0,56
2023-05-26T11:43:13,0,56,0,56
2023-05-26T11:54:49,0,56,0,56
2023-05-26T12:06:25,0,56,0,56
2023-05-26T12:18:01,0,56,0,56
2023-05-26T12:29:38,0,56,0,56
2023-05-26T12:41:25,0,56,0,56
2023-05-26T12:53:00,0,56,0,56
2023-05-26T13:04:37,0,56,0,56
2023-05-26T13:16:12,0,56,0,56
2023-05-26T13:27:58,0,56,0,56
2023-05-26T13:39:35,0,56,0,56
2023-05-26T13:51:10,0,56,0,56
2023-05-26T14:02:46,0,56,0,56
2023-05-26T14:14:22,0,56,0,56
2023-05-26T14:26:09,0,56,0,56
2023-05-26T14:37:45,0,56,0,56
2023-05-26T14:49:22,0,56,0,56
2023-05-26T15:00:57,0,56,0,56
2023-05-26T15:12:36,0,56,0,56
2023-05-26T15:24:22,0,56,0,56
2023-05-26T15:35:58,0,56,0,56
2023-05-26T15:47:33,0,56,0,56
2023-05-26T15:59:10,0,56,0,56
2023-05-26T16:10:45,0,56,0,56
2023-05-26T16:22:21,0,56,0,56
2023-05-26T16:34:07,0,56,0,56
2023-05-26T16:45:43,0,56,0,56
2023-05-26T16:57:18,0,56,0,56
2023-05-26T17:08:55,0,56,0,56
2023-05-26T17:20:31,0,56,0,56
2023-05-26T17:32:07,0,56,0,56
2023-05-26T17:43:52,0,56,0,56
2023-05-26T17:55:28,0,56,0,56
2023-05-26T18:07:04,0,56,0,56
2023-05-26T18:18:39,0,56,0,56
2023-05-26T18:30:15,0,56,0,56
2023-05-26T18:41:51,0,56,0,56
2023-05-26T18:53:37,0,56,0,56
2023-05-26T19:05:13,0,56,0,56
2023-05-26T19:16:49,0,56,0,56
2023-05-26T19:28:26,0,56,0,56
2023-05-26T19:40:01,0,56,0,56
2023-05-26T19:51:36,0,56,0,56
2023-05-26T20:03:12,0,56,0,56
2023-05-26T20:14:57,1,55,0,56
2023-05-26T20:26:34,1,55,0,56
2023-05-26T20:38:09,1,55,0,56
2023-05-26T20:49:44,1,55,0,56
2023-05-26T21:01:20,1,55,0,56
2023-05-26T21:12:57,1,55,0,56
2023-05-26T21:24:33,1,55,0,56
2023-05-26T21:36:08,1,55,0,56
2023-05-26T21:47:55,1,55,0,56
2023-05-26T21:59:31,1,55,0,56
