time,enrolled,available,waitlisted,total
2023-05-25T01:18:23,0,45,0,45
2023-05-25T01:29:59,0,45,0,45
2023-05-25T01:41:43,0,45,0,45
2023-05-25T01:53:18,0,45,0,45
2023-05-25T02:04:54,0,45,0,45
2023-05-25T02:16:30,0,45,0,45
2023-05-25T02:28:05,0,45,0,45
2023-05-25T02:39:39,0,45,0,45
2023-05-25T02:51:12,0,45,0,45
2023-05-25T03:02:45,0,45,0,45
2023-05-25T03:14:23,0,45,0,45
2023-05-25T03:26:21,0,45,0,45
2023-05-25T03:37:59,0,45,0,45
2023-05-25T03:49:35,0,45,0,45
2023-05-25T04:01:10,0,45,0,45
2023-05-25T04:20:34,0,45,0,45
2023-05-25T04:32:34,0,45,0,45
2023-05-25T04:44:10,0,45,0,45
2023-05-25T04:55:46,0,45,0,45
2023-05-25T05:07:23,0,45,0,45
2023-05-25T05:19:00,0,45,0,45
2023-05-25T05:30:36,0,45,0,45
2023-05-25T05:42:12,0,45,0,45
2023-05-25T05:53:48,0,45,0,45
2023-05-25T06:05:25,0,45,0,45
2023-05-25T06:17:00,0,45,0,45
2023-05-25T06:28:35,0,45,0,45
2023-05-25T06:40:10,0,45,0,45
2023-05-25T06:51:45,0,45,0,45
2023-05-25T07:03:21,0,45,0,45
2023-05-25T07:14:56,0,45,0,45
2023-05-25T07:26:30,0,45,0,45
2023-05-25T07:38:03,0,45,0,45
2023-05-25T07:49:42,0,45,0,45
2023-05-25T08:01:16,0,45,0,45
2023-05-25T08:12:51,0,45,0,45
2023-05-25T08:24:35,0,45,0,45
2023-05-25T08:36:09,0,45,0,45
2023-05-25T08:47:41,0,45,0,45
2023-05-25T08:59:15,0,45,0,45
2023-05-25T09:10:48,0,45,0,45
2023-05-25T09:22:20,0,45,0,45
2023-05-25T09:33:53,0,45,0,45
2023-05-25T09:45:25,0,45,0,45
2023-05-25T09:56:59,0,45,0,45
2023-05-25T10:08:32,0,45,0,45
2023-05-25T10:20:16,0,45,0,45
2023-05-25T10:31:49,0,45,0,45
2023-05-25T10:43:22,0,45,0,45
2023-05-25T10:55:05,0,45,0,45
2023-05-25T11:06:37,0,45,0,45
2023-05-25T11:18:10,0,45,0,45
2023-05-25T11:29:42,0,45,0,45
2023-05-25T11:41:15,0,45,0,45
2023-05-25T11:52:48,0,45,0,45
2023-05-25T12:04:32,0,45,0,45
2023-05-25T12:16:05,0,45,0,45
2023-05-25T12:27:38,0,45,0,45
2023-05-25T12:39:11,0,45,0,45
2023-05-25T12:50:44,0,45,0,45
2023-05-25T13:02:27,0,45,0,45
2023-05-25T13:14:00,0,45,0,45
2023-05-25T13:25:33,0,45,0,45
2023-05-25T13:37:06,0,45,0,45
2023-05-25T13:48:39,0,45,0,45
2023-05-25T14:00:12,0,45,0,45
2023-05-25T14:11:57,0,45,0,45
2023-05-25T14:23:30,0,45,0,45
2023-05-25T14:35:03,0,45,0,45
2023-05-25T14:46:36,0,45,0,45
2023-05-25T14:58:20,0,45,0,45
2023-05-25T15:09:54,0,45,0,45
2023-05-25T15:21:28,0,45,0,45
2023-05-25T15:33:03,0,45,0,45
2023-05-25T15:44:37,0,45,0,45
2023-05-25T15:56:12,0,45,0,45
2023-05-25T16:07:57,0,45,0,45
2023-05-25T16:19:32,0,45,0,45
2023-05-25T16:31:07,0,45,0,45
2023-05-25T16:42:42,0,45,0,45
2023-05-25T16:54:18,0,45,0,45
2023-05-25T17:05:54,0,45,0,45
2023-05-25T17:17:42,0,45,0,45
2023-05-25T17:29:17,0,45,0,45
