time,enrolled,available,waitlisted,total
2023-09-08T16:57:43,0,20,0,20
2023-09-08T17:10:38,0,20,0,20
2023-09-08T17:23:34,0,20,0,20
2023-09-08T17:36:28,0,20,0,20
2023-09-08T17:49:24,0,20,0,20
2023-09-08T18:02:20,0,20,0,20
2023-09-08T18:15:17,0,20,0,20
2023-09-08T18:28:14,0,20,0,20
2023-09-08T18:41:19,0,20,0,20
2023-09-08T18:54:15,0,20,0,20
2023-09-08T19:07:12,0,20,0,20
2023-09-08T19:20:07,0,20,0,20
2023-09-08T19:33:02,0,20,0,20
2023-09-08T19:45:57,0,20,0,20
2023-09-08T19:58:52,0,20,0,20
2023-09-08T20:11:47,0,20,0,20
2023-09-08T20:24:43,0,20,0,20
2023-09-08T20:37:38,0,20,0,20
2023-09-08T20:50:33,0,20,0,20
2023-09-08T21:03:40,0,20,0,20
2023-09-08T21:16:34,0,20,0,20
2023-09-08T21:29:30,0,20,0,20
2023-09-08T21:42:24,0,20,0,20
2023-09-08T21:55:19,0,20,0,20
2023-09-08T22:08:14,0,20,0,20
2023-09-08T22:21:09,0,20,0,20
2023-09-08T22:34:03,0,20,0,20
2023-09-08T22:47:09,0,20,0,20
2023-09-08T23:00:04,0,20,0,20
2023-09-08T23:13:00,0,20,0,20
2023-09-08T23:25:55,0,20,0,20
2023-09-08T23:38:51,0,20,0,20
2023-09-08T23:51:47,0,20,0,20
2023-09-09T00:04:44,0,20,0,20
2023-09-09T00:17:46,0,20,0,20
2023-09-09T00:30:44,0,20,0,20
2023-09-09T00:43:43,0,20,0,20
2023-09-09T00:56:44,0,20,0,20
2023-09-09T01:09:43,0,20,0,20
2023-09-09T01:22:53,0,20,0,20
2023-09-09T01:35:54,0,20,0,20
2023-09-09T01:48:54,0,20,0,20
2023-09-09T02:01:53,0,20,0,20
2023-09-09T02:14:51,0,20,0,20
2023-09-09T02:27:48,0,20,0,20
2023-09-09T02:40:46,0,20,0,20
2023-09-09T02:53:42,0,20,0,20
2023-09-09T03:06:37,0,20,0,20
2023-09-09T03:19:34,0,20,0,20
2023-09-09T03:32:31,0,20,0,20
2023-09-09T03:45:28,0,20,0,20
2023-09-09T03:58:25,0,20,0,20
2023-09-09T04:28:48,0,20,0,20
2023-09-09T04:41:50,0,20,0,20
2023-09-09T04:54:51,0,20,0,20
2023-09-09T05:07:51,0,20,0,20
2023-09-09T05:20:55,0,20,0,20
2023-09-09T05:33:55,0,20,0,20
2023-09-09T05:46:54,0,20,0,20
2023-09-09T05:59:53,0,20,0,20
2023-09-09T06:12:51,0,20,0,20
2023-09-09T06:25:50,0,20,0,20
2023-09-09T06:38:50,0,20,0,20
2023-09-09T06:51:49,0,20,0,20
2023-09-09T07:04:48,0,20,0,20
2023-09-09T07:17:46,0,20,0,20
2023-09-09T07:30:45,0,20,0,20
2023-09-09T07:43:41,0,20,0,20
2023-09-09T07:56:48,0,20,0,20
2023-09-09T08:09:47,0,20,0,20
2023-09-09T08:22:45,0,20,0,20
2023-09-09T08:35:43,0,20,0,20
2023-09-09T08:48:41,0,20,0,20
2023-09-09T09:01:40,0,20,0,20
2023-09-09T09:14:38,0,20,0,20
2023-09-09T09:27:37,0,20,0,20
2023-09-09T09:40:34,0,20,0,20
2023-09-09T09:53:32,0,20,0,20
2023-09-09T10:06:30,0,20,0,20
2023-09-09T10:19:28,0,20,0,20
2023-09-09T10:32:25,0,20,0,20
2023-09-09T10:45:21,0,20,0,20
2023-09-09T10:58:30,0,20,0,20
2023-09-09T11:11:27,0,20,0,20
2023-09-09T11:24:23,0,20,0,20
2023-09-09T11:37:18,0,20,0,20
2023-09-09T11:50:13,0,20,0,20
2023-09-09T12:03:09,0,20,0,20
2023-09-09T12:16:05,0,20,0,20
2023-09-09T12:29:00,0,20,0,20
2023-09-09T12:41:55,0,20,0,20
2023-09-09T12:54:50,0,20,0,20
2023-09-09T13:07:46,0,20,0,20
2023-09-09T13:20:40,0,20,0,20
2023-09-09T13:33:36,0,20,0,20
2023-09-09T13:46:41,0,20,0,20
2023-09-09T13:59:37,0,20,0,20
2023-09-09T14:12:32,0,20,0,20
2023-09-09T14:25:27,0,20,0,20
2023-09-09T14:38:23,0,20,0,20
2023-09-09T14:51:18,0,20,0,20
2023-09-09T15:04:14,0,20,0,20
2023-09-09T15:17:09,0,20,0,20
2023-09-09T15:30:03,0,20,0,20
2023-09-09T15:42:58,0,20,0,20
2023-09-09T15:55:53,0,20,0,20
2023-09-09T16:08:48,0,20,0,20
2023-09-09T16:21:43,0,20,0,20
2023-09-09T16:34:48,0,20,0,20
2023-09-09T16:47:43,0,20,0,20
2023-09-09T17:00:38,0,20,0,20
2023-09-09T17:13:34,0,20,0,20
2023-09-09T17:26:29,0,20,0,20
2023-09-09T17:39:24,0,20,0,20
2023-09-09T17:52:21,0,20,0,20
2023-09-09T18:05:15,0,20,0,20
2023-09-09T18:18:10,0,20,0,20
2023-09-09T18:31:05,0,20,0,20
2023-09-09T18:44:00,0,20,0,20
2023-09-09T18:56:55,0,20,0,20
