time,enrolled,available,waitlisted,total
2023-05-25T01:14:36,0,130,0,130
2023-05-25T01:26:12,0,130,0,130
2023-05-25T01:37:48,0,130,0,130
2023-05-25T01:49:32,0,130,0,130
2023-05-25T02:01:07,0,130,0,130
2023-05-25T02:12:43,0,130,0,130
2023-05-25T02:24:20,0,130,0,130
2023-05-25T02:35:53,0,130,0,130
2023-05-25T02:47:27,0,130,0,130
2023-05-25T02:59:00,0,130,0,130
2023-05-25T03:10:36,0,130,0,130
2023-05-25T03:22:15,0,130,0,130
2023-05-25T03:34:12,0,130,0,130
2023-05-25T03:45:48,0,130,0,130
2023-05-25T03:57:24,0,130,0,130
2023-05-25T04:16:46,0,130,0,130
2023-05-25T04:28:47,0,130,0,130
2023-05-25T04:40:24,0,130,0,130
2023-05-25T04:52:00,0,130,0,130
2023-05-25T05:03:36,0,130,0,130
2023-05-25T05:15:13,0,130,0,130
2023-05-25T05:26:49,0,130,0,130
2023-05-25T05:38:26,0,130,0,130
2023-05-25T05:50:02,0,130,0,130
2023-05-25T06:01:38,0,130,0,130
2023-05-25T06:13:14,0,130,0,130
2023-05-25T06:24:49,0,130,0,130
2023-05-25T06:36:23,0,130,0,130
2023-05-25T06:47:59,0,130,0,130
2023-05-25T06:59:34,0,130,0,130
2023-05-25T07:11:10,0,130,0,130
2023-05-25T07:22:44,0,130,0,130
2023-05-25T07:34:18,0,130,0,130
2023-05-25T07:45:55,0,130,0,130
2023-05-25T07:57:30,0,130,0,130
2023-05-25T08:09:05,0,130,0,130
2023-05-25T08:20:49,0,130,0,130
2023-05-25T08:32:24,0,130,0,130
2023-05-25T08:43:56,0,130,0,130
2023-05-25T08:55:28,0,130,0,130
2023-05-25T09:07:02,0,130,0,130
2023-05-25T09:18:35,0,130,0,130
2023-05-25T09:30:08,0,130,0,130
2023-05-25T09:41:40,0,130,0,130
2023-05-25T09:53:13,0,130,0,130
2023-05-25T10:04:47,0,130,0,130
2023-05-25T10:16:31,0,130,0,130
2023-05-25T10:28:04,0,130,0,130
2023-05-25T10:39:36,0,130,0,130
2023-05-25T10:51:09,0,130,0,130
2023-05-25T11:02:52,0,130,0,130
2023-05-25T11:14:24,0,130,0,130
2023-05-25T11:25:57,0,130,0,130
2023-05-25T11:37:30,0,130,0,130
2023-05-25T11:49:03,0,130,0,130
2023-05-25T12:00:47,0,130,0,130
2023-05-25T12:12:20,0,130,0,130
2023-05-25T12:23:53,0,130,0,130
2023-05-25T12:35:25,0,130,0,130
2023-05-25T12:46:59,0,130,0,130
2023-05-25T12:58:42,0,130,0,130
2023-05-25T13:10:14,0,130,0,130
2023-05-25T13:21:47,0,130,0,130
2023-05-25T13:33:20,0,130,0,130
2023-05-25T13:44:53,0,130,0,130
2023-05-25T13:56:27,0,130,0,130
2023-05-25T14:08:11,0,130,0,130
2023-05-25T14:19:45,0,130,0,130
2023-05-25T14:31:18,0,130,0,130
2023-05-25T14:42:51,0,130,0,130
2023-05-25T14:54:24,0,130,0,130
2023-05-25T15:06:08,0,130,0,130
2023-05-25T15:17:42,0,130,0,130
2023-05-25T15:29:17,0,130,0,130
2023-05-25T15:40:51,0,130,0,130
2023-05-25T15:52:26,0,130,0,130
2023-05-25T16:04:01,0,130,0,130
2023-05-25T16:15:46,0,130,0,130
2023-05-25T16:27:21,0,130,0,130
2023-05-25T16:38:56,0,130,0,130
2023-05-25T16:50:32,0,130,0,130
2023-05-25T17:02:07,0,130,0,130
2023-05-25T17:13:44,0,130,0,130
2023-05-25T17:25:31,0,130,0,130
2023-05-25T17:37:06,0,130,0,130
2023-05-25T17:48:42,0,130,0,130
2023-05-25T18:00:18,0,130,0,130
2023-05-25T18:11:55,0,130,0,130
2023-05-25T18:23:30,0,130,0,130
2023-05-25T18:35:05,0,130,0,130
2023-05-25T18:46:51,0,130,0,130
2023-05-25T18:58:27,0,130,0,130
2023-05-25T19:10:03,0,130,0,130
2023-05-25T19:21:39,0,130,0,130
2023-05-25T19:33:15,0,130,0,130
2023-05-25T19:44:51,0,130,0,130
2023-05-25T19:56:36,0,130,0,130
2023-05-25T20:08:12,0,130,0,130
2023-05-25T20:19:48,0,130,0,130
2023-05-25T20:31:24,0,130,0,130
