time,enrolled,available,waitlisted,total
2023-05-25T01:18:56,0,84,0,84
2023-05-25T01:30:32,0,84,0,84
2023-05-25T01:42:17,0,84,0,84
2023-05-25T01:53:52,0,84,0,84
2023-05-25T02:05:27,0,84,0,84
2023-05-25T02:17:03,0,84,0,84
2023-05-25T02:28:39,0,84,0,84
2023-05-25T02:40:12,0,84,0,84
2023-05-25T02:51:46,0,84,0,84
2023-05-25T03:03:19,0,84,0,84
2023-05-25T03:14:56,0,84,0,84
2023-05-25T03:26:55,0,84,0,84
2023-05-25T03:38:32,0,84,0,84
2023-05-25T03:50:08,0,84,0,84
2023-05-25T04:01:44,0,84,0,84
2023-05-25T04:21:07,0,84,0,84
2023-05-25T04:33:07,0,84,0,84
2023-05-25T04:44:44,0,84,0,84
2023-05-25T04:56:20,0,84,0,84
2023-05-25T05:07:57,0,84,0,84
2023-05-25T05:19:33,0,84,0,84
2023-05-25T05:31:09,0,84,0,84
2023-05-25T05:42:45,0,84,0,84
2023-05-25T05:54:21,0,84,0,84
2023-05-25T06:05:58,0,84,0,84
2023-05-25T06:17:33,0,84,0,84
2023-05-25T06:29:08,0,84,0,84
2023-05-25T06:40:43,0,84,0,84
2023-05-25T06:52:18,0,84,0,84
2023-05-25T07:03:54,0,84,0,84
2023-05-25T07:15:29,0,84,0,84
2023-05-25T07:27:03,0,84,0,84
2023-05-25T07:38:37,0,84,0,84
2023-05-25T07:50:15,0,84,0,84
2023-05-25T08:01:50,0,84,0,84
2023-05-25T08:13:24,0,84,0,84
2023-05-25T08:25:09,0,84,0,84
2023-05-25T08:36:42,0,84,0,84
2023-05-25T08:48:15,0,84,0,84
2023-05-25T08:59:48,0,84,0,84
2023-05-25T09:11:21,0,84,0,84
2023-05-25T09:22:54,0,84,0,84
2023-05-25T09:34:26,0,84,0,84
2023-05-25T09:45:59,0,84,0,84
2023-05-25T09:57:32,0,84,0,84
2023-05-25T10:09:17,0,84,0,84
2023-05-25T10:20:50,0,84,0,84
2023-05-25T10:32:23,0,84,0,84
2023-05-25T10:43:55,0,84,0,84
2023-05-25T10:55:38,0,84,0,84
2023-05-25T11:07:10,0,84,0,84
2023-05-25T11:18:43,0,84,0,84
2023-05-25T11:30:16,0,84,0,84
2023-05-25T11:41:48,0,84,0,84
2023-05-25T11:53:22,0,84,0,84
2023-05-25T12:05:06,0,84,0,84
2023-05-25T12:16:38,0,84,0,84
2023-05-25T12:28:11,0,84,0,84
2023-05-25T12:39:44,0,84,0,84
2023-05-25T12:51:17,0,84,0,84
2023-05-25T13:03:00,0,84,0,84
2023-05-25T13:14:33,0,84,0,84
2023-05-25T13:26:06,0,84,0,84
2023-05-25T13:37:39,0,84,0,84
2023-05-25T13:49:12,0,84,0,84
2023-05-25T14:00:56,0,84,0,84
2023-05-25T14:12:30,0,84,0,84
2023-05-25T14:24:03,0,84,0,84
2023-05-25T14:35:36,0,84,0,84
2023-05-25T14:47:09,0,84,0,84
2023-05-25T14:58:53,0,84,0,84
2023-05-25T15:10:27,0,84,0,84
2023-05-25T15:22:02,0,84,0,84
2023-05-25T15:33:36,0,84,0,84
2023-05-25T15:45:11,0,84,0,84
2023-05-25T15:56:45,0,84,0,84
2023-05-25T16:08:30,0,56,0,56
2023-05-25T16:20:05,0,56,0,56
2023-05-25T16:31:40,0,56,0,56
2023-05-25T16:43:15,0,56,0,56
2023-05-25T16:54:51,0,56,0,56
2023-05-25T17:06:27,0,56,0,56
2023-05-25T17:18:15,0,56,0,56
2023-05-25T17:29:50,0,56,0,56
2023-05-25T17:41:26,0,56,0,56
2023-05-25T17:53:02,0,56,0,56
2023-05-25T18:04:38,0,56,0,56
2023-05-25T18:16:14,0,56,0,56
2023-05-25T18:27:50,0,56,0,56
2023-05-25T18:39:35,0,56,0,56
2023-05-25T18:51:11,0,56,0,56
2023-05-25T19:02:47,0,56,0,56
2023-05-25T19:14:23,0,56,0,56
2023-05-25T19:25:59,0,56,0,56
2023-05-25T19:37:34,0,56,0,56
2023-05-25T19:49:11,0,56,0,56
2023-05-25T20:00:56,0,56,0,56
2023-05-25T20:12:32,0,56,0,56
2023-05-25T20:24:07,0,56,0,56
2023-05-25T20:35:44,0,56,0,56
2023-05-25T20:47:19,0,56,0,56
2023-05-25T20:58:55,0,56,0,56
2023-05-25T21:10:31,0,56,0,56
2023-05-25T21:22:18,0,56,0,56
2023-05-25T21:33:53,0,56,0,56
2023-05-25T21:45:29,0,56,0,56
2023-05-25T21:57:05,0,56,0,56
2023-05-25T22:08:40,0,56,0,56
2023-05-25T22:20:15,0,56,0,56
2023-05-25T22:31:51,0,56,0,56
2023-05-25T22:43:37,0,56,0,56
2023-05-25T22:55:13,0,56,0,56
2023-05-25T23:06:51,0,56,0,56
2023-05-25T23:18:26,0,56,0,56
2023-05-25T23:30:02,0,56,0,56
2023-05-25T23:41:38,0,56,0,56
2023-05-25T23:53:15,0,56,0,56
2023-05-26T00:05:09,0,56,0,56
2023-05-26T00:16:50,0,56,0,56
2023-05-26T00:28:29,0,56,0,56
2023-05-26T00:40:08,0,56,0,56
2023-05-26T00:51:47,0,56,0,56
2023-05-26T01:03:26,0,56,0,56
2023-05-26T01:15:05,0,56,0,56
2023-05-26T01:26:43,0,56,0,56
2023-05-26T01:38:21,0,56,0,56
2023-05-26T01:50:09,0,56,0,56
2023-05-26T02:01:51,0,56,0,56
2023-05-26T02:13:29,0,56,0,56
2023-05-26T02:25:06,0,56,0,56
2023-05-26T02:36:45,0,56,0,56
2023-05-26T02:48:34,0,56,0,56
2023-05-26T03:00:14,0,56,0,56
2023-05-26T03:11:54,0,56,0,56
2023-05-26T03:23:35,0,56,0,56
2023-05-26T03:35:13,0,56,0,56
2023-05-26T03:46:52,0,56,0,56
2023-05-26T03:58:30,0,56,0,56
2023-05-26T04:10:18,0,56,0,56
2023-05-26T04:32:18,0,56,0,56
2023-05-26T04:44:22,0,56,0,56
2023-05-26T04:56:03,0,56,0,56
2023-05-26T05:07:45,0,56,0,56
