time,enrolled,available,waitlisted,total
2023-05-25T01:19:55,0,0,0,0
2023-05-25T01:31:31,0,0,0,0
2023-05-25T01:43:15,0,0,0,0
2023-05-25T01:54:50,0,0,0,0
2023-05-25T02:06:26,0,0,0,0
2023-05-25T02:18:02,0,0,0,0
2023-05-25T02:29:37,0,0,0,0
2023-05-25T02:41:11,0,0,0,0
2023-05-25T02:52:44,0,0,0,0
2023-05-25T03:04:17,0,0,0,0
2023-05-25T03:15:55,0,0,0,0
2023-05-25T03:27:54,0,0,0,0
2023-05-25T03:39:31,0,0,0,0
2023-05-25T03:51:07,0,0,0,0
2023-05-25T04:02:42,0,0,0,0
2023-05-25T04:22:28,0,0,0,0
2023-05-25T04:34:06,0,0,0,0
2023-05-25T04:45:43,0,0,0,0
2023-05-25T04:57:18,0,0,0,0
2023-05-25T05:08:55,0,0,0,0
2023-05-25T05:20:31,0,0,0,0
2023-05-25T05:32:08,0,0,0,0
2023-05-25T05:43:44,0,0,0,0
2023-05-25T05:55:20,0,0,0,0
2023-05-25T06:06:57,0,0,0,0
2023-05-25T06:18:32,0,0,0,0
2023-05-25T06:30:07,0,0,0,0
2023-05-25T06:41:42,0,0,0,0
2023-05-25T06:53:17,0,0,0,0
2023-05-25T07:04:53,0,0,0,0
2023-05-25T07:16:28,0,0,0,0
2023-05-25T07:28:02,0,0,0,0
2023-05-25T07:39:38,0,0,0,0
2023-05-25T07:51:14,0,0,0,0
2023-05-25T08:02:49,0,0,0,0
2023-05-25T08:14:23,0,0,0,0
2023-05-25T08:26:07,0,0,0,0
2023-05-25T08:37:41,0,0,0,0
2023-05-25T08:49:13,0,0,0,0
2023-05-25T09:00:46,0,0,0,0
2023-05-25T09:12:19,0,0,0,0
2023-05-25T09:23:52,0,0,0,0
2023-05-25T09:35:25,0,0,0,0
2023-05-25T09:46:57,0,0,0,0
2023-05-25T09:58:31,0,0,0,0
2023-05-25T10:10:15,0,0,0,0
2023-05-25T10:21:48,0,0,0,0
2023-05-25T10:33:21,0,0,0,0
2023-05-25T10:44:53,0,0,0,0
2023-05-25T10:56:36,0,0,0,0
2023-05-25T11:08:09,0,0,0,0
2023-05-25T11:19:42,0,0,0,0
2023-05-25T11:31:14,0,0,0,0
2023-05-25T11:42:47,0,0,0,0
2023-05-25T11:54:21,0,0,0,0
2023-05-25T12:06:04,0,0,0,0
2023-05-25T12:17:37,0,0,0,0
2023-05-25T12:29:10,0,0,0,0
2023-05-25T12:40:43,0,0,0,0
2023-05-25T12:52:16,0,0,0,0
2023-05-25T13:03:59,0,0,0,0
2023-05-25T13:15:31,0,0,0,0
2023-05-25T13:27:04,0,0,0,0
2023-05-25T13:38:37,0,0,0,0
2023-05-25T13:50:11,0,0,0,0
2023-05-25T14:01:54,0,0,0,0
2023-05-25T14:13:29,0,0,0,0
2023-05-25T14:25:02,0,0,0,0
2023-05-25T14:36:35,0,0,0,0
2023-05-25T14:48:07,0,0,0,0
2023-05-25T14:59:51,0,0,0,0
2023-05-25T15:11:25,0,0,0,0
2023-05-25T15:23:00,0,0,0,0
2023-05-25T15:34:34,0,0,0,0
2023-05-25T15:46:09,0,0,0,0
2023-05-25T15:57:44,0,0,0,0
2023-05-25T16:09:29,0,0,0,0
2023-05-25T16:21:04,0,0,0,0
2023-05-25T16:32:39,0,0,0,0
2023-05-25T16:44:14,0,0,0,0
2023-05-25T16:55:49,0,0,0,0
2023-05-25T17:07:26,0,0,0,0
2023-05-25T17:19:13,0,0,0,0
2023-05-25T17:30:49,0,0,0,0
2023-05-25T17:42:24,0,0,0,0
2023-05-25T17:54:00,0,0,0,0
2023-05-25T18:05:37,0,0,0,0
2023-05-25T18:17:13,0,0,0,0
2023-05-25T18:28:48,0,0,0,0
2023-05-25T18:40:33,0,0,0,0
2023-05-25T18:52:09,0,0,0,0
2023-05-25T19:03:45,0,0,0,0
2023-05-25T19:15:22,0,0,0,0
2023-05-25T19:26:57,0,0,0,0
2023-05-25T19:38:33,0,0,0,0
2023-05-25T19:50:09,0,0,0,0
2023-05-25T20:01:54,0,0,0,0
2023-05-25T20:13:30,0,0,0,0
2023-05-25T20:25:06,0,0,0,0
2023-05-25T20:36:42,0,0,0,0
2023-05-25T20:48:17,0,0,0,0
2023-05-25T20:59:53,0,0,0,0
2023-05-25T21:11:29,0,0,0,0
2023-05-25T21:23:16,0,0,0,0
2023-05-25T21:34:52,0,0,0,0
2023-05-25T21:46:28,0,0,0,0
2023-05-25T21:58:03,0,0,0,0
2023-05-25T22:09:39,0,0,0,0
2023-05-25T22:21:14,0,0,0,0
2023-05-25T22:32:49,0,0,0,0
2023-05-25T22:44:36,0,0,0,0
2023-05-25T22:56:11,0,0,0,0
2023-05-25T23:07:49,0,0,0,0
2023-05-25T23:19:25,0,0,0,0
2023-05-25T23:31:01,0,0,0,0
2023-05-25T23:42:37,0,0,0,0
2023-05-25T23:54:14,0,0,0,0
2023-05-26T00:06:08,0,0,0,0
2023-05-26T00:17:49,0,0,0,0
