time,enrolled,available,waitlisted,total
2023-05-25T01:20:51,0,790,0,790
2023-05-25T01:32:27,0,790,0,790
2023-05-25T01:44:11,0,790,0,790
2023-05-25T01:55:46,0,790,0,790
2023-05-25T02:07:22,0,790,0,790
2023-05-25T02:18:58,0,790,0,790
2023-05-25T02:30:33,0,790,0,790
2023-05-25T02:42:07,0,790,0,790
2023-05-25T02:53:40,0,790,0,790
2023-05-25T03:05:13,0,790,0,790
2023-05-25T03:16:52,0,790,0,790
2023-05-25T03:28:50,0,790,0,790
2023-05-25T03:40:27,0,790,0,790
2023-05-25T03:52:03,0,790,0,790
2023-05-25T04:03:38,0,790,0,790
2023-05-25T04:23:26,0,790,0,790
2023-05-25T04:35:02,0,790,0,790
2023-05-25T04:46:39,0,790,0,790
2023-05-25T04:58:14,0,790,0,790
2023-05-25T05:09:51,0,790,0,790
2023-05-25T05:21:27,0,790,0,790
2023-05-25T05:33:04,0,790,0,790
2023-05-25T05:44:40,0,790,0,790
2023-05-25T05:56:17,0,790,0,790
2023-05-25T06:07:53,0,790,0,790
2023-05-25T06:19:28,0,790,0,790
2023-05-25T06:31:03,0,790,0,790
2023-05-25T06:42:38,0,790,0,790
2023-05-25T06:54:13,0,790,0,790
2023-05-25T07:05:49,0,790,0,790
2023-05-25T07:17:24,0,790,0,790
2023-05-25T07:28:58,0,790,0,790
2023-05-25T07:40:34,0,790,0,790
2023-05-25T07:52:10,0,790,0,790
2023-05-25T08:03:45,0,790,0,790
2023-05-25T08:15:19,0,790,0,790
2023-05-25T08:27:03,0,790,0,790
2023-05-25T08:38:37,0,790,0,790
2023-05-25T08:50:09,0,790,0,790
2023-05-25T09:01:42,0,790,0,790
2023-05-25T09:13:15,0,790,0,790
2023-05-25T09:24:48,0,790,0,790
2023-05-25T09:36:20,0,790,0,790
2023-05-25T09:47:53,0,790,0,790
2023-05-25T09:59:27,0,790,0,790
2023-05-25T10:11:11,0,790,0,790
2023-05-25T10:22:44,0,790,0,790
2023-05-25T10:34:17,0,790,0,790
2023-05-25T10:45:49,0,790,0,790
2023-05-25T10:57:32,0,790,0,790
2023-05-25T11:09:05,0,790,0,790
2023-05-25T11:20:37,0,790,0,790
2023-05-25T11:32:10,0,790,0,790
